SEGMENT#, BRANCH#, XC, YC, UTMZONE
102,  1,   548904.99955,  4507565.46172, 10
101,  1,   548917.37325,  4507700.20921, 10
100,  1,   548934.33734,  4507850.19998, 10
 99,  1,   548925.81863,  4508052.46932, 10
 98,  1,   548871.01504,  4508291.93108, 10
 97,  1,   548800.89825,  4508453.12445, 10
 96,  1,   548727.38741,  4508568.12604, 10
 95,  1,   548617.18046,  4508677.23246, 10
 94,  1,   548481.46362,  4508765.50950, 10
 93,  1,   548350.78749,  4508890.35391, 10
 92,  1,   548275.64761,  4509027.97050, 10
 91,  1,   548259.87753,  4509144.04337, 10
 90,  1,   548280.00715,  4509246.64957, 10
 89,  1,   548350.26923,  4509350.14181, 10
 88,  1,   548454.65786,  4509439.46359, 10
 87,  1,   548512.99896,  4509542.46476, 10
 86,  1,   548502.83806,  4509712.31159, 10
 85,  1,   548497.33733,  4509945.03980, 10
 84,  1,   548560.06522,  4510145.71350, 10
 83,  1,   548700.46054,  4510265.73728, 10
 82,  1,   548815.70457,  4510361.65566, 10
 81,  1,   548890.95735,  4510447.37305, 10
 80,  1,   548970.83483,  4510554.99519, 10
 79,  1,   549030.32735,  4510687.71981, 10
 78,  1,   549069.57335,  4510856.57585, 10
 77,  1,   549121.41264,  4511056.50927, 10
 76,  1,   549189.46129,  4511199.21573, 10
 75,  1,   549251.88200,  4511311.32068, 10
 74,  1,   549352.16982,  4511536.49750, 10
 73,  1,   549465.45983,  4511778.73153, 10
 72,  1,   549518.25734,  4511905.33304, 10
 71,  1,   549489.81297,  4512046.71768, 10
 70,  1,   549442.52336,  4512211.51846, 10
 69,  1,   549413.50232,  4512378.96547, 10
 68,  1,   549366.90262,  4512516.49912, 10
 67,  1,   549308.44750,  4512563.47623, 10
 66,  1,   549214.68559,  4512585.94967, 10
 65,  1,   548988.27320,  4512582.49351, 10
 64,  1,   548713.47844,  4512546.58215, 10
 63,  1,   548537.29017,  4512512.26096, 10
 62,  1,   548384.60329,  4512513.17576, 10
 61,  1,   548226.07364,  4512547.46190, 10
 60,  1,   548045.16776,  4512628.67463, 10
 59,  1,   547837.16560,  4512769.24376, 10
 58,  1,   547721.13213,  4512947.64762, 10
 57,  1,   547725.93698,  4513160.00288, 10
 56,  1,   547753.30382,  4513423.27977, 10
 55,  1,   547733.63337,  4513672.63267, 10
 54,  1,   547695.44359,  4513861.59080, 10
 53,  1,   547677.22641,  4514044.97581, 10
 52,  1,   547693.95344,  4514210.10735, 10
 51,  1,   547752.23106,  4514327.76243, 10
 50,  1,   547827.75545,  4514414.93819, 10
 49,  1,   547889.10304,  4514508.15767, 10
 48,  1,   547967.41757,  4514623.15099, 10
 47,  1,   548100.67986,  4514750.10132, 10
 46,  1,   548262.18432,  4514899.17612, 10
 45,  1,   548430.27514,  4515094.74581, 10
 44,  1,   548546.77870,  4515323.20200, 10
 43,  1,   548574.51454,  4515495.05879, 10
 42,  1,   548576.01944,  4515585.44776, 10
 41,  1,   548561.95411,  4515661.00835, 10
 40,  1,   548519.53264,  4515742.41460, 10
 39,  1,   548483.77938,  4515861.66270, 10
 38,  1,   548478.60962,  4515993.29697, 10
 37,  1,   548516.83086,  4516113.81189, 10
 36,  1,   548602.75385,  4516281.96118, 10
 35,  1,   548678.92099,  4516457.79754, 10
 34,  1,   548682.29941,  4516569.34606, 10
 33,  1,   548625.40475,  4516652.95304, 10
 32,  1,   548540.83369,  4516740.64997, 10
 31,  1,   548481.96488,  4516840.62139, 10
 30,  1,   548457.88500,  4516937.26672, 10
 29,  1,   548456.12270,  4516998.88933, 10
 28,  1,   548479.22472,  4517080.04136, 10
 27,  1,   548525.49286,  4517198.10667, 10
 26,  1,   548580.27122,  4517281.79633, 10
 25,  1,   548637.83990,  4517332.14371, 10
 24,  1,   548710.71590,  4517398.65730, 10
 23,  1,   548782.38929,  4517491.92058, 10
 22,  1,   548843.72188,  4517570.14721, 10
 21,  1,   548922.03365,  4517635.81384, 10
 20,  1,   548995.10566,  4517695.71677, 10
 19,  1,   549058.60135,  4517751.35754, 10
 18,  1,   549120.71675,  4517806.24567, 10
 17,  1,   549191.55169,  4517863.29101, 10
 16,  1,   549268.53814,  4517956.03884, 10
 15,  1,   549297.96057,  4518068.43990, 10
 14,  1,   549315.41083,  4518188.76437, 10
 13,  1,   549346.23335,  4518303.70336, 10
 12,  1,   549436.07112,  4518404.49414, 10
 11,  1,   549679.43559,  4518481.33015, 10
 10,  1,   549877.75967,  4518515.79095, 10
  9,  1,   549993.47561,  4518569.86736, 10
  8,  1,   550179.50460,  4518706.73937, 10
  7,  1,   550294.25162,  4518830.79412, 10
  6,  1,   550356.43707,  4518896.76572, 10
  5,  1,   550479.36492,  4518961.18844, 10
  4,  1,   550648.29697,  4519021.32371, 10
  3,  1,   550810.68224,  4519062.29827, 10
  2,  1,   550977.94952,  4519136.45183, 10
116,  2,   548376.38227,  4509323.13828, 10
115,  2,   548287.71425,  4509370.88244, 10
114,  2,   548188.22085,  4509397.95445, 10
113,  2,   548090.92881,  4509400.77825, 10
112,  2,   547987.56747,  4509382.26014, 10
111,  2,   547913.27320,  4509368.08146, 10
110,  2,   547854.60714,  4509376.24793, 10
109,  2,   547765.74707,  4509379.56661, 10
108,  2,   547687.37130,  4509377.37938, 10
107,  2,   547637.20393,  4509363.09328, 10
106,  2,   547591.18168,  4509315.01458, 10
105,  2,   547502.29343,  4509245.32867, 10
