$Lewiston qdt year 2016 YC 06/21/22,
",,,",
JDAY,qdt
1,-22.06954963
1.042,-4.0894726
1.083,-15.64364013
1.125,32.54615453
1.167,-4.128537467
1.208,8.8792572
1.25,-0.196845467
1.292,3.149926533
1.333,4.119386533
1.375,-3.2205013
1.417,6.042149033
1.458,30.92041333
1.5,1.532577333
1.542,-0.1979202
1.583,6.386358433
1.625,-13.14600367
1.667,-31.24269293
1.708,13.34596697
1.75,-21.38352723
1.792,2.4600194
1.833,3.835190733
1.875,6.821447067
1.917,-7.818330367
1.958,5.464312767
2,5.1412572
2.042,3.2814454
2.083,-10.32353747
2.125,1.9709643
2.167,4.1091147
2.208,4.3702572
2.25,-1.323335933
2.292,-0.6623948
2.333,-1.550214333
2.375,4.845386533
2.417,-1.115695433
2.458,1.081531367
2.5,3.873829433
2.542,28.9955894
2.583,-11.9698732
2.625,10.42277763
2.667,-3.986202833
2.708,-25.42067823
2.75,13.326233
2.792,-14.9916887
2.833,-3.4272717
2.875,-0.9133607
2.917,-2.178829767
2.958,8.662382567
3,7.407154533
3.042,-3.619054633
3.083,-4.856194967
3.125,2.515386533
3.167,-0.5951573
3.208,1.6723677
3.25,1.1206052
3.292,-1.347719967
3.333,3.7686052
3.375,1.273586367
3.417,-0.512176133
3.458,1.889624033
3.5,-3.087194967
3.542,3.617624033
3.583,26.10627593
3.625,1.673935
3.667,3.4787719
3.708,1.558305233
3.75,-6.5955444
3.792,-1.628386867
3.833,-3.0759674
3.875,-3.0501772
3.917,-34.82438177
3.958,6.26188083
4,0.083154533
4.042,-6.216537467
4.083,-5.936640133
4.125,2.2242572
4.167,7.4502572
4.208,1.7512572
4.25,-0.0352999
4.292,-0.617640133
4.333,2.281359867
4.375,5.732154533
4.417,-0.227640133
4.458,-5.252537467
4.5,36.87616373
4.542,-13.8349868
4.583,7.8698103
4.625,3.055851033
4.667,-3.507547267
4.708,-26.03968373
4.75,12.6342543
4.792,0.184912533
4.833,-0.1281233
4.875,-39.3876036
4.917,18.95390157
4.958,8.248285633
5,0.975191667
5.042,-0.2076546
5.083,3.8144454
5.125,6.371947933
5.167,0.927159367
5.208,3.5524565
5.25,-4.005537467
5.292,-22.05149407
5.333,28.6253443
5.375,4.3109142
5.417,1.6116052
5.458,3.7421981
5.5,0.954012067
5.542,0.8919816
5.583,31.33433247
5.625,-5.1356112
5.667,6.819453533
5.708,-43.55031403
5.75,21.60600193
5.792,8.4998958
5.833,-19.23315817
5.875,14.96341353
5.917,-33.33791153
5.958,10.58445927
6,0.5732572
6.042,2.24531843
6.083,0.1532564
6.125,7.206747433
6.167,2.836548067
6.208,-11.22360667
6.25,8.71159593
6.292,-16.21871693
6.333,32.0294144
6.375,8.628779
6.417,-2.08292723
6.458,6.533641167
6.5,3.325041767
6.542,2.761386533
6.583,1.7820481
6.625,33.47320027
6.667,-19.63647577
6.708,-14.23159807
6.75,12.20634803
6.792,-11.36642587
6.833,10.3305359
6.875,11.97401973
6.917,2.58147423
6.958,4.269888967
7,16.59630963
7.042,-3.1615732
7.083,-2.09671367
7.125,-3.697072467
7.167,1.7403285
7.208,-5.058079333
7.25,-38.8168438
7.292,6.97863687
7.333,0.912597433
7.375,-3.236451933
7.417,-1.894451933
7.458,-3.1684042
7.5,2.777565467
7.542,8.965462833
7.583,-0.488132933
7.625,-0.610640133
7.667,1.7762572
7.708,1.6914947
7.75,2.2200197
7.792,3.1312572
7.833,0.9704947
7.875,-1.395640133
7.917,2.9110197
7.958,3.883392033
8,-0.757451933
8.042,0.298122367
8.083,0.8454947
8.125,1.8560197
8.167,0.9744947
8.208,3.5972572
8.25,-3.293774967
8.292,-0.631132933
8.333,2.9445656
8.375,2.192692533
8.417,6.5247194
8.458,-0.7971368
8.5,4.706913767
8.542,-4.7542963
8.583,0.3152107
8.625,8.056902367
8.667,-0.8154468
8.708,33.91099247
8.75,-11.62199133
8.792,12.89953313
8.833,4.544583233
8.875,0.221626433
8.917,-0.674652167
8.958,2.865540533
9,-31.19080243
9.042,5.84138647
9.083,-3.3863948
9.125,-7.301957467
9.167,0.0486052
9.208,3.7286052
9.25,6.339386533
9.292,2.445823867
9.333,-11.69854093
9.375,11.39388897
9.417,26.43304887
9.458,-12.62474317
9.5,7.709444
9.542,3.792505567
9.583,-0.892609367
9.625,0.661773967
9.667,-4.587460067
9.708,-9.47246343
9.75,7.312861933
9.792,0.360053933
9.833,-9.170769
9.875,3.599169067
9.917,5.79088913
9.958,-2.559863367
10,-20.0920905
10.042,19.6525884
10.083,2.134454967
10.125,-6.685799733
10.167,0.0411981
10.208,4.082200267
10.25,6.756386533
10.292,-1.432799733
10.333,-0.610545033
10.375,3.642386533
10.417,0.196823867
10.458,1.7356052
10.5,30.29811653
10.542,-9.49680687
10.583,7.3513663
10.625,-1.7693518
10.667,1.355246033
10.708,-5.0578433
10.75,-0.859375867
10.792,-4.678672333
10.833,-39.6458781
10.875,9.04850263
10.917,-3.73639217
10.958,-7.400709133
11,8.78707103
11.042,0.5775076
11.083,11.71039203
11.125,-0.693727633
11.167,2.4094947
11.208,0.307810533
11.25,-6.8981864
11.292,-9.1080508
11.333,-7.82245813
11.375,16.144997
11.417,18.3254327
11.458,16.3139942
11.5,3.7560279
11.542,17.58718913
11.583,0.8692116
11.625,5.019629067
11.667,-4.216533
11.708,-4.213186667
11.75,-0.034995567
11.792,-8.2842935
11.833,-0.6084762
11.875,-7.2394214
11.917,-26.24847277
11.958,4.1626189
12,2.302793933
12.042,-7.063000733
12.083,-1.775000733
12.125,3.3968966
12.167,4.561793933
12.208,2.011999267
12.25,5.318524633
12.292,13.99694297
12.333,-4.2332517
12.375,2.943744
12.417,-11.17706397
12.458,12.77271557
12.5,-2.844357233
12.542,-32.83920527
12.583,15.03574913
12.625,2.867051
12.667,1.5347714
12.708,-1.7680359
12.75,-5.367053033
12.792,6.3951141
12.833,11.5868611
12.875,1.395190067
12.917,4.868011433
12.958,-2.157783233
13,30.88225517
13.042,6.213407267
13.083,16.53952523
13.125,-9.248352567
13.167,-42.55989803
13.208,16.52124043
13.25,-10.996597
13.292,-15.7366872
13.333,-1.0963646
13.375,10.07327783
13.417,27.36608833
13.458,0.207527667
13.5,25.3664621
13.542,0.8614621
13.583,2.458680767
13.625,17.83602477
13.667,-4.8205379
13.708,-3.728975233
13.75,23.63842317
13.792,6.894363567
13.833,9.012403933
13.875,1.210670067
13.917,0.488950767
13.958,-32.2741571
14,6.42485747
14.042,1.409011433
14.083,-6.850783233
14.125,-0.1705379
14.167,3.331243433
14.208,4.4234621
14.25,21.77099993
14.292,5.9124429
14.333,-0.960009267
14.375,5.963782
14.417,-2.474204
14.458,2.0381042
14.5,0.611810167
14.542,3.839473
14.583,-31.958767
14.625,13.50296877
14.667,2.79893293
14.708,-5.325676567
14.75,-2.984511
14.792,14.7365423
14.833,4.733580567
14.875,12.57098473
14.917,-0.650783233
14.958,4.284066433
15,8.214998067
15.042,-1.846319233
15.083,2.4784621
15.125,5.339243433
15.167,-0.6115379
15.208,0.8614621
15.25,30.13394717
15.292,1.620189
15.333,6.082303933
15.375,-35.6732721
15.417,10.41608117
15.458,-0.1428859
15.5,-6.879783233
15.542,-5.4298859
15.583,38.21251973
15.625,-1.8651823
15.667,7.6241709
15.708,1.1479245
15.75,-41.08059843
15.792,7.28883097
15.833,2.442908767
15.875,-3.3718859
15.917,-3.4508859
15.958,5.535011433
16,7.914011433
16.042,2.5711141
16.083,4.397984733
16.125,2.533066433
16.167,1.893011433
16.208,6.330882067
16.25,4.018066433
16.292,2.3370874
16.333,7.170963767
16.375,-0.199783233
16.417,5.666882067
16.458,0.8451691
16.5,8.4027794
16.542,22.85327273
16.583,1.5650679
16.625,9.214460033
16.667,1.524802667
16.708,-25.7534977
16.75,9.5986409
16.792,-0.409988567
16.833,1.011011433
16.875,0.177011433
16.917,2.0361141
16.958,5.961011433
17,5.846011433
17.042,3.856011433
17.083,1.3031141
17.125,0.6881141
17.167,6.163908767
17.208,5.629011433
17.25,6.697908767
17.292,7.9158061
17.333,5.392908767
17.375,6.650908767
17.417,2.358438167
17.458,20.95677213
17.5,16.89112053
17.542,11.1058219
17.583,15.95465323
17.625,14.8733482
17.667,23.19556217
17.708,26.50669293
17.75,20.78962357
17.792,15.26960077
17.833,14.3014981
17.875,13.24460077
17.917,9.27470343
17.958,11.65070343
18,11.11170343
18.042,7.1578061
18.083,10.63267673
18.125,5.392963767
18.167,10.1587794
18.208,5.299963767
18.25,9.5138061
18.292,5.357908767
18.333,6.003882067
18.375,6.036908767
18.417,7.394908767
18.458,6.649908767
18.5,3.461066433
18.542,7.398882067
18.583,3.538011433
18.625,7.347908767
18.667,3.081908767
18.708,20.240213
18.75,5.562712867
18.792,6.050565967
18.833,4.101555233
18.875,4.590341667
18.917,1.139631633
18.958,3.337454967
19,14.71275297
19.042,1.515451767
19.083,-24.46702167
19.125,15.29757993
19.167,0.159011433
19.208,0.356011433
19.25,4.6708061
19.292,5.908908767
19.333,13.73570343
19.375,4.148011433
19.417,3.269011433
19.458,5.863908767
19.5,9.922908767
19.542,3.044181233
19.583,10.1193343
19.625,9.5178061
19.667,9.2468061
19.708,3.109011433
19.75,3.035984733
19.792,5.8888611
19.833,1.557011433
19.875,17.1427794
19.917,0.7381141
19.958,5.887963767
20,6.664882067
20.042,1.844908767
