Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
113,  1,       11150.00,   517536.03125,  4508399.98982, 10,   564.890
112,  1,       11050.00,   517635.27449,  4508391.31345, 10,   559.890
111,  1,       10950.00,   517734.51774,  4508382.63708, 10,   560.890
110,  1,       10850.00,   517801.61565,  4508429.61266, 10,   558.390
109,  1,       10750.00,   517793.73148,  4508519.91003, 10,   558.890
108,  1,       10650.00,   517736.60796,  4508601.52214, 10,   559.890
107,  1,       10550.00,   517672.32510,  4508678.12314, 10,   558.890
106,  1,       10450.00,   517611.49173,  4508757.37206, 10,   557.890
105,  1,       10350.00,   517544.51298,  4508830.47820, 10,   558.390
104,  1,       10250.00,   517459.23375,  4508879.71556, 10,   559.890
103,  1,       10150.00,   517365.24894,  4508913.87482, 10,   561.390
102,  1,       10050.00,   517268.25654,  4508930.93499, 10,   562.890
101,  1,        9950.00,   517169.01683,  4508939.60179, 10,   562.890
100,  1,        9850.00,   517070.53549,  4508939.61273, 10,   563.390
 99,  1,        9750.00,   516974.31475,  4508913.82121, 10,   563.390
 98,  1,        9650.00,   516878.09401,  4508888.02969, 10,   564.890
 97,  1,        9550.00,   516778.85238,  4508879.33491, 10,   565.390
 96,  1,        9450.00,   516679.61267,  4508888.00171, 10,   564.890
 95,  1,        9350.00,   516587.07200,  4508921.68850, 10,   564.390
 94,  1,        9250.00,   516511.62961,  4508984.98954, 10,   564.390
 93,  1,        9150.00,   516462.38156,  4509070.27263, 10,   564.390
 92,  1,        9050.00,   516440.92120,  4509167.06530, 10,   564.390
 91,  1,        8950.00,   516427.90218,  4509266.11880, 10,   564.390
 90,  1,        8850.00,   516402.13028,  4509362.34479, 10,   564.890
 89,  1,        8750.00,   516376.35838,  4509458.57078, 10,   566.390
 88,  1,        8650.00,   516367.68383,  4509557.81419, 10,   566.890
 87,  1,        8550.00,   516350.56794,  4509654.79677, 10,   566.390
 86,  1,        8450.00,   516312.33708,  4509747.09786, 10,   566.390
 85,  1,        8350.00,   516266.23075,  4509835.72797, 10,   567.390
 84,  1,        8250.00,   516224.14205,  4509926.02216, 10,   567.390
 83,  1,        8150.00,   516207.03543,  4510023.00475, 10,   566.890
 82,  1,        8050.00,   516232.05280,  4510116.29599, 10,   567.890
 81,  1,        7950.00,   516289.20451,  4510197.89368, 10,   568.390
 80,  1,        7850.00,   516359.65184,  4510268.32666, 10,   569.890
 79,  1,        7750.00,   516441.26117,  4510325.46175, 10,   569.890
 78,  1,        7650.00,   516531.54674,  4510367.55864, 10,   569.890
 77,  1,        7550.00,   516627.77408,  4510393.34236, 10,   569.890
 76,  1,        7450.00,   516727.01218,  4510402.02756, 10,   568.890
 75,  1,        7350.00,   516823.99445,  4510384.90991, 10,   569.890
 74,  1,        7250.00,   516920.21998,  4510359.13624, 10,   570.390
 73,  1,        7150.00,   517019.46322,  4510350.45987, 10,   570.890
 72,  1,        7050.00,   517118.70132,  4510359.14507, 10,   571.890
 71,  1,        6950.00,   517213.24499,  4510388.99239, 10,   569.890
 70,  1,        6850.00,   517306.84690,  4510423.08513, 10,   570.390
 69,  1,        6750.00,   517404.38133,  4510444.72131, 10,   572.390
 68,  1,        6650.00,   517496.91576,  4510478.42524, 10,   572.890
 67,  1,        6550.00,   517587.20134,  4510520.52213, 10,   572.890
 66,  1,        6450.00,   517684.00235,  4510541.94485, 10,   571.390
 65,  1,        6350.00,   517783.05223,  4510554.97460, 10,   570.890
 64,  1,        6250.00,   517880.58666,  4510576.61078, 10,   571.890
 63,  1,        6150.00,   517975.87223,  4510606.63992, 10,   571.390
 62,  1,        6050.00,   518066.15780,  4510648.73682, 10,   571.890
 61,  1,        5950.00,   518141.58847,  4510712.05182, 10,   574.390
 60,  1,        5850.00,   518198.74017,  4510793.64951, 10,   574.390
 59,  1,        5750.00,   518232.46295,  4510886.17708, 10,   574.390
 58,  1,        5650.00,   518254.11900,  4510983.70710, 10,   574.890
 57,  1,        5550.00,   518275.77505,  4511081.23712, 10,   573.890
 56,  1,        5450.00,   518309.49782,  4511173.76468, 10,   573.390
 55,  1,        5350.00,   518351.61311,  4511264.04168, 10,   573.390
 54,  1,        5250.00,   518377.41643,  4511360.26376, 10,   573.890
 53,  1,        5150.00,   518377.45656,  4511458.74349, 10,   573.390
 52,  1,        5050.00,   518351.68465,  4511554.96948, 10,   572.890
 51,  1,        4950.00,   518309.59595,  4511645.26368, 10,   572.890
 50,  1,        4850.00,   518252.47244,  4511726.87579, 10,   573.390
 49,  1,        4750.00,   518195.34892,  4511808.48790, 10,   573.390
 48,  1,        4650.00,   518153.26022,  4511898.78210, 10,   573.390
 47,  1,        4550.00,   518136.15360,  4511995.76469, 10,   572.890
 46,  1,        4450.00,   518153.25151,  4512092.75044, 10,   573.890
 45,  1,        4350.00,   518183.30006,  4512188.02989, 10,   572.890
 44,  1,        4250.00,   518204.95611,  4512285.55991, 10,   573.390
 43,  1,        4150.00,   518222.36692,  4512384.03257, 10,   575.390
 42,  1,        4050.00,   518239.77774,  4512482.50522, 10,   574.890
 41,  1,        3950.00,   518277.16749,  4512572.69529, 10,   575.390
 40,  1,        3850.00,   518322.94974,  4512660.63478, 10,   574.890
 39,  1,        3750.00,   518365.06503,  4512750.91177, 10,   575.390
 38,  1,        3650.00,   518422.21673,  4512832.50946, 10,   574.890
