Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         450.00,   520180.64199,  4516337.04267, 10,   696.377
  3,  1,        1350.00,   520531.81807,  4515509.72366, 10,   683.377
  4,  1,        2100.00,   520737.82150,  4514791.41965, 10,   681.377
  5,  1,        2800.00,   520824.77799,  4514097.49941, 10,   681.377
  6,  1,        3600.00,   520824.77785,  4513300.54364, 10,   681.377
  7,  1,        4400.00,   520789.91555,  4512502.06576, 10,   680.377
  8,  1,        5250.00,   520943.82464,  4511679.20409, 10,   678.377
  9,  1,        6100.00,   521266.78105,  4510893.81931, 10,   673.377
 10,  1,        7050.00,   521531.33466,  4509989.65190, 10,   670.377
 11,  1,        8000.00,   521557.38168,  4509054.08450, 10,   658.377
 12,  1,        8700.00,   521337.92240,  4508400.35378, 10,   658.377
 13,  1,        9250.00,   521102.41737,  4507905.62300, 10,   652.377
 14,  1,        9750.00,   520952.20757,  4507429.21839, 10,   647.377
 15,  1,       10250.00,   520801.99777,  4506952.81378, 10,   645.377
 16,  1,       10900.00,   520612.96512,  4506331.52029, 10,   645.377
 17,  1,       11700.00,   520439.97823,  4505551.22686, 10,   638.377
 18,  1,       12350.00,   520348.73003,  4504908.25509, 10,   638.377
 19,  1,       12850.00,   520262.23633,  4504417.72496, 10,   638.377
 20,  1,       13350.00,   520132.82680,  4503934.76204, 10,   634.377
 21,  1,       13850.00,   519962.46747,  4503466.70364, 10,   634.377
 22,  1,       14350.00,   519731.81290,  4503023.62034, 10,   634.377
 23,  1,       14850.00,   519501.15833,  4502580.53705, 10,   632.377
 24,  1,       15350.00,   519330.79900,  4502112.47865, 10,   628.377
 25,  1,       15750.00,   519266.09424,  4501720.99719, 10,   628.377
 26,  1,       16050.00,   519317.39727,  4501430.04330, 10,   628.377
 27,  1,       16350.00,   519407.52310,  4501144.20052, 10,   622.377
 28,  1,       16650.00,   519433.27254,  4500849.88243, 10,   622.377
 29,  1,       17000.00,   519335.67552,  4500519.19166, 10,   622.377
 30,  1,       17400.00,   519151.15187,  4500164.72503, 10,   622.377
 31,  1,       17850.00,   518874.37517,  4499814.74326, 10,   619.377
 32,  1,       18300.00,   518544.38958,  4499509.40904, 10,   619.377
 33,  1,       18700.00,   518291.18069,  4499207.64644, 10,   618.377
 34,  1,       19100.00,   518091.18068,  4498861.23629, 10,   618.377
 35,  1,       19500.00,   517922.77665,  4498500.09268, 10,   615.377
 36,  1,       19900.00,   517819.64299,  4498115.19261, 10,   615.377
 37,  1,       20300.00,   517767.48221,  4497718.99211, 10,   612.377
 38,  1,       20700.00,   517681.64703,  4497331.81465, 10,   611.377
 39,  1,       21100.00,   517484.68549,  4496990.66723, 10,   609.377
 40,  1,       21500.00,   517159.16642,  4496802.72870, 10,   609.377
 41,  1,       21925.00,   516767.34915,  4496655.49906, 10,   609.377
 42,  1,       22400.00,   516411.79653,  4496351.48795, 10,   604.377
 43,  1,       22900.00,   516126.09963,  4495943.47049, 10,   604.377
 44,  1,       23450.00,   515808.26335,  4495497.15080, 10,   603.377
 45,  1,       24000.00,   515423.91596,  4495106.64057, 10,   599.377
 46,  1,       24550.00,   515002.59152,  4494753.10738, 10,   599.377
 47,  1,       25250.00,   514515.66314,  4494253.85332, 10,   596.377
 48,  1,       26050.00,   514121.74005,  4493571.55849, 10,   596.377
 49,  1,       26800.00,   514045.70873,  4492850.99870, 10,   594.377
 50,  1,       27500.00,   514197.07199,  4492168.24189, 10,   594.377
 51,  1,       28200.00,   514257.15401,  4491481.49967, 10,   592.377
 52,  1,       28890.00,   514226.64950,  4490792.83152, 10,   590.377
 55,  2,       29730.00,   513843.62728,  4490131.43772, 10,   708.377
 56,  2,       30705.00,   513107.61125,  4489492.20689, 10,   685.377
 57,  2,       31680.00,   512301.46356,  4488963.06073, 10,   670.377
 58,  2,       32630.00,   511458.59822,  4488526.75162, 10,   670.377
 61,  3,       33480.00,   511351.72949,  4488018.90891, 10,   706.377
 62,  3,       34280.00,   511962.23300,  4487506.63559, 10,   688.377
 63,  3,       35080.00,   512652.41690,  4487108.15765, 10,   678.377
 64,  3,       35880.00,   513414.94000,  4486939.11034, 10,   663.377
 65,  3,       36730.00,   514263.22761,  4486978.33048, 10,   657.377
 66,  3,       37680.00,   515194.47813,  4487146.96013, 10,   638.377
 67,  3,       38630.00,   516124.08682,  4487331.21080, 10,   627.377
 68,  3,       39580.00,   517046.26080,  4487231.54330, 10,   623.377
 69,  3,       40580.00,   517954.80169,  4486827.03462, 10,   612.377
 70,  3,       41580.00,   518709.20817,  4486194.01236, 10,   603.377
 73,  4,       42430.00,   519150.30904,  4485482.09772, 10,   693.377
 74,  4,       43080.00,   519420.01612,  4484893.39769, 10,   692.377
 75,  4,       43680.00,   519672.62218,  4484351.68229, 10,   674.377
 76,  4,       44280.00,   519827.32258,  4483774.33217, 10,   675.377
 77,  4,       44830.00,   519754.41692,  4483262.38347, 10,   668.377
 78,  4,       45330.00,   519387.93546,  4482981.17236, 10,   657.377
 79,  4,       45880.00,   518864.54622,  4482813.86154, 10,   656.377
 80,  4,       46480.00,   518432.63843,  4482451.44788, 10,   639.377
 81,  4,       47130.00,   518282.63843,  4481841.64026, 10,   632.377
 82,  4,       47880.00,   518247.77613,  4481093.16238, 10,   636.377
