$Trinity Lake Swift Cr inflow Tw updated year 2016 YC 06/01/23,
",,,",
Jday,Swift 
1,0.64
1.042,0.64
1.083,0.64
1.125,0.64
1.167,0.64
1.208,0.64
1.25,0.64
1.292,0.64
1.333,0.64
1.375,0.64
1.417,0.64
1.458,0.64
1.5,0.64
1.542,0.64
1.583,0.64
1.625,0.64
1.667,0.64
1.708,0.64
1.75,0.64
1.792,0.64
1.833,0.64
1.875,0.64
1.917,0.64
1.958,0.64
2,0.59
2.042,0.59
2.083,0.59
2.125,0.59
2.167,0.59
2.208,0.59
2.25,0.59
2.292,0.59
2.333,0.59
2.375,0.59
2.417,0.59
2.458,0.59
2.5,0.59
2.542,0.59
2.583,0.59
2.625,0.59
2.667,0.59
2.708,0.59
2.75,0.59
2.792,0.59
2.833,0.59
2.875,0.59
2.917,0.59
2.958,0.59
3,2.1
3.042,2.1
3.083,2.1
3.125,2.1
3.167,2.1
3.208,2.1
3.25,2.1
3.292,2.1
3.333,2.1
3.375,2.1
3.417,2.1
3.458,2.1
3.5,2.1
3.542,2.1
3.583,2.1
3.625,2.1
3.667,2.1
3.708,2.1
3.75,2.1
3.792,2.1
3.833,2.1
3.875,2.1
3.917,2.1
3.958,2.1
4,2.44
4.042,2.44
4.083,2.44
4.125,2.44
4.167,2.44
4.208,2.44
4.25,2.44
4.292,2.44
4.333,2.44
4.375,2.44
4.417,2.44
4.458,2.44
4.5,2.44
4.542,2.44
4.583,2.44
4.625,2.44
4.667,2.44
4.708,2.44
4.75,2.44
4.792,2.44
4.833,2.44
4.875,2.44
4.917,2.44
4.958,2.44
5,3.4
5.042,3.4
5.083,3.4
5.125,3.4
5.167,3.4
5.208,3.4
5.25,3.4
5.292,3.4
5.333,3.4
5.375,3.4
5.417,3.4
5.458,3.4
5.5,3.4
5.542,3.4
5.583,3.4
5.625,3.4
5.667,3.4
5.708,3.4
5.75,3.4
5.792,3.4
5.833,3.4
5.875,3.4
5.917,3.4
5.958,3.4
6,3.88
6.042,3.88
6.083,3.88
6.125,3.88
6.167,3.88
6.208,3.88
6.25,3.88
6.292,3.88
6.333,3.88
6.375,3.88
6.417,3.88
6.458,3.88
6.5,3.88
6.542,3.88
6.583,3.88
6.625,3.88
6.667,3.88
6.708,3.88
6.75,3.88
6.792,3.88
6.833,3.88
6.875,3.88
6.917,3.88
6.958,3.88
7,4.2
7.042,4.2
7.083,4.2
7.125,4.2
7.167,4.2
7.208,4.2
7.25,4.2
7.292,4.2
7.333,4.2
7.375,4.2
7.417,4.2
7.458,4.2
7.5,4.2
7.542,4.2
7.583,4.2
7.625,4.2
7.667,4.2
7.708,4.2
7.75,4.2
7.792,4.2
7.833,4.2
7.875,4.2
7.917,4.2
7.958,4.2
8,4.3
8.042,4.3
8.083,4.3
8.125,4.3
8.167,4.3
8.208,4.3
8.25,4.3
8.292,4.3
8.333,4.3
8.375,4.3
8.417,4.3
8.458,4.3
8.5,4.3
8.542,4.3
8.583,4.3
8.625,4.3
8.667,4.3
8.708,4.3
8.75,4.3
8.792,4.3
8.833,4.3
8.875,4.3
8.917,4.3
8.958,4.3
9,4.21
9.042,4.21
9.083,4.21
9.125,4.21
9.167,4.21
9.208,4.21
9.25,4.21
9.292,4.21
9.333,4.21
9.375,4.21
9.417,4.21
9.458,4.21
9.5,4.21
9.542,4.21
9.583,4.21
9.625,4.21
9.667,4.21
9.708,4.21
9.75,4.21
9.792,4.21
9.833,4.21
9.875,4.21
9.917,4.21
9.958,4.21
10,3.95
10.042,3.95
10.083,3.95
10.125,3.95
10.167,3.95
10.208,3.95
10.25,3.95
10.292,3.95
10.333,3.95
10.375,3.95
10.417,3.95
10.458,3.95
10.5,3.95
10.542,3.95
10.583,3.95
10.625,3.95
10.667,3.95
10.708,3.95
10.75,3.95
10.792,3.95
10.833,3.95
10.875,3.95
10.917,3.95
10.958,3.95
11,4.37
11.042,4.37
11.083,4.37
11.125,4.37
11.167,4.37
11.208,4.37
11.25,4.37
11.292,4.37
11.333,4.37
11.375,4.37
11.417,4.37
11.458,4.37
11.5,4.37
11.542,4.37
11.583,4.37
11.625,4.37
11.667,4.37
11.708,4.37
11.75,4.37
11.792,4.37
11.833,4.37
11.875,4.37
11.917,4.37
11.958,4.37
12,5.02
12.042,5.02
12.083,5.02
12.125,5.02
12.167,5.02
12.208,5.02
12.25,5.02
12.292,5.02
12.333,5.02
12.375,5.02
12.417,5.02
12.458,5.02
12.5,5.02
12.542,5.02
12.583,5.02
12.625,5.02
12.667,5.02
12.708,5.02
12.75,5.02
12.792,5.02
12.833,5.02
12.875,5.02
12.917,5.02
12.958,5.02
13,4.89
13.042,4.89
13.083,4.89
13.125,4.89
13.167,4.89
13.208,4.89
13.25,4.89
13.292,4.89
13.333,4.89
13.375,4.89
13.417,4.89
13.458,4.89
13.5,4.89
13.542,4.89
13.583,4.89
13.625,4.89
13.667,4.89
13.708,4.89
13.75,4.89
13.792,4.89
13.833,4.89
13.875,4.89
13.917,4.89
13.958,4.89
14,3.84
14.042,3.84
14.083,3.84
14.125,3.84
14.167,3.84
14.208,3.84
14.25,3.84
14.292,3.84
14.333,3.84
14.375,3.84
14.417,3.84
14.458,3.84
14.5,3.84
14.542,3.84
14.583,3.84
14.625,3.84
14.667,3.84
14.708,3.84
14.75,3.84
14.792,3.84
14.833,3.84
14.875,3.84
14.917,3.84
14.958,3.84
15,3.79
15.042,3.79
15.083,3.79
15.125,3.79
15.167,3.79
15.208,3.79
15.25,3.79
15.292,3.79
15.333,3.79
15.375,3.79
15.417,3.79
15.458,3.79
15.5,3.79
15.542,3.79
15.583,3.79
15.625,3.79
15.667,3.79
15.708,3.79
15.75,3.79
15.792,3.79
15.833,3.79
15.875,3.79
15.917,3.79
15.958,3.79
16,4.65
16.042,4.65
16.083,4.65
16.125,4.65
16.167,4.65
16.208,4.65
16.25,4.65
16.292,4.65
16.333,4.65
16.375,4.65
16.417,4.65
16.458,4.65
16.5,4.65
16.542,4.65
16.583,4.65
16.625,4.65
16.667,4.65
16.708,4.65
16.75,4.65
16.792,4.65
16.833,4.65
16.875,4.65
16.917,4.65
16.958,4.65
17,4.99
17.042,4.99
17.083,4.99
17.125,4.99
17.167,4.99
17.208,4.99
17.25,4.99
17.292,4.99
17.333,4.99
17.375,4.99
17.417,4.99
17.458,4.99
17.5,4.99
17.542,4.99
17.583,4.99
17.625,4.99
17.667,4.99
17.708,4.99
17.75,4.99
17.792,4.99
17.833,4.99
17.875,4.99
17.917,4.99
17.958,4.99
18,4.95
18.042,4.95
18.083,4.95
18.125,4.95
18.167,4.95
18.208,4.95
18.25,4.95
18.292,4.95
18.333,4.95
18.375,4.95
18.417,4.95
18.458,4.95
18.5,4.95
18.542,4.95
18.583,4.95
18.625,4.95
18.667,4.95
18.708,4.95
18.75,4.95
18.792,4.95
18.833,4.95
18.875,4.95
18.917,4.95
18.958,4.95
19,5.68
19.042,5.68
19.083,5.68
19.125,5.68
19.167,5.68
19.208,5.68
19.25,5.68
19.292,5.68
19.333,5.68
19.375,5.68
19.417,5.68
19.458,5.68
19.5,5.68
19.542,5.68
19.583,5.68
19.625,5.68
19.667,5.68
19.708,5.68
19.75,5.68
19.792,5.68
19.833,5.68
19.875,5.68
19.917,5.68
19.958,5.68
20,5.41
20.042,5.41
20.083,5.41
20.125,5.41
20.167,5.41
20.208,5.41
20.25,5.41
20.292,5.41
20.333,5.41
20.375,5.41
20.417,5.41
20.458,5.41
20.5,5.41
20.542,5.41
20.583,5.41
20.625,5.41
20.667,5.41
20.708,5.41
20.75,5.41
20.792,5.41
20.833,5.41
20.875,5.41
20.917,5.41
20.958,5.41
21,6.14
21.042,6.14
21.083,6.14
21.125,6.14
21.167,6.14
21.208,6.14
21.25,6.14
21.292,6.14
21.333,6.14
21.375,6.14
21.417,6.14
21.458,6.14
21.5,6.14
21.542,6.14
21.583,6.14
21.625,6.14
21.667,6.14
21.708,6.14
21.75,6.14
21.792,6.14
21.833,6.14
21.875,6.14
21.917,6.14
21.958,6.14
22,5.86
22.042,5.86
22.083,5.86
22.125,5.86
22.167,5.86
22.208,5.86
22.25,5.86
22.292,5.86
22.333,5.86
22.375,5.86
22.417,5.86
22.458,5.86
22.5,5.86
22.542,5.86
22.583,5.86
22.625,5.86
22.667,5.86
22.708,5.86
22.75,5.86
22.792,5.86
22.833,5.86
22.875,5.86
22.917,5.86
22.958,5.86
23,5.48
23.042,5.48
23.083,5.48
23.125,5.48
23.167,5.48
23.208,5.48
23.25,5.48
23.292,5.48
23.333,5.48
23.375,5.48
23.417,5.48
23.458,5.48
23.5,5.48
23.542,5.48
23.583,5.48
23.625,5.48
23.667,5.48
23.708,5.48
23.75,5.48
23.792,5.48
23.833,5.48
23.875,5.48
23.917,5.48
23.958,5.48
24,5.33
24.042,5.33
24.083,5.33
24.125,5.33
24.167,5.33
24.208,5.33
24.25,5.33
24.292,5.33
24.333,5.33
24.375,5.33
24.417,5.33
24.458,5.33
24.5,5.33
24.542,5.33
24.583,5.33
24.625,5.33
24.667,5.33
24.708,5.33
24.75,5.33
24.792,5.33
24.833,5.33
24.875,5.33
24.917,5.33
24.958,5.33
25,5.2
25.042,5.2
25.083,5.2
25.125,5.2
25.167,5.2
25.208,5.2
25.25,5.2
25.292,5.2
25.333,5.2
25.375,5.2
25.417,5.2
25.458,5.2
25.5,5.2
25.542,5.2
25.583,5.2
25.625,5.2
25.667,5.2
25.708,5.2
25.75,5.2
25.792,5.2
25.833,5.2
25.875,5.2
25.917,5.2
25.958,5.2
26,5.65
26.042,5.65
26.083,5.65
26.125,5.65
