$Trinity lake Swift Cr inflow year updated 2016 YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,0.87781396
1.042,0.87781396
1.083,0.87781396
1.125,0.87781396
1.167,0.87781396
1.208,0.87781396
1.25,0.87781396
1.292,0.87781396
1.333,0.87781396
1.375,0.87781396
1.417,0.87781396
1.458,0.87781396
1.5,0.87781396
1.542,0.87781396
1.583,0.87781396
1.625,0.87781396
1.667,0.87781396
1.708,0.87781396
1.75,0.87781396
1.792,0.87781396
1.833,0.87781396
1.875,0.87781396
1.917,0.87781396
1.958,0.87781396
2,1.160979754
2.042,1.160979754
2.083,1.160979754
2.125,1.160979754
2.167,1.160979754
2.208,1.160979754
2.25,1.160979754
2.292,1.160979754
2.333,1.160979754
2.375,1.160979754
2.417,1.160979754
2.458,1.160979754
2.5,1.160979754
2.542,1.160979754
2.583,1.160979754
2.625,1.160979754
2.667,1.160979754
2.708,1.160979754
2.75,1.160979754
2.792,1.160979754
2.833,1.160979754
2.875,1.160979754
2.917,1.160979754
2.958,1.160979754
3,1.274246071
3.042,1.274246071
3.083,1.274246071
3.125,1.274246071
3.167,1.274246071
3.208,1.274246071
3.25,1.274246071
3.292,1.274246071
3.333,1.274246071
3.375,1.274246071
3.417,1.274246071
3.458,1.274246071
3.5,1.274246071
3.542,1.274246071
3.583,1.274246071
3.625,1.274246071
3.667,1.274246071
3.708,1.274246071
3.75,1.274246071
3.792,1.274246071
3.833,1.274246071
3.875,1.274246071
3.917,1.274246071
3.958,1.274246071
4,1.444145547
4.042,1.444145547
4.083,1.444145547
4.125,1.444145547
4.167,1.444145547
4.208,1.444145547
4.25,1.444145547
4.292,1.444145547
4.333,1.444145547
4.375,1.444145547
4.417,1.444145547
4.458,1.444145547
4.5,1.444145547
4.542,1.444145547
4.583,1.444145547
4.625,1.444145547
4.667,1.444145547
4.708,1.444145547
4.75,1.444145547
4.792,1.444145547
4.833,1.444145547
4.875,1.444145547
4.917,1.444145547
4.958,1.444145547
5,4.049270848
5.042,4.049270848
5.083,4.049270848
5.125,4.049270848
5.167,4.049270848
5.208,4.049270848
5.25,4.049270848
5.292,4.049270848
5.333,4.049270848
5.375,4.049270848
5.417,4.049270848
5.458,4.049270848
5.5,4.049270848
5.542,4.049270848
5.583,4.049270848
5.625,4.049270848
5.667,4.049270848
5.708,4.049270848
5.75,4.049270848
5.792,4.049270848
5.833,4.049270848
5.875,4.049270848
5.917,4.049270848
5.958,4.049270848
6,5.74826561
6.042,5.74826561
6.083,5.74826561
6.125,5.74826561
6.167,5.74826561
6.208,5.74826561
6.25,5.74826561
6.292,5.74826561
6.333,5.74826561
6.375,5.74826561
