$Trinity Lake Br1 inflow Tw year 2016 YC updated  06/01/23,
",,,",
Jday,Trinity R
1,1.14
1.042,1.14
1.083,1.14
1.125,1.14
1.167,1.14
1.208,1.14
1.25,1.14
1.292,1.14
1.333,1.14
1.375,1.14
1.417,1.14
1.458,1.14
1.5,1.14
1.542,1.14
1.583,1.14
1.625,1.14
1.667,1.14
1.708,1.14
1.75,1.14
1.792,1.14
1.833,1.14
1.875,1.14
1.917,1.14
1.958,1.14
2,1.08
2.042,1.08
2.083,1.08
2.125,1.08
2.167,1.08
2.208,1.08
2.25,1.08
2.292,1.08
2.333,1.08
2.375,1.08
2.417,1.08
2.458,1.08
2.5,1.08
2.542,1.08
2.583,1.08
2.625,1.08
2.667,1.08
2.708,1.08
2.75,1.08
2.792,1.08
2.833,1.08
2.875,1.08
2.917,1.08
2.958,1.08
3,2.67
3.042,2.67
3.083,2.67
3.125,2.67
3.167,2.67
3.208,2.67
3.25,2.67
3.292,2.67
3.333,2.67
3.375,2.67
3.417,2.67
3.458,2.67
3.5,2.67
3.542,2.67
3.583,2.67
3.625,2.67
3.667,2.67
3.708,2.67
3.75,2.67
3.792,2.67
3.833,2.67
3.875,2.67
3.917,2.67
3.958,2.67
4,3.03
4.042,3.03
4.083,3.03
4.125,3.03
4.167,3.03
4.208,3.03
4.25,3.03
4.292,3.03
4.333,3.03
4.375,3.03
4.417,3.03
4.458,3.03
4.5,3.03
4.542,3.03
4.583,3.03
4.625,3.03
4.667,3.03
4.708,3.03
4.75,3.03
4.792,3.03
4.833,3.03
4.875,3.03
4.917,3.03
4.958,3.03
5,4.04
5.042,4.04
5.083,4.04
5.125,4.04
5.167,4.04
5.208,4.04
5.25,4.04
5.292,4.04
5.333,4.04
5.375,4.04
5.417,4.04
5.458,4.04
5.5,4.04
5.542,4.04
5.583,4.04
5.625,4.04
5.667,4.04
5.708,4.04
5.75,4.04
5.792,4.04
5.833,4.04
5.875,4.04
5.917,4.04
5.958,4.04
6,4.54
6.042,4.54
6.083,4.54
6.125,4.54
6.167,4.54
6.208,4.54
6.25,4.54
6.292,4.54
6.333,4.54
6.375,4.54
6.417,4.54
6.458,4.54
6.5,4.54
6.542,4.54
6.583,4.54
6.625,4.54
6.667,4.54
6.708,4.54
6.75,4.54
6.792,4.54
6.833,4.54
6.875,4.54
6.917,4.54
6.958,4.54
7,4.88
7.042,4.88
7.083,4.88
7.125,4.88
7.167,4.88
7.208,4.88
7.25,4.88
7.292,4.88
7.333,4.88
7.375,4.88
7.417,4.88
7.458,4.88
7.5,4.88
7.542,4.88
7.583,4.88
7.625,4.88
7.667,4.88
7.708,4.88
7.75,4.88
7.792,4.88
7.833,4.88
7.875,4.88
7.917,4.88
7.958,4.88
8,4.98
8.042,4.98
8.083,4.98
8.125,4.98
8.167,4.98
8.208,4.98
8.25,4.98
8.292,4.98
8.333,4.98
8.375,4.98
8.417,4.98
8.458,4.98
8.5,4.98
8.542,4.98
8.583,4.98
8.625,4.98
8.667,4.98
8.708,4.98
8.75,4.98
8.792,4.98
8.833,4.98
8.875,4.98
8.917,4.98
8.958,4.98
9,4.89
9.042,4.89
9.083,4.89
9.125,4.89
9.167,4.89
9.208,4.89
9.25,4.89
9.292,4.89
9.333,4.89
9.375,4.89
9.417,4.89
9.458,4.89
9.5,4.89
9.542,4.89
9.583,4.89
9.625,4.89
9.667,4.89
9.708,4.89
9.75,4.89
9.792,4.89
9.833,4.89
9.875,4.89
9.917,4.89
9.958,4.89
10,4.62
10.042,4.62
10.083,4.62
10.125,4.62
10.167,4.62
10.208,4.62
10.25,4.62
10.292,4.62
10.333,4.62
10.375,4.62
10.417,4.62
10.458,4.62
10.5,4.62
10.542,4.62
10.583,4.62
10.625,4.62
10.667,4.62
10.708,4.62
10.75,4.62
10.792,4.62
10.833,4.62
10.875,4.62
10.917,4.62
10.958,4.62
11,5.05
11.042,5.05
11.083,5.05
11.125,5.05
11.167,5.05
11.208,5.05
11.25,5.05
11.292,5.05
11.333,5.05
11.375,5.05
11.417,5.05
11.458,5.05
11.5,5.05
11.542,5.05
11.583,5.05
11.625,5.05
11.667,5.05
11.708,5.05
11.75,5.05
11.792,5.05
11.833,5.05
11.875,5.05
11.917,5.05
11.958,5.05
12,5.74
12.042,5.74
12.083,5.74
12.125,5.74
12.167,5.74
12.208,5.74
12.25,5.74
12.292,5.74
12.333,5.74
12.375,5.74
12.417,5.74
12.458,5.74
12.5,5.74
12.542,5.74
12.583,5.74
12.625,5.74
12.667,5.74
12.708,5.74
12.75,5.74
12.792,5.74
12.833,5.74
12.875,5.74
12.917,5.74
12.958,5.74
13,5.6
13.042,5.6
13.083,5.6
13.125,5.6
13.167,5.6
13.208,5.6
13.25,5.6
13.292,5.6
13.333,5.6
13.375,5.6
13.417,5.6
13.458,5.6
13.5,5.6
13.542,5.6
13.583,5.6
13.625,5.6
13.667,5.6
13.708,5.6
13.75,5.6
13.792,5.6
13.833,5.6
13.875,5.6
13.917,5.6
13.958,5.6
14,4.49
14.042,4.49
14.083,4.49
14.125,4.49
14.167,4.49
14.208,4.49
14.25,4.49
14.292,4.49
14.333,4.49
14.375,4.49
14.417,4.49
14.458,4.49
14.5,4.49
14.542,4.49
14.583,4.49
14.625,4.49
14.667,4.49
14.708,4.49
14.75,4.49
14.792,4.49
14.833,4.49
14.875,4.49
14.917,4.49
14.958,4.49
15,4.44
15.042,4.44
15.083,4.44
15.125,4.44
15.167,4.44
15.208,4.44
15.25,4.44
15.292,4.44
15.333,4.44
15.375,4.44
15.417,4.44
15.458,4.44
15.5,4.44
15.542,4.44
15.583,4.44
15.625,4.44
15.667,4.44
15.708,4.44
15.75,4.44
15.792,4.44
15.833,4.44
15.875,4.44
15.917,4.44
15.958,4.44
16,5.35
16.042,5.35
16.083,5.35
16.125,5.35
