$Trinity Lake Br1 inflow year 2016 updated YC 06/01/23,
",,,",
Jday,USBR TL Inflow (QI)
1,3.794421634
1.042,3.794421634
1.083,3.794421634
1.125,3.794421634
1.167,3.794421634
1.208,3.794421634
1.25,3.794421634
1.292,3.794421634
1.333,3.794421634
1.375,3.794421634
1.417,3.794421634
1.458,3.794421634
1.5,3.794421634
1.542,3.794421634
1.583,3.794421634
1.625,3.794421634
1.667,3.794421634
1.708,3.794421634
1.75,3.794421634
1.792,3.794421634
1.833,3.794421634
1.875,3.794421634
1.917,3.794421634
1.958,3.794421634
2,4.558969277
2.042,4.558969277
2.083,4.558969277
2.125,4.558969277
2.167,4.558969277
2.208,4.558969277
2.25,4.558969277
2.292,4.558969277
2.333,4.558969277
2.375,4.558969277
2.417,4.558969277
2.458,4.558969277
2.5,4.558969277
2.542,4.558969277
2.583,4.558969277
2.625,4.558969277
2.667,4.558969277
2.708,4.558969277
2.75,4.558969277
2.792,4.558969277
2.833,4.558969277
2.875,4.558969277
2.917,4.558969277
2.958,4.558969277
3,4.813818491
3.042,4.813818491
3.083,4.813818491
3.125,4.813818491
3.167,4.813818491
3.208,4.813818491
3.25,4.813818491
3.292,4.813818491
3.333,4.813818491
3.375,4.813818491
3.417,4.813818491
3.458,4.813818491
3.5,4.813818491
3.542,4.813818491
3.583,4.813818491
3.625,4.813818491
3.667,4.813818491
3.708,4.813818491
3.75,4.813818491
3.792,4.813818491
3.833,4.813818491
3.875,4.813818491
3.917,4.813818491
3.958,4.813818491
4,5.238567181
4.042,5.238567181
4.083,5.238567181
4.125,5.238567181
4.167,5.238567181
4.208,5.238567181
4.25,5.238567181
4.292,5.238567181
4.333,5.238567181
4.375,5.238567181
4.417,5.238567181
4.458,5.238567181
4.5,5.238567181
4.542,5.238567181
4.583,5.238567181
4.625,5.238567181
4.667,5.238567181
4.708,5.238567181
4.75,5.238567181
4.792,5.238567181
4.833,5.238567181
4.875,5.238567181
4.917,5.238567181
4.958,5.238567181
5,12.09117939
5.042,12.09117939
5.083,12.09117939
5.125,12.09117939
5.167,12.09117939
5.208,12.09117939
5.25,12.09117939
5.292,12.09117939
5.333,12.09117939
5.375,12.09117939
5.417,12.09117939
5.458,12.09117939
5.5,12.09117939
5.542,12.09117939
5.583,12.09117939
5.625,12.09117939
5.667,12.09117939
5.708,12.09117939
5.75,12.09117939
5.792,12.09117939
5.833,12.09117939
5.875,12.09117939
5.917,12.09117939
5.958,12.09117939
6,16.53688234
6.042,16.53688234
6.083,16.53688234
6.125,16.53688234
6.167,16.53688234
6.208,16.53688234
6.25,16.53688234
6.292,16.53688234
6.333,16.53688234
6.375,16.53688234
