$Trinity Lake Br2 inflow Tw year 2016 updated YC 06/01/2023,
",,,",
Jday,EF Trinity R
1,1.56
1.042,1.56
1.083,1.56
1.125,1.56
1.167,1.56
1.208,1.56
1.25,1.56
1.292,1.56
1.333,1.56
1.375,1.56
1.417,1.56
1.458,1.56
1.5,1.56
1.542,1.56
1.583,1.56
1.625,1.56
1.667,1.56
1.708,1.56
1.75,1.56
1.792,1.56
1.833,1.56
1.875,1.56
1.917,1.56
1.958,1.56
2,1.51
2.042,1.51
2.083,1.51
2.125,1.51
2.167,1.51
2.208,1.51
2.25,1.51
2.292,1.51
2.333,1.51
2.375,1.51
2.417,1.51
2.458,1.51
2.5,1.51
2.542,1.51
2.583,1.51
2.625,1.51
2.667,1.51
2.708,1.51
2.75,1.51
2.792,1.51
2.833,1.51
2.875,1.51
2.917,1.51
2.958,1.51
3,3.09
3.042,3.09
3.083,3.09
3.125,3.09
3.167,3.09
3.208,3.09
3.25,3.09
3.292,3.09
3.333,3.09
3.375,3.09
3.417,3.09
3.458,3.09
3.5,3.09
3.542,3.09
3.583,3.09
3.625,3.09
3.667,3.09
3.708,3.09
3.75,3.09
3.792,3.09
3.833,3.09
3.875,3.09
3.917,3.09
3.958,3.09
4,3.45
4.042,3.45
4.083,3.45
4.125,3.45
4.167,3.45
4.208,3.45
4.25,3.45
4.292,3.45
4.333,3.45
4.375,3.45
4.417,3.45
4.458,3.45
4.5,3.45
4.542,3.45
4.583,3.45
4.625,3.45
4.667,3.45
4.708,3.45
4.75,3.45
4.792,3.45
4.833,3.45
4.875,3.45
4.917,3.45
4.958,3.45
5,4.46
5.042,4.46
5.083,4.46
5.125,4.46
5.167,4.46
5.208,4.46
5.25,4.46
5.292,4.46
5.333,4.46
5.375,4.46
5.417,4.46
5.458,4.46
5.5,4.46
5.542,4.46
5.583,4.46
5.625,4.46
5.667,4.46
5.708,4.46
5.75,4.46
5.792,4.46
5.833,4.46
5.875,4.46
5.917,4.46
5.958,4.46
6,4.95
6.042,4.95
6.083,4.95
6.125,4.95
6.167,4.95
6.208,4.95
6.25,4.95
6.292,4.95
6.333,4.95
6.375,4.95
6.417,4.95
6.458,4.95
6.5,4.95
6.542,4.95
6.583,4.95
6.625,4.95
6.667,4.95
6.708,4.95
6.75,4.95
6.792,4.95
6.833,4.95
6.875,4.95
6.917,4.95
6.958,4.95
7,5.3
7.042,5.3
7.083,5.3
7.125,5.3
7.167,5.3
7.208,5.3
7.25,5.3
7.292,5.3
7.333,5.3
7.375,5.3
7.417,5.3
7.458,5.3
7.5,5.3
7.542,5.3
7.583,5.3
7.625,5.3
7.667,5.3
7.708,5.3
7.75,5.3
7.792,5.3
7.833,5.3
7.875,5.3
7.917,5.3
7.958,5.3
8,5.4
8.042,5.4
8.083,5.4
8.125,5.4
8.167,5.4
8.208,5.4
8.25,5.4
8.292,5.4
8.333,5.4
8.375,5.4
8.417,5.4
8.458,5.4
8.5,5.4
8.542,5.4
8.583,5.4
8.625,5.4
8.667,5.4
8.708,5.4
8.75,5.4
8.792,5.4
8.833,5.4
8.875,5.4
8.917,5.4
8.958,5.4
9,5.31
9.042,5.31
9.083,5.31
9.125,5.31
9.167,5.31
9.208,5.31
9.25,5.31
9.292,5.31
9.333,5.31
9.375,5.31
9.417,5.31
9.458,5.31
9.5,5.31
9.542,5.31
9.583,5.31
9.625,5.31
9.667,5.31
9.708,5.31
9.75,5.31
9.792,5.31
9.833,5.31
9.875,5.31
9.917,5.31
9.958,5.31
10,5.04
10.042,5.04
10.083,5.04
10.125,5.04
10.167,5.04
10.208,5.04
10.25,5.04
10.292,5.04
10.333,5.04
10.375,5.04
10.417,5.04
10.458,5.04
10.5,5.04
10.542,5.04
10.583,5.04
10.625,5.04
10.667,5.04
10.708,5.04
10.75,5.04
10.792,5.04
10.833,5.04
10.875,5.04
10.917,5.04
10.958,5.04
11,5.47
11.042,5.47
11.083,5.47
11.125,5.47
11.167,5.47
11.208,5.47
11.25,5.47
11.292,5.47
11.333,5.47
11.375,5.47
11.417,5.47
11.458,5.47
11.5,5.47
11.542,5.47
11.583,5.47
11.625,5.47
11.667,5.47
11.708,5.47
11.75,5.47
11.792,5.47
11.833,5.47
11.875,5.47
11.917,5.47
11.958,5.47
12,6.16
12.042,6.16
12.083,6.16
12.125,6.16
12.167,6.16
12.208,6.16
12.25,6.16
12.292,6.16
12.333,6.16
12.375,6.16
