$Trinity Lake Br3 inflow Tw year 2016 YC updated 06/01/23,
",,,",
Jday,Stuart
1,0.58
1.042,0.58
1.083,0.58
1.125,0.58
1.167,0.58
1.208,0.58
1.25,0.58
1.292,0.58
1.333,0.58
1.375,0.58
1.417,0.58
1.458,0.58
1.5,0.58
1.542,0.58
1.583,0.58
1.625,0.58
1.667,0.58
1.708,0.58
1.75,0.58
1.792,0.58
1.833,0.58
1.875,0.58
1.917,0.58
1.958,0.58
2,0.53
2.042,0.53
2.083,0.53
2.125,0.53
2.167,0.53
2.208,0.53
2.25,0.53
2.292,0.53
2.333,0.53
2.375,0.53
2.417,0.53
2.458,0.53
2.5,0.53
2.542,0.53
2.583,0.53
2.625,0.53
2.667,0.53
2.708,0.53
2.75,0.53
2.792,0.53
2.833,0.53
2.875,0.53
2.917,0.53
2.958,0.53
3,1.98
3.042,1.98
3.083,1.98
3.125,1.98
3.167,1.98
3.208,1.98
3.25,1.98
3.292,1.98
3.333,1.98
3.375,1.98
3.417,1.98
3.458,1.98
3.5,1.98
3.542,1.98
3.583,1.98
3.625,1.98
3.667,1.98
3.708,1.98
3.75,1.98
3.792,1.98
3.833,1.98
3.875,1.98
3.917,1.98
3.958,1.98
4,2.31
4.042,2.31
4.083,2.31
4.125,2.31
4.167,2.31
4.208,2.31
4.25,2.31
4.292,2.31
4.333,2.31
4.375,2.31
4.417,2.31
4.458,2.31
4.5,2.31
4.542,2.31
4.583,2.31
4.625,2.31
4.667,2.31
4.708,2.31
4.75,2.31
4.792,2.31
4.833,2.31
4.875,2.31
4.917,2.31
4.958,2.31
5,3.23
5.042,3.23
5.083,3.23
5.125,3.23
5.167,3.23
5.208,3.23
5.25,3.23
5.292,3.23
5.333,3.23
5.375,3.23
5.417,3.23
5.458,3.23
5.5,3.23
5.542,3.23
5.583,3.23
5.625,3.23
5.667,3.23
5.708,3.23
5.75,3.23
5.792,3.23
5.833,3.23
5.875,3.23
5.917,3.23
5.958,3.23
6,3.69
6.042,3.69
6.083,3.69
6.125,3.69
6.167,3.69
6.208,3.69
6.25,3.69
6.292,3.69
6.333,3.69
6.375,3.69
6.417,3.69
6.458,3.69
6.5,3.69
6.542,3.69
6.583,3.69
6.625,3.69
6.667,3.69
6.708,3.69
6.75,3.69
6.792,3.69
6.833,3.69
6.875,3.69
6.917,3.69
6.958,3.69
7,4
7.042,4
7.083,4
7.125,4
7.167,4
7.208,4
7.25,4
7.292,4
