$Trinity Lake qdt year 2016 YC 08/25/22,
",,,",
JDAY,qdt
1,1.069158982
1.042,-44.93084102
1.083,-16.24584102
1.125,1.069158982
1.167,1.069158982
1.208,1.069158982
1.25,1.069158982
1.292,-6.010841018
1.333,-6.97884102
1.375,64.11815898
1.417,1.069158982
1.458,27.39515898
1.5,-57.13484102
1.542,1.069158982
1.583,-20.71684102
1.625,46.40215898
1.667,74.68315898
1.708,-48.16684102
1.75,1.069158982
1.792,-29.30884102
1.833,21.12415898
1.875,1.069158982
1.917,1.069158982
1.958,14.46515898
2,-20.287238
2.042,-12.673238
2.083,-8.128238
2.125,-13.059238
2.167,-1.595238
2.208,-22.111238
2.25,22.378762
2.292,-0.092238
2.333,-0.092238
2.375,-0.092238
2.417,-0.092238
2.458,51.500762
2.5,-0.092238
2.542,26.071762
2.583,-75.441238
2.625,6.288762
2.667,50.734762
2.708,-8.740238
2.75,-0.092238
2.792,-18.410238
2.833,-0.092238
2.875,-3.395238
2.917,-0.092238
2.958,0.881762
3,-5.30270257
3.042,-38.16070257
3.083,70.97829743
3.125,-10.71970257
3.167,-29.05070257
3.208,-2.45770257
3.25,-7.14270257
3.292,-12.50970257
3.333,25.34929743
3.375,-0.594702567
3.417,-0.594702567
3.458,-0.594702567
3.5,-6.017702567
3.542,-17.44270257
3.583,1.674297433
3.625,25.20529743
3.667,38.67929743
3.708,-45.83570257
3.75,4.924297433
3.792,52.51629743
3.833,-3.742702567
3.875,15.27929743
3.917,-47.64870257
3.958,-16.02870257
4,0.1474348
4.042,-7.8005652
4.083,52.3464348
4.125,0.0694348
4.167,-18.8745652
4.208,-15.5085652
4.25,-7.0635652
4.292,-3.8655652
4.333,5.8774348
4.375,0.0694348
4.417,0.0694348
4.458,0.0694348
4.5,-1.5905652
4.542,10.0504348
4.583,38.4794348
4.625,-12.1125652
4.667,0.0694348
4.708,-21.8165652
4.75,3.3364348
4.792,42.7724348
4.833,0.0694348
4.875,-6.0005652
4.917,12.1664348
4.958,-21.1595652
5,18.0426394
5.042,-0.442360596
5.083,48.5286394
5.125,-3.905360596
5.167,-0.442360596
5.208,-0.442360596
5.25,2.716639404
5.292,-0.442360596
5.333,26.8916394
5.375,55.7196394
5.417,-34.1533606
5.458,22.8946394
5.5,-4.694360596
5.542,-13.4413606
5.583,31.0016394
5.625,26.6016394
5.667,9.0006394
5.708,12.5416394
5.75,18.1166394
5.792,14.1136394
5.833,20.2506394
5.875,25.3166394
5.917,-4.276360596
5.958,-11.0723606
6,9.296769617
6.042,-5.276230383
6.083,2.964769617
6.125,-41.58023038
6.167,51.31476962
6.208,52.35376962
6.25,-55.10923038
6.292,32.87176962
6.333,24.57676962
6.375,50.23876962
6.417,33.55376962
6.458,-29.59823038
6.5,-1.739230383
6.542,62.05576962
6.583,24.57976962
6.625,-17.54223038
6.667,10.61576962
6.708,63.13076962
6.75,14.99476962
6.792,19.42376962
6.833,25.62676962
6.875,7.48976962
6.917,10.75676962
6.958,19.66676962
7,12.69157928
7.042,36.53057928
7.083,6.83357928
7.125,25.15957928
7.167,25.63757928
7.208,15.45657928
7.25,12.72257928
7.292,4.870579283
7.333,2.111579283
7.375,67.84457928
7.417,-6.950420717
7.458,9.574579283
7.5,-6.554420717
7.542,2.111579283
7.583,2.111579283
7.625,6.437579283
7.667,86.35657928
7.708,-44.41142072
7.75,28.81557928
7.792,-14.21442072
7.833,48.59357928
7.875,-14.25142072
7.917,7.529579283
7.958,-1.273420717
8,22.42677864
8.042,-1.42522136
8.083,41.17777864
8.125,-29.27022136
8.167,15.38877864
8.208,-1.42522136
8.25,51.23377864
8.292,-1.42522136
8.333,-25.56622136
8.375,9.96777864
8.417,-1.42522136
8.458,55.74477864
8.5,-1.42522136
8.542,-38.79622136
8.583,-1.42522136
8.625,-1.42522136
8.667,3.13977864
8.708,-1.42522136
8.75,38.27877864
8.792,25.23977864
8.833,31.75977864
8.875,-32.48222136
8.917,-1.42522136
8.958,16.83077864
9,18.9576005
9.042,-16.3013995
9.083,20.3246005
9.125,-0.119399496
9.167,8.050600504
9.208,-0.119399496
9.25,35.1136005
9.292,-0.119399496
9.333,40.5736005
9.375,-62.2093995
9.417,66.3286005
9.458,57.8546005
9.5,17.7396005
9.542,-36.8933995
9.583,-0.119399496
9.625,-0.119399496
9.667,6.069600504
9.708,19.4166005
9.75,33.7466005
9.792,-16.5183995
9.833,-0.119399496
9.875,-0.119399496
9.917,12.5476005
9.958,21.1986005
10,18.49184109
10.042,-5.061158906
10.083,-34.28615891
10.125,17.35484109
10.167,1.087841094
10.208,59.49484109
10.25,-20.94215891
10.292,42.24784109
10.333,-12.26415891
10.375,-37.23515891
10.417,75.07384109
10.458,0.680841094
10.5,-15.83815891
10.542,-0.85715891
10.583,20.67384109
10.625,22.59184109
10.667,15.80984109
10.708,-0.175158906
10.75,1.087841094
10.792,1.087841094
10.833,10.90284109
10.875,8.37084109
10.917,-31.96815891
10.958,17.03984109
11,0.1744951
11.042,67.0274951
11.083,-6.0855049
11.125,-56.7615049
11.167,31.9304951
11.208,0.1744951
11.25,-13.1955049
11.292,36.4714951
11.333,0.1744951
11.375,28.4044951
11.417,-11.8655049
11.458,35.3974951
11.5,25.2134951
11.542,6.4624951
11.583,35.5634951
11.625,-12.4775049
11.667,0.1744951
11.708,0.1744951
11.75,-21.9675049
11.792,0.1744951
11.833,23.5514951
11.875,25.4934951
11.917,21.3494951
11.958,-9.7335049
12,-34.90613316
12.042,10.59286684
12.083,0.388866844
12.125,0.221866844
12.167,24.60086684
12.208,0.388866844
12.25,-7.003133156
12.292,-2.45913316
12.333,16.93386684
12.375,32.55486684
12.417,12.13586684
12.458,9.57286684
12.5,30.02986684
12.542,1.555866844
12.583,-7.092133156
12.625,-19.90013316
12.667,-19.29213316
12.708,12.94486684
12.75,0.388866844
12.792,-1.574133156
12.833,0.388866844
12.875,80.73986684
12.917,0.388866844
12.958,18.46286684
13,-53.93409821
13.042,5.533901786
13.083,48.98990179
13.125,55.47790179
13.167,-46.25209821
13.208,0.78990179
13.25,84.34190179
13.292,9.65590179
13.333,37.26890179
13.375,-30.02109821
13.417,38.49290179
13.458,113.6639018
13.5,47.37490179
13.542,75.43390179
13.583,38.41190179
13.625,-19.18509821
13.667,68.33990179
13.708,85.17490179
13.75,72.60090179
13.792,14.42390179
13.833,47.23090179
13.875,83.40790179
13.917,69.81190179
13.958,83.69290179
14,-5.15066037
14.042,68.39633963
14.083,-0.195660368
14.125,45.65933963
14.167,24.90133963
14.208,56.11633963
14.25,39.40433963
14.292,45.75233963
14.333,59.25933963
14.375,62.83333963
14.417,3.89233963
14.458,-54.34366037
14.5,61.80433963
14.542,102.9163396
14.583,-78.64066037
14.625,27.44133963
14.667,25.64933963
14.708,97.1643396
14.75,59.30433963
14.792,-23.07266037
14.833,-17.69566037
14.875,3.156339632
14.917,35.90033963
14.958,5.55633963
15,35.84954555
15.042,45.27254555
15.083,20.27554555
15.125,19.16454555
15.167,53.54254555
15.208,-10.49345445
15.25,0.265545551
15.292,-2.919454449
15.333,36.73954555
15.375,0.265545551
15.417,50.17554555
15.458,52.64354555
15.5,-24.37845445
15.542,7.839545551
15.583,4.58454555
15.625,6.17654555
15.667,-1.16045445
15.708,21.78354555
15.75,9.802545551
15.792,0.265545551
15.833,59.15354555
15.875,-1.645454449
15.917,0.265545551
15.958,9.421545551
16,52.82577492
16.042,37.31377492
16.083,-7.146225082
16.125,0.276774918
16.167,1.630774918
16.208,38.79477492
16.25,35.64077492
16.292,32.15177492
16.333,17.29977492
16.375,3.461774918
16.417,54.49377492
16.458,23.16177492
16.5,27.64877492
16.542,-14.54222508
16.583,0.276774918
16.625,64.20077492
16.667,0.276774918
16.708,53.62277492
16.75,47.94877492
16.792,-24.10222508
16.833,0.276774918
16.875,7.212774918
16.917,28.55377492
16.958,32.39477492
17,-74.7600795
17.042,-170.2910795
17.083,-56.0450795
17.125,-159.1770795
17.167,-190.1530795
17.208,-33.8040795
17.25,-69.1120795
17.292,-65.8260795
17.333,-161.8900795
17.375,-84.2290795
17.417,63.73692054
17.458,-77.13707946
17.5,-42.99407946
17.542,-2.46607946
17.583,120.9849205
17.625,-10.33907946
17.667,181.3909205
17.708,164.7149205
17.75,181.6359205
17.792,1049.874921
17.833,574.6529205
17.875,292.4959205
17.917,429.3339205
17.958,478.1239205
18,263.2856894
18.042,326.5176894
18.083,237.4616894
18.125,27.0866894
18.167,195.6326894
18.208,247.2696894
18.25,87.7316894
18.292,137.6176894
18.333,102.8706894
18.375,4.3236894
18.417,117.7916894
18.458,119.2086894
18.5,-30.5403106
18.542,83.6386894
18.583,-20.6553106
18.625,-11.8453106
18.667,67.1566894
18.708,58.6686894
18.75,-13.7703106
18.792,43.0846894
18.833,23.2206894
18.875,2.2296894
18.917,51.4046894
18.958,14.1676894
19,-22.01647412
19.042,-16.69147412
19.083,-35.51947412
19.125,-82.3784741
19.167,122.7865259
19.208,-74.27347412
19.25,-49.83447412
19.292,151.4945259
19.333,7.45752588
19.375,1.24352588
19.417,49.85552588
19.458,226.4225259
19.5,127.0125259
19.542,282.4725259
19.583,132.5235259
19.625,41.89752588
19.667,249.9255259
19.708,202.9765259
19.75,183.7805259
19.792,149.0935259
19.833,74.5985259
19.875,90.61852588
19.917,94.5585259
19.958,199.2115259
20,108.0300063
