$Trinity Lake spillway release year 2016 YC 08/25/22,
",,,",
Jday,TRN / Spill Flow / Spill Release - cms
1,0.0283
1.042,0.0283
1.083,0.0283
1.125,0.0283
1.167,0.0283
1.208,0.0283
1.25,0.0283
1.292,0.0283
1.333,0.0283
1.375,0.0283
1.417,0.0283
1.458,0.0283
1.5,0.0283
1.542,0.0283
1.583,0.0283
1.625,0.0283
1.667,0.0283
1.708,0.0283
1.75,0.0283
1.792,0.0283
1.833,0.0283
1.875,0.0283
1.917,0.0283
1.958,0.0283
2,0.0283
2.042,0.0283
2.083,0.0283
2.125,0.0283
2.167,0.0283
2.208,0.0283
2.25,0.0283
2.292,0.0283
2.333,0.0283
2.375,0.0283
2.417,0.0283
2.458,0.0283
2.5,0.0283
2.542,0.0283
2.583,0.0283
2.625,0.0283
2.667,0.0283
2.708,0.0283
2.75,0.0283
2.792,0.0283
2.833,0.0283
2.875,0.0283
2.917,0.0283
2.958,0.0283
3,0.0283
3.042,0.0283
3.083,0.0283
3.125,0.0283
3.167,0.0283
3.208,0.0283
3.25,0.0283
3.292,0.0283
3.333,0.0283
3.375,0.0283
3.417,0.0283
3.458,0.0283
3.5,0.0283
3.542,0.0283
3.583,0.0283
3.625,0.0283
3.667,0.0283
3.708,0.0283
3.75,0.0283
3.792,0.0283
3.833,0.0283
3.875,0.0283
3.917,0.0283
3.958,0.0283
4,0.0283
4.042,0.0283
4.083,0.0283
4.125,0.0283
4.167,0.0283
4.208,0.0283
4.25,0.0283
4.292,0.0283
4.333,0.0283
4.375,0.0283
4.417,0.0283
4.458,0.0283
4.5,0.0283
4.542,0.0283
4.583,0.0283
4.625,0.0283
4.667,0.0283
4.708,0.0283
4.75,0.0283
4.792,0.0283
4.833,0.0283
4.875,0.0283
4.917,0.0283
4.958,0.0283
5,0.0283
5.042,0.0283
5.083,0.0283
5.125,0.0283
5.167,0.0283
5.208,0.0283
5.25,0.0283
5.292,0.0283
5.333,0.0283
5.375,0.0283
5.417,0.0283
5.458,0.0283
5.5,0.0283
5.542,0.0283
5.583,0.0283
5.625,0.0283
5.667,0.0283
