$Trinity Lake updated withdrawals year 2016 YC 08/31/22,,
",,,",,
Jday,Power generation and Jet (cms),Auxiallary (cms)
1,28.4756015,0.0283
1.042,2.3547298,0.0283
1.083,0.0283,0.0283
1.125,0.0283,0.0283
1.167,0.0283,0.0283
1.208,0.0283,0.0283
1.25,0.0283,0.0283
1.292,0.0283,0.0283
1.333,0.0283,0.0283
1.375,0.0283,0.0283
1.417,0.0283,0.0283
1.458,1.8373492,0.0283
1.5,37.7898107,0.0283
1.542,40.2476374,0.0283
1.583,40.1900186,0.0283
1.625,39.8531637,0.0283
1.667,40.44919,0.0283
1.708,40.3196326,0.0283
1.75,40.302313,0.0283
1.792,40.2030083,0.0283
1.833,40.4059476,0.0283
1.875,40.2000651,0.0283
1.917,39.621415,0.0283
1.958,2.9963474,0.0283
2,0.0283,0.0283
2.042,0.0283,0.0283
2.083,0.0283,0.0283
2.125,0.0283,0.0283
2.167,0.0283,0.0283
2.208,0.0283,0.0283
2.25,0.0283,0.0283
2.292,0.0283,0.0283
2.333,0.0283,0.0283
2.375,0.0283,0.0283
2.417,0.0283,0.0283
2.458,0.0283,0.0283
2.5,0.0283,0.0283
2.542,2.0473918,0.0283
2.583,37.7343144,0.0283
2.625,39.9438369,0.0283
2.667,39.9870227,0.0283
2.708,40.1496911,0.0283
2.75,40.1713406,0.0283
2.792,40.2472978,0.0283
2.833,40.3584602,0.0283
2.875,40.1180234,0.0283
2.917,32.1518847,0.0283
2.958,0.0808814,0.0283
3,0.0283,0.0283
3.042,0.0283,0.0283
3.083,0.0283,0.0283
3.125,0.0283,0.0283
3.167,0.0283,0.0283
3.208,0.0283,0.0283
3.25,0.0283,0.0283
3.292,0.0283,0.0283
3.333,0.0283,0.0283
3.375,0.0283,0.0283
3.417,0.0283,0.0283
3.458,0.0283,0.0283
3.5,0.0283,0.0283
3.542,0.0283,0.0283
3.583,1.7574866,0.0283
3.625,37.7541527,0.0283
3.667,40.4937908,0.0283
3.708,40.0691493,0.0283
3.75,40.2490241,0.0283
3.792,40.4232389,0.0283
3.833,40.3886846,0.0283
3.875,40.0718944,0.0283
3.917,39.6415363,0.0283
3.958,2.5452737,0.0283
4,0.0283,0.0283
4.042,0.0283,0.0283
4.083,0.0283,0.0283
4.125,0.0283,0.0283
4.167,0.0283,0.0283
4.208,0.0283,0.0283
4.25,0.0283,0.0283
4.292,0.0283,0.0283
4.333,0.0283,0.0283
4.375,0.0283,0.0283
4.417,0.0283,0.0283
4.458,0.0283,0.0283
4.5,1.7301488,0.0283
4.542,37.833704,0.0283
4.583,40.0259069,0.0283
4.625,40.1957635,0.0283
4.667,43.9851618,0.0283
4.708,42.1090416,0.0283
4.75,40.2645608,0.0283
4.792,40.1166084,0.0283
4.833,40.3757515,0.0283
4.875,39.2687121,0.0283
4.917,3.0534568,0.0283
4.958,0.0283,0.0283
5,0.0283,0.0283
5.042,0.0283,0.0283
5.083,0.0283,0.0283
5.125,0.0283,0.0283
5.167,0.0283,0.0283
5.208,0.0283,0.0283
5.25,0.0283,0.0283
5.292,0.0283,0.0283
5.333,0.0283,0.0283
5.375,0.0283,0.0283
5.417,0.0283,0.0283
5.458,0.0283,0.0283
5.5,0.0283,0.0283
5.542,0.0283,0.0283
5.583,1.6545878,0.0283
5.625,37.8175164,0.0283
5.667,39.1088454,0.0283
5.708,40.4246822,0.0283
5.75,40.1568793,0.0283
5.792,39.7681788,0.0283
5.833,39.8171378,0.0283
5.875,40.5887939,0.0283
5.917,39.6415929,0.0283
5.958,3.3069682,0.0283
6,0.0283,0.0283
6.042,0.0283,0.0283
6.083,0.0283,0.0283
6.125,0.0283,0.0283
6.167,0.0283,0.0283
6.208,0.0283,0.0283
6.25,0.0283,0.0283
6.292,0.0283,0.0283
6.333,0.0283,0.0283
6.375,0.0283,0.0283
6.417,0.0283,0.0283
6.458,0.0283,0.0283
6.5,0.0283,0.0283
6.542,0.0283,0.0283
6.583,0.0283,0.0283
6.625,1.6383436,0.0283
6.667,45.4605823,0.0283
6.708,44.7797409,0.0283
6.75,46.033629,0.0283
6.792,46.2496429,0.0283
6.833,46.2928004,0.0283
6.875,46.2410114,0.0283
6.917,47.1679213,0.0283
