$Lewiston met year 2016 YC 06/21/22,,,,,,
",,,",,,,,,
Julian Date,Air Temp,Dewpoint Temp,Wind Speed,Wind Direction,Cloud Cover,Short radiation
1,-0.1,-11.05,12,0.733038286,0,0
1.042,-0.1,-10.77,7,0.261799388,0,0
1.083,-0.1,-11.63,11,0.977384381,0,0
1.125,0.46,-13.54,14,0.733038286,0,0
1.167,-0.65,-11.55,7,1.064650844,0,0
1.208,-0.1,-12.9,10,0.785398163,0,0
1.25,-0.65,-12.14,8,1.047197551,0,0
1.292,-0.65,-13.4,10,0.436332313,0,0
1.333,-0.1,-12.57,11,0.942477796,0,36.96
1.375,1.01,-13.42,12,0.977384381,0,184.91
1.417,2.12,-13.61,10,0.733038286,0,305.9
1.458,3.24,-12.64,10,0.890117919,0,391.9
1.5,4.9,-10.38,6,1.343903524,0,414.8
1.542,5.46,-10.29,8,1.378810109,0,416.89
1.583,4.35,-12.09,8,1.064650844,0,352.85
1.625,4.35,-11.67,4,0.890117919,0,246.86
1.667,2.68,-12.33,5,0.977384381,0,94.95
1.708,1.01,-12.35,8,0.925024504,0,5
1.75,1.01,-11.68,7,0.785398163,0,0
1.792,-0.65,-8.77,8,6.056292504,0,0
1.833,-0.65,-10.21,7,0.191986218,0,0
1.875,-0.65,-10.21,7,0.191986218,0,0
1.917,-0.65,-9.96,7,0.575958653,0,0
1.958,-0.65,-8.99,6,0.191986218,0,0
2,-1.21,-8.63,3,5.777039824,0,0
2.042,-1.76,-8.13,5,5.811946409,0,0
2.083,-1.76,-7.93,5,5.497787144,0,0
2.125,-1.21,-7.8,3,5.654866776,0,0
2.167,-1.76,-6.82,4,5.602506899,0,0
2.208,-1.21,-8.21,0,5.724679947,0,0
2.25,-1.21,-7.02,0,5.916666164,0,0
2.292,-1.76,-7.36,0,5.445427266,0,0
2.333,-1.76,-6.64,4,5.637413484,0,38
2.375,-0.1,-6.75,7,5.619960191,0,182.93
2.417,2.12,-7.2,5,5.881759579,0,303.92
2.458,3.24,-6.16,6,5.794493117,0,287.88
2.5,4.9,-4.9,6,5.951572749,0,379.81
2.542,4.9,-4.11,6,0.226892803,0,206.88
2.583,4.9,-2.89,5,0.767944871,0,117.97
2.625,4.35,-3.17,5,1.082104136,0,71.94
2.667,4.35,-2.94,4,0.104719755,0,36.03
2.708,3.79,-3.47,5,0.401425728,0,1.98
2.75,3.79,-2.38,6,0.06981317,0,0
2.792,3.79,-1.96,6,0.104719755,0,0
2.833,3.24,-1.69,6,6.091199089,0,0
2.875,4.35,-2.27,7,0.541052068,0,0
2.917,2.68,-1.85,6,5.724679947,0,0
2.958,2.68,-1.85,5,6.073745797,0,0
3,3.24,-1.5,7,5.567600314,0,0
3.042,2.68,-1.3,4,5.567600314,0,0
3.083,3.24,-1.5,5,5.916666164,0,0
3.125,3.24,-2.28,5,5.550147021,0,0
3.167,2.12,-0.62,6,5.724679947,0,0
3.208,2.68,-0.25,10,5.969026042,0,0
3.25,2.68,-0.08,7,5.934119457,0,0
3.292,3.24,-0.22,9,6.108652382,0,0
3.333,3.79,-0.04,6,5.829399702,0,13.95
3.375,3.24,0.47,7,5.654866776,0,33.01
3.417,3.79,0.84,5,5.585053606,0,46.95
3.458,4.9,0.29,6,6.038839212,0,69.04
3.5,4.35,2.22,9,5.899212872,0,109.02
3.542,4.9,2.92,6,6.091199089,0,86
3.583,4.35,3.77,10,5.759586532,0,61.95
3.625,3.79,3.36,6,6.073745797,0,62.99
3.667,3.79,3.36,6,6.248278722,0,29.99
3.708,3.79,3.21,8,6.16101226,0,8.02
3.75,4.35,2.86,5,6.056292504,0,0
3.792,3.79,2.92,6,5.881759579,0,0
3.833,3.24,2.81,7,5.567600314,0,0
3.875,2.68,2.67,6,5.689773362,0,0
3.917,3.24,1.92,5,5.602506899,0,0
3.958,2.12,1.4,6,5.550147021,0,0
4,3.24,0.97,7,5.375614096,0,0
4.042,2.12,0.81,6,5.515240436,0,0
4.083,3.79,0.14,6,5.497787144,0,0
4.125,2.12,1.26,7,5.654866776,0,0
4.167,3.24,1.29,8,5.742133239,0,0
4.208,4.9,1.92,6,5.218534463,0,0
4.25,3.24,1.45,6,5.567600314,0,0
4.292,2.12,1.98,9,5.794493117,0,0
4.333,2.68,2.67,5,5.777039824,0,5
4.375,3.24,3.23,3,5.393067389,0,23.01
4.417,3.24,2.81,6,5.689773362,0,59.04
4.458,4.35,3.47,2,1.047197551,0,46.95
4.5,4.35,4.06,4,0.41887902,0,69.04
4.542,3.24,3.1,6,6.073745797,0,76.94
4.583,3.79,3.65,6,0.087266463,0,33.94
4.625,3.79,3.78,4,0.558505361,0,16.97
4.667,3.24,3.1,4,5.864306287,0,11.97
4.708,3.24,3.1,8,5.759586532,0,1.05
4.75,3.24,3.23,7,5.672320069,0,0
4.792,3.24,3.23,8,5.672320069,0,0
4.833,3.24,3.23,7,5.672320069,0,0
4.875,3.24,3.23,6,5.585053606,0,0
4.917,3.24,3.23,6,5.619960191,0,0
4.958,3.24,3.23,7,5.864306287,0,0
5,3.24,3.23,7,5.881759579,0,0
5.042,2.68,2.67,8,5.619960191,0,0
5.083,2.68,2.67,6,5.707226654,0,0
5.125,3.24,3.23,7,5.585053606,0,0
5.167,3.24,3.23,8,5.637413484,0,0
5.208,3.24,3.23,8,5.532693729,0,0
5.25,3.24,3.23,5,5.532693729,0,0
5.292,3.24,3.23,7,5.567600314,0,0
5.333,2.68,2.67,7,5.550147021,0,3.02
5.375,3.24,3.23,7,5.602506899,0,24.99
5.417,3.24,3.23,6,5.427973974,0,69.04
5.458,3.79,3.78,6,5.585053606,0,91
5.5,4.9,4.89,0,2.00712864,0,116.92
5.542,4.9,4.89,4,2.897246558,0,94.95
5.583,5.46,5.45,4,3.106686069,0,81.01
5.625,5.46,5.45,5,3.490658504,0,79.03
5.667,4.9,4.89,3,2.687807048,0,46.95
5.708,5.46,5.45,5,2.775073511,0,8.02
5.75,5.46,5.45,2,3.089232776,0,0
5.792,4.9,4.89,4,2.42600766,0,0
5.833,4.9,4.89,6,2.967059728,0,0
5.875,4.9,4.89,3,3.141592654,0,0
5.917,3.79,3.78,3,5.759586532,0,0
5.958,4.35,4.34,3,5.585053606,0,0
6,4.35,4.34,5,2.059488517,0,0
6.042,4.35,4.34,4,2.35619449,0,0
