"$Flow file for segment 109, flow allocation from historic 2016 WHI Run YC 08/14/2023",,,
",,,",,,
JDAY,WdamL,WdamU,Spill
1.000,5.73,0,0
1.042,5.762,0,0
1.083,5.73,0,0
1.125,5.746,0,0
1.167,5.746,0,0
1.208,5.762,0,0
1.250,5.73,0,0
1.292,5.746,0,0
1.333,5.746,0,0
1.375,5.746,0,0
1.417,5.746,0,0
1.458,5.746,0,0
1.500,5.746,0,0
1.542,5.73,0,0
1.583,5.746,0,0
1.625,5.746,0,0
1.667,5.746,0,0
1.708,5.746,0,0
1.750,5.746,0,0
1.792,5.746,0,0
1.833,5.746,0,0
1.875,5.73,0,0
1.917,5.746,0,0
1.958,5.746,0,0
2.000,5.762,0,0
2.042,5.73,0,0
2.083,5.762,0,0
2.125,5.73,0,0
2.167,5.746,0,0
2.208,5.762,0,0
2.250,5.746,0,0
2.292,5.73,0,0
2.333,5.746,0,0
2.375,5.746,0,0
2.417,5.746,0,0
2.458,5.746,0,0
2.500,5.746,0,0
2.542,5.746,0,0
2.583,5.746,0,0
2.625,5.746,0,0
2.667,5.746,0,0
2.708,5.746,0,0
2.750,5.746,0,0
2.792,5.746,0,0
2.833,5.746,0,0
2.875,5.746,0,0
2.917,5.746,0,0
2.958,5.746,0,0
3.000,5.746,0,0
3.042,5.746,0,0
3.083,5.746,0,0
3.125,5.746,0,0
3.167,5.746,0,0
3.208,5.746,0,0
3.250,5.73,0,0
3.292,5.746,0,0
3.333,5.746,0,0
3.375,5.746,0,0
3.417,5.746,0,0
3.458,5.746,0,0
3.500,5.746,0,0
3.542,5.746,0,0
3.583,5.746,0,0
3.625,5.746,0,0
3.667,5.73,0,0
3.708,5.762,0,0
3.750,5.746,0,0
3.792,5.746,0,0
3.833,5.73,0,0
3.875,5.762,0,0
3.917,5.746,0,0
3.958,5.73,0,0
4.000,5.73,0,0
4.042,5.746,0,0
4.083,5.746,0,0
4.125,5.746,0,0
4.167,5.746,0,0
4.208,5.746,0,0
4.250,5.746,0,0
4.292,5.746,0,0
4.333,5.746,0,0
4.375,5.746,0,0
4.417,5.746,0,0
4.458,5.746,0,0
4.500,5.746,0,0
4.542,5.746,0,0
4.583,5.746,0,0
4.625,5.73,0,0
4.667,5.762,0,0
4.708,5.746,0,0
4.750,5.73,0,0
4.792,5.746,0,0
4.833,5.762,0,0
4.875,5.714,0,0
4.917,5.746,0,0
4.958,5.746,0,0
5.000,5.746,0,0
5.042,5.746,0,0
5.083,5.746,0,0
5.125,5.746,0,0
5.167,5.746,0,0
5.208,5.746,0,0
5.250,5.746,0,0
5.292,5.746,0,0
5.333,5.746,0,0
5.375,5.746,0,0
5.417,5.746,0,0
5.458,5.746,0,0
5.500,5.746,0,0
5.542,5.73,0,0
5.583,5.762,0,0
5.625,5.73,0,0
5.667,5.746,0,0
5.708,5.762,0,0
5.750,5.746,0,0
5.792,5.746,0,0
5.833,5.73,0,0
5.875,5.746,0,0
5.917,5.762,0,0
5.958,5.746,0,0
6.000,5.73,0,0
6.042,5.746,0,0
6.083,5.762,0,0
6.125,5.746,0,0
6.167,5.73,0,0
6.208,5.746,0,0
6.250,5.746,0,0
6.292,5.746,0,0
6.333,5.74,0,0
6.375,5.734,0,0
6.417,5.75,0,0
6.458,5.75,0,0
6.500,5.75,0,0
6.542,5.75,0,0
6.583,5.75,0,0
6.625,5.75,0,0
6.667,5.75,0,0
6.708,5.75,0,0
6.750,5.75,0,0
6.792,5.75,0,0
6.833,5.75,0,0
6.875,5.75,0,0
6.917,5.75,0,0
6.958,5.75,0,0
7.000,5.75,0,0
7.042,5.75,0,0
7.083,5.734,0,0
7.125,5.75,0,0
7.167,5.75,0,0
7.208,5.75,0,0
7.250,5.75,0,0
7.292,5.75,0,0
7.333,5.75,0,0
7.375,5.75,0,0
7.417,5.75,0,0
7.458,5.75,0,0
7.500,5.734,0,0
7.542,5.734,0,0
7.583,5.75,0,0
7.625,5.75,0,0
7.667,5.734,0,0
7.708,5.766,0,0
7.750,5.75,0,0
7.792,5.75,0,0
7.833,5.75,0,0
7.875,5.75,0,0
7.917,5.75,0,0
7.958,5.734,0,0
8.000,5.75,0,0
8.042,5.75,0,0
8.083,5.766,0,0
8.125,5.734,0,0
8.167,5.75,0,0
8.208,5.75,0,0
8.250,5.75,0,0
8.292,5.734,0,0
8.333,5.75,0,0
8.375,5.75,0,0
8.417,5.75,0,0
8.458,5.75,0,0
8.500,5.75,0,0
8.542,5.75,0,0
8.583,5.75,0,0
8.625,5.75,0,0
8.667,5.75,0,0
8.708,5.75,0,0
8.750,5.75,0,0
8.792,5.75,0,0
8.833,5.734,0,0
8.875,5.75,0,0
8.917,5.766,0,0
8.958,5.75,0,0
9.000,5.734,0,0
9.042,5.75,0,0
9.083,5.734,0,0
9.125,5.766,0,0
9.167,5.734,0,0
9.208,5.75,0,0
9.250,5.75,0,0
9.292,5.75,0,0
9.333,5.75,0,0
9.375,5.75,0,0
9.417,5.75,0,0
9.458,5.75,0,0
9.500,5.75,0,0
9.542,5.75,0,0
9.583,5.75,0,0
9.625,5.75,0,0
9.667,5.75,0,0
9.708,5.75,0,0
9.750,5.75,0,0
9.792,5.75,0,0
9.833,5.75,0,0
9.875,5.75,0,0
9.917,5.75,0,0
9.958,5.75,0,0
10.000,5.734,0,0
10.042,5.766,0,0
10.083,5.75,0,0
10.125,5.734,0,0
10.167,5.75,0,0
10.208,5.75,0,0
10.250,5.766,0,0
10.292,5.734,0,0
10.333,5.75,0,0
10.375,5.75,0,0
10.417,5.75,0,0
10.458,5.75,0,0
10.500,5.701,0.049,0
10.542,5.721,0.045,0
10.583,5.659,0.075,0
10.625,5.75,0,0
10.667,5.75,0,0
10.708,5.75,0,0
10.750,5.75,0,0
10.792,5.75,0,0
10.833,5.75,0,0
10.875,5.75,0,0
10.917,5.75,0,0
10.958,5.75,0,0
11.000,5.75,0,0
11.042,5.75,0,0
11.083,5.75,0,0
11.125,5.75,0,0
11.167,5.75,0,0
11.208,5.75,0,0
11.250,5.75,0,0
11.292,5.75,0,0
11.333,5.734,0,0
11.375,5.75,0,0
11.417,5.766,0,0
11.458,5.734,0,0
11.500,5.75,0,0
11.542,5.75,0,0
11.583,5.75,0,0
11.625,5.734,0,0
11.667,2.085,3.665,0
11.708,2.116,3.634,0
11.750,2.136,3.614,0
11.792,2.126,3.624,0
11.833,2.132,3.618,0
11.875,2.11,3.64,0
11.917,2.089,3.661,0
11.958,2.383,3.367,0
12.000,2.362,3.388,0
12.042,2.348,3.402,0
12.083,2.014,3.736,0
12.125,2.31,3.44,0
12.167,2.297,3.453,0
12.208,2.286,3.464,0
12.250,2.277,3.473,0
12.292,2.269,3.481,0
12.333,2.256,3.494,0
12.375,1.917,3.833,0
12.417,1.907,3.843,0
12.458,1.904,3.846,0
12.500,2.214,3.52,0
12.542,2.211,3.539,0
12.583,2.213,3.537,0
12.625,2.714,3.052,0
12.667,2.194,3.556,0
12.708,2.66,3.074,0
12.750,2.662,3.088,0
12.792,2.673,3.077,0
12.833,2.691,3.059,0
12.875,2.699,3.051,0
12.917,2.682,3.068,0
12.958,2.98,2.77,0
13.000,3.789,1.961,0
13.042,4.282,1.468,0
13.083,4.6,1.15,0
13.125,4.513,1.237,0
13.167,4.1,1.65,0
13.208,4.02,1.73,0
13.250,0.809,4.941,0
13.292,0,5.75,0
13.333,0,5.734,0
13.375,0,5.766,0
13.417,0.052,5.698,0
13.458,0,5.734,0
13.500,0,5.75,0
13.542,0,5.75,0
13.583,0,5.766,0
13.625,0,5.75,0
13.667,0,5.734,0
13.708,0,5.75,0
13.750,0,5.75,0
13.792,0.836,4.93,0
13.833,0,5.734,0
13.875,0,5.75,0
13.917,0,5.75,0
13.958,0,5.75,0
14.000,0,5.75,0
14.042,0,5.75,0
14.083,0,5.734,0
14.125,0,5.75,0
14.167,0,5.75,0
14.208,0,5.75,0
14.250,0,5.766,0
