Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
109,  3,       14390.73,   531536.56327,  4499681.29209, 10,   297.820
108,  3,       14250.73,   531466.56492,  4499802.53660, 10,   296.820
107,  3,       14090.73,   531407.06734,  4499949.59303, 10,   297.820
106,  3,       13915.73,   531377.22317,  4500121.35440, 10,   299.820
105,  3,       13745.73,   531367.97869,  4500290.99955, 10,   300.820
104,  3,       13590.73,   531371.81068,  4500445.80469, 10,   299.820
103,  3,       13470.73,   531393.16718,  4500562.63349, 10,   301.820
 75,  1,       10045.87,   531102.78935,  4499762.65143, 10,   304.820
 76,  1,       10345.87,***************,***************, 10,   314.820
 77,  1,       10558.37,***************,***************, 10,   325.820
 78,  1,       10745.87,***************,***************, 10,   326.820
 79,  1,       10935.87,***************,***************, 10,   326.820
 74,  1,        9670.87,***************,***************, 10,   304.820
 73,  1,        9270.87,***************,***************, 10,   306.820
 72,  1,        8870.87,***************,***************, 10,   309.820
 71,  1,        8370.87,***************,***************, 10,   310.820
 70,  1,        7720.87,***************,***************, 10,   318.820
 69,  1,        7120.87,***************,***************, 10,   320.820
 68,  1,        6680.87,***************,***************, 10,   323.820
 67,  1,        6325.87,***************,***************, 10,   327.820
 66,  1,        6025.87,***************,***************, 10,   328.820
 65,  1,        5785.87,***************,***************, 10,   329.820
 64,  1,        5575.87,***************,***************, 10,   333.820
 63,  1,        5380.87,***************,***************, 10,   335.820
 62,  1,        5215.87,***************,***************, 10,   337.820
 61,  1,        5075.87,***************,***************, 10,   338.820
 60,  1,        4940.87,***************,***************, 10,   338.820
 59,  1,        4810.87,***************,***************, 10,   338.820
 58,  1,        4710.87,***************,***************, 10,   339.820
 57,  1,        4630.87,***************,***************, 10,   340.820
 56,  1,        4550.87,***************,***************, 10,   340.820
 55,  1,        4470.87,***************,***************, 10,   340.820
 54,  1,        4390.87,***************,***************, 10,   341.820
 53,  1,        4295.87,***************,***************, 10,   341.820
 52,  1,        4180.87,***************,***************, 10,   342.820
 51,  1,        4060.87,***************,***************, 10,   342.820
 50,  1,        3935.87,***************,***************, 10,   342.820
 49,  1,        3805.87,***************,***************, 10,   343.820
 48,  1,        3675.87,***************,***************, 10,   342.820
 47,  1,        3545.87,***************,***************, 10,   343.820
 46,  1,        3415.87,***************,***************, 10,   344.820
 45,  1,        3288.37,***************,***************, 10,   344.820
 44,  1,        3170.87,***************,***************, 10,   345.820
 43,  1,        3055.87,***************,***************, 10,   346.820
 42,  1,        2943.37,***************,***************, 10,   346.820
 41,  1,        2845.87,***************,***************, 10,   347.820
 40,  1,        2758.37,***************,***************, 10,   347.820
 39,  1,        2673.37,***************,***************, 10,   352.820
 38,  1,        2590.87,***************,***************, 10,   352.820
 37,  1,        2510.87,***************,***************, 10,   351.820
 36,  1,        2433.37,***************,***************, 10,   350.820
 35,  1,        2360.87,***************,***************, 10,   349.820
 34,  1,        2290.87,***************,***************, 10,   349.820
 33,  1,        2220.87,***************,***************, 10,   350.820
 32,  1,        2150.87,***************,***************, 10,   349.820
 31,  1,        2080.87,***************,***************, 10,   348.820
 30,  1,        2010.87,***************,***************, 10,   350.820
 29,  1,        1940.87,***************,***************, 10,   350.820
 28,  1,        1870.87,***************,***************, 10,   351.820
 27,  1,        1800.87,***************,***************, 10,   353.820
 26,  1,        1730.87,***************,***************, 10,   352.820
 25,  1,        1660.87,***************,***************, 10,   351.820
 24,  1,        1590.87,***************,***************, 10,   351.820
 23,  1,        1520.87,***************,***************, 10,   355.820
 22,  1,        1450.87,***************,***************, 10,   354.820
 21,  1,        1380.87,***************,***************, 10,   354.820
 20,  1,        1305.87,***************,***************, 10,   354.820
 19,  1,        1228.37,***************,***************, 10,   356.820
 18,  1,        1155.87,***************,***************, 10,   356.820
 17,  1,        1085.87,***************,***************, 10,   356.820
 16,  1,        1015.87,***************,***************, 10,   356.820
 15,  1,         945.87,***************,***************, 10,   356.820
 14,  1,         875.87,***************,***************, 10,   363.820
 13,  1,         805.87,***************,***************, 10,   363.820
 12,  1,         735.87,***************,***************, 10,   363.820
