Constituent,Julian_day,Seg_50 ,Seg_51 ,Seg_52 ,Seg_77 ,Seg_78 ,Seg_79 ,Seg_72 ,Seg_107,
Temperature,     1.000,       9.000,       9.000,       9.000,       9.000,       9.000,       9.000,       9.000,       9.000,
Temperature,     1.042,       8.976,       8.980,       8.981,       8.991,       8.989,       8.987,       8.990,       8.992,
Temperature,     1.083,       8.957,       8.962,       8.964,       8.982,       8.980,       8.976,       8.981,       8.984,
Temperature,     1.125,       8.935,       8.943,       8.946,       8.973,       8.971,       8.963,       8.971,       8.976,
Temperature,     1.167,       8.914,       8.924,       8.927,       8.965,       8.961,       8.951,       8.961,       8.968,
Temperature,     1.208,       8.894,       8.904,       8.908,       8.956,       8.952,       8.939,       8.951,       8.959,
Temperature,     1.250,       8.872,       8.884,       8.888,       8.947,       8.942,       8.926,       8.941,       8.950,
Temperature,     1.292,       8.849,       8.863,       8.867,       8.937,       8.931,       8.913,       8.930,       8.941,
Temperature,     1.333,       8.826,       8.840,       8.845,       8.927,       8.921,       8.899,       8.919,       8.931,
Temperature,     1.375,       8.809,       8.823,       8.828,       8.919,       8.913,       8.888,       8.910,       8.924,
Temperature,     1.417,       8.801,       8.815,       8.819,       8.916,       8.909,       8.883,       8.905,       8.920,
Temperature,     1.458,       8.801,       8.812,       8.817,       8.915,       8.909,       8.882,       8.904,       8.918,
Temperature,     1.500,       8.807,       8.820,       8.820,       8.917,       8.912,       8.884,       8.906,       8.919,
Temperature,     1.542,       8.824,       8.835,       8.831,       8.921,       8.916,       8.891,       8.911,       8.922,
Temperature,     1.583,       8.850,       8.859,       8.846,       8.927,       8.921,       8.899,       8.917,       8.928,
Temperature,     1.625,       8.875,       8.884,       8.858,       8.933,       8.924,       8.906,       8.923,       8.933,
Temperature,     1.667,       8.892,       8.900,       8.863,       8.939,       8.924,       8.909,       8.924,       8.937,
Temperature,     1.708,       8.894,       8.895,       8.861,       8.943,       8.923,       8.908,       8.922,       8.937,
Temperature,     1.750,       8.875,       8.881,       8.857,       8.942,       8.921,       8.901,       8.916,       8.935,
Temperature,     1.792,       8.846,       8.863,       8.848,       8.937,       8.919,       8.894,       8.909,       8.931,
Temperature,     1.834,       8.817,       8.841,       8.836,       8.929,       8.916,       8.886,       8.903,       8.927,
Temperature,     1.875,       8.794,       8.818,       8.820,       8.921,       8.911,       8.878,       8.896,       8.922,
Temperature,     1.917,       8.773,       8.796,       8.803,       8.914,       8.906,       8.870,       8.890,       8.917,
Temperature,     1.958,       8.755,       8.776,       8.787,       8.907,       8.901,       8.862,       8.883,       8.912,
Temperature,     2.000,       8.743,       8.764,       8.772,       8.901,       8.896,       8.855,       8.878,       8.907,
Temperature,     2.042,       8.731,       8.752,       8.758,       8.895,       8.890,       8.849,       8.872,       8.902,
Temperature,     2.083,       8.718,       8.738,       8.744,       8.889,       8.884,       8.841,       8.865,       8.897,
Temperature,     2.125,       8.704,       8.724,       8.729,       8.883,       8.878,       8.833,       8.859,       8.891,
Temperature,     2.167,       8.690,       8.710,       8.715,       8.877,       8.872,       8.825,       8.852,       8.886,
Temperature,     2.208,       8.677,       8.697,       8.702,       8.871,       8.866,       8.818,       8.846,       8.880,
Temperature,     2.250,       8.658,       8.684,       8.688,       8.865,       8.860,       8.810,       8.839,       8.874,
Temperature,     2.292,       8.616,       8.667,       8.674,       8.859,       8.854,       8.802,       8.833,       8.868,
Temperature,     2.333,       8.555,       8.634,       8.658,       8.852,       8.847,       8.795,       8.826,       8.862,
Temperature,     2.375,       8.523,       8.592,       8.628,       8.848,       8.842,       8.788,       8.820,       8.858,
Temperature,     2.417,       8.514,       8.576,       8.590,       8.844,       8.839,       8.784,       8.817,       8.854,
Temperature,     2.458,       8.513,       8.575,       8.577,       8.843,       8.839,       8.784,       8.816,       8.853,
Temperature,     2.501,       8.514,       8.581,       8.582,       8.846,       8.842,       8.788,       8.818,       8.854,
Temperature,     2.542,       8.516,       8.584,       8.584,       8.849,       8.846,       8.791,       8.820,       8.856,
Temperature,     2.583,       8.515,       8.582,       8.582,       8.850,       8.849,       8.793,       8.821,       8.856,
Temperature,     2.626,       8.509,       8.578,       8.576,       8.850,       8.850,       8.793,       8.820,       8.855,
Temperature,     2.667,       8.502,       8.570,       8.568,       8.849,       8.849,       8.791,       8.818,       8.853,
Temperature,     2.708,       8.492,       8.557,       8.558,       8.845,       8.846,       8.787,       8.815,       8.851,
Temperature,     2.751,       8.483,       8.542,       8.543,       8.841,       8.842,       8.782,       8.810,       8.847,
Temperature,     2.792,       8.466,       8.516,       8.519,       8.837,       8.837,       8.777,       8.806,       8.843,
Temperature,     2.833,       8.444,       8.503,       8.505,       8.832,       8.832,       8.772,       8.801,       8.839,
Temperature,     2.875,       8.419,       8.489,       8.495,       8.828,       8.828,       8.767,       8.797,       8.835,
Temperature,     2.917,       8.394,       8.472,       8.481,       8.824,       8.823,       8.762,       8.792,       8.831,
Temperature,     2.959,       8.356,       8.449,       8.463,       8.819,       8.818,       8.757,       8.787,       8.827,
Temperature,     3.001,       8.341,       8.451,       8.459,       8.815,       8.813,       8.752,       8.782,       8.823,
Temperature,     3.042,       8.334,       8.440,       8.451,       8.810,       8.809,       8.747,       8.778,       8.819,
Temperature,     3.083,       8.315,       8.424,       8.438,       8.806,       8.804,       8.741,       8.773,       8.815,
Temperature,     3.126,       8.290,       8.402,       8.418,       8.801,       8.799,       8.736,       8.767,       8.810,
Temperature,     3.167,       8.268,       8.379,       8.394,       8.797,       8.794,       8.730,       8.762,       8.806,
Temperature,     3.208,       8.255,       8.362,       8.374,       8.792,       8.789,       8.725,       8.758,       8.801,
Temperature,     3.251,       8.251,       8.352,       8.360,       8.788,       8.784,       8.719,       8.753,       8.797,
Temperature,     3.292,       8.248,       8.345,       8.352,       8.783,       8.780,       8.714,       8.748,       8.793,
Temperature,     3.333,       8.244,       8.339,       8.346,       8.779,       8.776,       8.710,       8.743,       8.789,
Temperature,     3.376,       8.241,       8.335,       8.343,       8.776,       8.773,       8.707,       8.740,       8.786,
Temperature,     3.417,       8.245,       8.335,       8.343,       8.776,       8.774,       8.708,       8.740,       8.786,
Temperature,     3.458,       8.255,       8.340,       8.345,       8.778,       8.776,       8.711,       8.742,       8.787,
Temperature,     3.501,       8.267,       8.347,       8.349,       8.780,       8.779,       8.714,       8.744,       8.788,
Temperature,     3.542,       8.278,       8.354,       8.353,       8.782,       8.782,       8.717,       8.745,       8.789,
Temperature,     3.583,       8.288,       8.360,       8.357,       8.783,       8.786,       8.721,       8.746,       8.791,
Temperature,     3.626,       8.293,       8.363,       8.359,       8.784,       8.788,       8.722,       8.746,       8.791,
Temperature,     3.667,       8.298,       8.363,       8.358,       8.785,       8.790,       8.723,       8.745,       8.791,
Temperature,     3.708,       8.299,       8.361,       8.355,       8.784,       8.790,       8.722,       8.743,       8.791,
Temperature,     3.751,       8.296,       8.355,       8.351,       8.781,       8.788,       8.720,       8.739,       8.789,
Temperature,     3.792,       8.290,       8.348,       8.345,       8.778,       8.784,       8.716,       8.735,       8.786,
Temperature,     3.833,       8.284,       8.339,       8.337,       8.774,       8.779,       8.712,       8.730,       8.783,
Temperature,     3.876,       8.274,       8.329,       8.329,       8.771,       8.774,       8.707,       8.725,       8.779,
Temperature,     3.917,       8.262,       8.319,       8.320,       8.766,       8.769,       8.702,       8.719,       8.776,
Temperature,     3.958,       8.249,       8.307,       8.311,       8.762,       8.764,       8.697,       8.712,       8.772,
