 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
    1.0000,      0.00,      0.40,    327.66,
    1.0420,      8.99,      0.40,    327.66,
    1.0837,      8.98,      0.40,    327.66,
    1.1257,      8.96,      0.40,    327.66,
    1.1670,      8.95,      0.40,    327.66,
    1.2087,      8.94,      0.40,    327.66,
    1.2507,      8.93,      0.40,    327.66,
    1.2920,      8.91,      0.40,    327.66,
    1.3337,      8.90,      0.40,    327.66,
    1.3757,      8.89,      0.40,    327.66,
    1.4170,      8.88,      0.40,    327.66,
    1.4587,      8.88,      0.40,    327.66,
    1.5007,      8.88,      0.40,    327.66,
    1.5427,      8.88,      0.40,    327.66,
    1.5841,      8.88,      0.40,    327.66,
    1.6257,      8.89,      0.40,    327.66,
    1.6677,      8.89,      0.40,    327.66,
    1.7091,      8.89,      0.40,    327.66,
    1.7507,      8.89,      0.40,    327.66,
    1.7923,      8.89,      0.40,    327.66,
    1.8343,      8.89,      0.40,    327.66,
    1.8757,      8.88,      0.40,    327.66,
    1.9177,      8.87,      0.40,    327.66,
    1.9591,      8.86,      0.40,    327.66,
    2.0014,      8.86,      0.40,    327.66,
    2.0427,      8.85,      0.40,    327.66,
    2.0842,      8.84,      0.40,    327.66,
    2.1264,      8.83,      0.40,    327.66,
    2.1677,      8.83,      0.40,    327.66,
    2.2097,      8.82,      0.40,    327.66,
    2.2514,      8.81,      0.40,    327.66,
    2.2927,      8.80,      0.40,    327.66,
    2.3347,      8.79,      0.40,    327.66,
    2.3764,      8.79,      0.40,    327.66,
    2.4184,      8.78,      0.40,    327.66,
    2.4597,      8.78,      0.40,    327.66,
    2.5014,      8.79,      0.40,    327.66,
    2.5434,      8.79,      0.40,    327.66,
    2.5847,      8.79,      0.40,    327.66,
    2.6264,      8.79,      0.40,    327.66,
    2.6684,      8.79,      0.40,    327.66,
    2.7102,      8.79,      0.40,    327.66,
    2.7518,      8.78,      0.40,    327.66,
    2.7931,      8.78,      0.40,    327.66,
    2.8351,      8.77,      0.40,    327.66,
    2.8768,      8.77,      0.40,    327.66,
    2.9185,      8.76,      0.40,    327.66,
    2.9600,      8.76,      0.40,    327.66,
    3.0021,      8.75,      0.40,    327.66,
    3.0434,      8.75,      0.40,    327.66,
    3.0853,      8.74,      0.40,    327.66,
    3.1271,      8.74,      0.40,    327.66,
    3.1684,      8.73,      0.40,    327.66,
    3.2103,      8.72,      0.40,    327.66,
    3.2521,      8.72,      0.40,    327.66,
    3.2941,      8.71,      0.40,    327.66,
    3.3353,      8.71,      0.40,    327.66,
    3.3771,      8.71,      0.40,    327.66,
    3.4191,      8.71,      0.40,    327.66,
    3.4609,      8.71,      0.40,    327.66,
    3.5021,      8.71,      0.40,    327.66,
