 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    1.0000,      0.00,      0.00,      0.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.0420,      8.99,    -99.00,    -99.00,      5.76,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.0837,      8.98,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.1257,      8.97,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.1670,      8.97,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.2087,      8.96,    -99.00,    -99.00,      5.76,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.2507,      8.95,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.2920,      8.94,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.3337,      8.93,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.3757,      8.92,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.4170,      8.92,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.4587,      8.92,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.5007,      8.92,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.5427,      8.92,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.5841,      8.92,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.6257,      8.92,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.6677,      8.93,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.7091,      8.93,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.7507,      8.93,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.7923,      8.93,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.8343,      8.93,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.8757,      8.93,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.9177,      8.93,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    1.9591,      8.93,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.0014,      8.92,    -99.00,    -99.00,      5.76,      0.00,      0.00,    301.90,    340.05,    368.81,
    2.0427,      8.91,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
