View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,Beginning Page
 Trinity/Clair Engle,,,,,,,,,,,,,,,,,,,,,,,,,,Model Input
Inflow,,117,166,103,35,12,7,5,14,32,58,85,130,,,,,,,,,,,,,Summay
Est. Evap.,,2.5,5.1,6.9,7.6,9.6,8.6,6.7,3.2,1.5,1.0,1.7,1.5,,,,,,,,,,,,,Jan
Total Release,,53.0,72.0,203.7,117.6,111.3,137.2,127.7,48.9,43.2,27.0,18.7,18.2,,,,,,,,,,,,,Feb
River Rel. - cfs,,300,600,1498,783,450,857,870,373,300,300,300,300,,,,,,,,,,,,,Mar
River Rel. - TAF,,18.4,35.7,179.8,46.6,27.7,52.7,51.8,22.9,17.8,18.4,18.4,16.7,,,,,,,,,,,,,Apr
Carr PP,,34.6,36.3,23.9,71.0,83.7,84.5,75.9,25.9,25.3,8.6,0.2,1.5,,,,,,,,,,,,,May
Actual Storage,1787,1848.4,1937.3,1829.8,1739.6,1630.6,1491.8,1362.4,1324.4,1311.6,1341.7,1406.3,1516.7,,,,,,,,,,,,,Jun
Elevation (feet),,2330,2337,2329,2322,2314,2302,2291,2288,2287,2289,2295,2305,,,,,,,,,,,,,July
Area (acres),,12801,13142,13629,13074,12598,12065,11287,10596,10411,10350,10472,10844,,,,,,,,,,,,,Aug
,,,,,,,,,,,,,,,,,,,,,,,,,,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,Nov
,,,,,,,,,,,,,,,,,,,,,,,,,,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,
Whiskeytown,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,38,25,16,8,3,2,2,3,7,16,35,45,,,,,,,,,,,,,
Est. Evap.,,0.6,1.1,1.6,1.9,2.5,2.3,1.9,1.0,0.4,0.3,0.5,0.4,,,,,,,,,,,,,
Total Release,,72.3,28.0,38.3,77.1,84.2,84.2,83.9,52.3,31.9,24.3,34.8,46.1,,,,,,,,,,,,,
Spring Cr.,,60,15,25,60,75,75,75,40,20,12,20,35,,,,,,,,,,,,,
Storage,206,206,238,238,238,238,238,230,206,206,206,206,206,,,,,,,,,,,,,
Elevation (feet),,1199,1209,1209,1209,1209,1209,1207,1199,1199,1199,1199,1199,,,,,,,,,,,,,
Area (acres),,2977,2977,3223,3223,3223,3223,3223,3174,2977,2977,2977,2977,,,,,,,,,,,,,
Clear Creek-cfs,,200,218,216,288,150,150,150,200,200,200,240,200,,,,,,,,,,,,,
Clear Creek-taf,,12.3,13.0,13.3,17.1,9.2,9.2,8.9,12.3,11.9,12.3,14.8,11.1,,,,,,,,,,,,,
CC AFRP,,200,200,200,200,200,150,150,150,150,200,200,200,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,
Shasta,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,600,460,355,240,195,178,177,240,300,380,590,730,,,,,,,,,,,,,
Est. Evap.,,4.9,10.3,13.6,15.4,18.8,15.5,11.8,5.6,2.7,1.7,3.1,2.8,,,,,,,,,,,,,
Total Shasta Release,,140,416,436,624,724,540,401,329,307,234,180,145,,,,,,,,,,,,,
Keswick-cfs,,3250,7250,7500,11500,13000,10000,8000,6000,5500,4000,3250,3250,,,,,,,,,,,,,
Keswick-taf,,200,431,461,684,799,615,476,369,327,246,200,180,,,,,,,,,,,,,
Keswick Target (cfs),,3250,7250,7500,11500,13000,10000,8000,6000,5500,4000,3250,3250,,,,,,,,,,,,,
Storage,3414,3869,3903,3808,3408,2860,2483,2248,2153,2143,2288,2695,3277,,,,,,,,,,,,,
Elevation (feet),,1043,1044,1041,1025,1001,983,971,966,965,973,994,1020,,,,,,,,,,,,,
Area (acres),,24597,26784,26908,26537,24597,21826,19856,18593,18079,17976,18801,21049,,,,,,,,,,,,,
Wilkin's Target (cfs),,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,,,,,,,,,,,,,
Keswick to Wilkins Acc/dep (cfs),,9969,-1139,-3158,-4500,-5673,-3841,-989,101.6465604,1113,3700,6564,9896,,,,,,,,,,,,,
Flow@Wilkin's Slough (cfs),,13419,6329,4558,7288,7477,6309,7161,6301.64656,6813,7900,10054,13346,,,,,,,,,,,,,
Sac AFRP,,4500,5500,5500,5500,3250,3250,3250,3250,6000,5500,5500,3750,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,
Oroville,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,250,130,116,89,118,121,126,120,170,220,320,450,,,,,,,,,,,,,
Est. Evap.,,1.7,3.5,4.5,4.9,5.8,4.8,3.6,1.8,0.9,0.5,1.0,0.9,,,,,,,,,,,,,
Total Releases - TAF,,108,147,251,270,312,269,141,150,190,157,96,56,,,,,,,,,,,,,
Storage ,1460,1601,1580,1441,1255,1055,902,883,851,830,892,1114,1508,,,,,,,,,,,,,
Elevation (feet),,742,739,723,700,672,649,645,640,636,647,681,731,,,,,,,,,,,,,
