location,parameter,dss file,dss path
Redding Airport,Air Temperature,forecast/simGroups/F13-03-ensemble/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-AIR TEMPERATURE/TEMP-AIR//1HOUR/Mar50-H-2018/
Redding Airport,Dewpoint Temperature,forecast/simGroups/F13-03-ensemble/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-DEW POINT/TEMP-DEWPOINT//1HOUR/Mar50-H-2018/
Redding Airport,Shortwave Radiation,forecast/simGroups/F13-03-ensemble/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./RRAC1-SOLAR RADIATION/IRRAD-SOLAR//1HOUR/Mar50-H-2018/
Redding Airport,Cloudiness,forecast/simGroups/F13-03-ensemble/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./RRAC1-CLOUD COVER/%-CLOUD COVER//1HOUR/Mar50-H-2018/
Redding Airport,Wind Speed,forecast/simGroups/F13-03-ensemble/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-WIND SPEED/SPEED-WIND//1HOUR/Mar50-H-2018/
Redding Airport,Wind Direction,forecast/simGroups/F13-03-ensemble/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-WIND DIRECTION/DIR-WIND//1HOUR/Mar50-H-2018/
Lewiston Res,Air Temperature,forecast/simGroups/F13-03-ensemble/bc.dss,/MR SAC.-LEWISTON RES./TCAC1 - CALC DATA-AIR TEMPERATURE/TEMP-AIR//1HOUR/Mar50-H-2018/
Lewiston Res,Dewpoint Temperature,forecast/simGroups/F13-03-ensemble/bc.dss,/MR Sac.-Lewiston Res./TCAC1 - Calc Data-Dew Point/Temp-DewPoint//1Hour/Mar50-H-2018/
Lewiston Res,Shortwave Radiation,forecast/simGroups/F13-03-ensemble/bc.dss,/MR SAC.-LEWISTON RES./TCAC1-SOLAR RADIATION/IRRAD-SOLAR//1HOUR/Mar50-H-2018/
Lewiston Res,Wind Speed,forecast/simGroups/F13-03-ensemble/bc.dss,/MR SAC.-LEWISTON RES./TCAC1-WIND SPEED/SPEED-WIND//1HOUR/Mar50-H-2018/
Lewiston Res,Wind Direction,forecast/simGroups/F13-03-ensemble/bc.dss,/MR SAC.-LEWISTON RES./TCAC1-WIND DIRECTION/DIR-WIND//1HOUR/Mar50-H-2018/
