location,parameter,dss file,dss path
Redding Airport,Air Temperature,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-AIR TEMPERATURE/TEMP-AIR//1HOUR/APR90_WY2018v-H-2013/
Redding Airport,Dewpoint Temperature,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-DEW POINT/TEMP-DEWPOINT//1HOUR/APR90_WY2018v-H-2013/
Redding Airport,Shortwave Radiation,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./RRAC1-SOLAR RADIATION/IRRAD-SOLAR//1HOUR/APR90_WY2018v-H-2013/
Redding Airport,Cloudiness,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./RRAC1-CLOUD COVER/%-CLOUD COVER//1HOUR/APR90_WY2018v-H-2013/
Redding Airport,Wind Speed,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-WIND SPEED/SPEED-WIND//1HOUR/APR90_WY2018v-H-2013/
Redding Airport,Wind Direction,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-WIND DIRECTION/DIR-WIND//1HOUR/APR90_WY2018v-H-2013/
Lewiston Res,Air Temperature,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-LEWISTON RES./TCAC1 - CALC DATA-AIR TEMPERATURE/TEMP-AIR//1HOUR/APR90_WY2018v-H-2013/
Lewiston Res,Dewpoint Temperature,forecast/simGroups/F18-04-TTSP/bc.dss,/MR Sac.-Lewiston Res./TCAC1 - Calc Data-Dew Point/Temp-DewPoint//1Hour/APR90_WY2018v-H-2013/
Lewiston Res,Shortwave Radiation,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-LEWISTON RES./TCAC1-SOLAR RADIATION/IRRAD-SOLAR//1HOUR/APR90_WY2018v-H-2013/
Lewiston Res,Wind Speed,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-LEWISTON RES./TCAC1-WIND SPEED/SPEED-WIND//1HOUR/APR90_WY2018v-H-2013/
Lewiston Res,Wind Direction,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-LEWISTON RES./TCAC1-WIND DIRECTION/DIR-WIND//1HOUR/APR90_WY2018v-H-2013/
Trinity River,Cloudiness,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-TRINITY RIVER/TCAC1 - CALC DATA-CLOUD COVER/%-CLOUD COVER//1DAY/APR90_WY2018v-H-2013/
Trinity River,Air Temperature,forecast/simGroups/F18-04-TTSP/bc.dss,/MR SAC.-TRINITY RIVER/TCAC1 - CALC DATA-AIR TEMPERATURE/TEMP-AIR//1HOUR/APR90_WY2018v-H-2013/
TRINITY LAKE,INFLOW,forecast/simGroups/F18-04-TTSP/bc.dss,/TRINITY RIVER/TRINITY LAKE/INFLOW//1MON/APR90_WY2018v-H-2013/
TRINITY LAKE,FLOW-IN,forecast/simGroups/F18-04-TTSP/bc.dss,/TRINITY RIVER/TRINITY LAKE/FLOW-IN//1DAY/APR90_WY2018v-H-2013/
TRINITY LAKE,VOLUME-EST EVAPORATION,forecast/simGroups/F18-04-TTSP/bc.dss,/TRINITY RIVER/TRINITY LAKE/VOLUME-EST EVAPORATION//1MON/APR90_WY2018v-H-2013/
TRINITY LAKE,VOLUME-RELEASE,forecast/simGroups/F18-04-TTSP/bc.dss,/TRINITY RIVER/TRINITY LAKE/VOLUME-RELEASE//1MON/APR90_WY2018v-H-2013/
TRINITY LAKE,FLOW-RELEASE,forecast/simGroups/F18-04-TTSP/bc.dss,/TRINITY RIVER/TRINITY LAKE/FLOW-RELEASE//1HOUR/APR90_WY2018v-H-2013/
LEWISTON RESERVOIR,VOLUME-RIVER RELEASE,forecast/simGroups/F18-04-TTSP/bc.dss,/TRINITY RIVER/LEWISTON RESERVOIR/VOLUME-RIVER RELEASE//1MON/APR90_WY2018v-H-2013/
LEWISTON RESERVOIR,FLOW-RIVER RELEASE,forecast/simGroups/F18-04-TTSP/bc.dss,/TRINITY RIVER/LEWISTON RESERVOIR/FLOW-RIVER RELEASE//1DAY/APR90_WY2018v-H-2013/
LEWISTON RESERVOIR,VOLUME-CLEAR CREEK DIVERSION,forecast/simGroups/F18-04-TTSP/bc.dss,/TRINITY RIVER/LEWISTON RESERVOIR/VOLUME-CLEAR CREEK DIVERSION//1MON/APR90_WY2018v-H-2013/
CARR POWERHOUSE,FLOW-RELEASE,forecast/simGroups/F18-04-TTSP/bc.dss,/CLEAR CREEK/CARR POWERHOUSE/FLOW-RELEASE//1HOUR/APR90_WY2018v-H-2013/
