location,parameter,dss file,dss path
Redding Airport,Air Temperature,forecast/simGroups/testest/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-AIR TEMPERATURE/TEMP-AIR//1HOUR/Mar50-H-2018/
Redding Airport,Dewpoint Temperature,forecast/simGroups/testest/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-DEW POINT/TEMP-DEWPOINT//1HOUR/Mar50-H-2018/
Redding Airport,Shortwave Radiation,forecast/simGroups/testest/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./RRAC1-SOLAR RADIATION/IRRAD-SOLAR//1HOUR/Mar50-H-2018/
Redding Airport,Cloudiness,forecast/simGroups/testest/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./RRAC1-CLOUD COVER/%-CLOUD COVER//1HOUR/Mar50-H-2018/
Redding Airport,Wind Speed,forecast/simGroups/testest/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-WIND SPEED/SPEED-WIND//1HOUR/Mar50-H-2018/
Redding Airport,Wind Direction,forecast/simGroups/testest/bc.dss,/MR SAC.-CLEAR CR. TO SAC R./KRDD-WIND DIRECTION/DIR-WIND//1HOUR/Mar50-H-2018/
Lewiston Res,Air Temperature,forecast/simGroups/testest/bc.dss,/MR SAC.-LEWISTON RES./TCAC1 - CALC DATA-AIR TEMPERATURE/TEMP-AIR//1HOUR/Mar50-H-2018/
Lewiston Res,Dewpoint Temperature,forecast/simGroups/testest/bc.dss,/MR Sac.-Lewiston Res./TCAC1 - Calc Data-Dew Point/Temp-DewPoint//1Hour/Mar50-H-2018/
Lewiston Res,Shortwave Radiation,forecast/simGroups/testest/bc.dss,/MR SAC.-LEWISTON RES./TCAC1-SOLAR RADIATION/IRRAD-SOLAR//1HOUR/Mar50-H-2018/
Lewiston Res,Wind Speed,forecast/simGroups/testest/bc.dss,/MR SAC.-LEWISTON RES./TCAC1-WIND SPEED/SPEED-WIND//1HOUR/Mar50-H-2018/
Lewiston Res,Wind Direction,forecast/simGroups/testest/bc.dss,/MR SAC.-LEWISTON RES./TCAC1-WIND DIRECTION/DIR-WIND//1HOUR/Mar50-H-2018/
Trinity River,Cloudiness,forecast/simGroups/testest/bc.dss,/MR SAC.-TRINITY RIVER/TCAC1 - CALC DATA-CLOUD COVER/%-CLOUD COVER//1DAY/Mar50-H-2018/
Trinity River,Air Temperature,forecast/simGroups/testest/bc.dss,/MR SAC.-TRINITY RIVER/TCAC1 - CALC DATA-AIR TEMPERATURE/TEMP-AIR//1HOUR/Mar50-H-2018/
TRINITY LAKE,INFLOW,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/TRINITY LAKE/INFLOW//1MON/Mar50-H-2018/
TRINITY LAKE,FLOW-IN,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/TRINITY LAKE/FLOW-IN//1DAY/Mar50-H-2018/
TRINITY LAKE,VOLUME-EST EVAPORATION,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/TRINITY LAKE/VOLUME-EST EVAPORATION//1MON/Mar50-H-2018/
TRINITY LAKE,VOLUME-RELEASE,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/TRINITY LAKE/VOLUME-RELEASE//1MON/Mar50-H-2018/
TRINITY LAKE,FLOW-RELEASE,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/TRINITY LAKE/FLOW-RELEASE//1HOUR/Mar50-H-2018/
LEWISTON RESERVOIR,VOLUME-RIVER RELEASE,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/LEWISTON RESERVOIR/VOLUME-RIVER RELEASE//1MON/Mar50-H-2018/
LEWISTON RESERVOIR,FLOW-RIVER RELEASE,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/LEWISTON RESERVOIR/FLOW-RIVER RELEASE//1DAY/Mar50-H-2018/
LEWISTON RESERVOIR,VOLUME-CLEAR CREEK DIVERSION,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/LEWISTON RESERVOIR/VOLUME-CLEAR CREEK DIVERSION//1MON/Mar50-H-2018/
CARR POWERHOUSE,FLOW-RELEASE,forecast/simGroups/testest/bc.dss,/CLEAR CREEK/CARR POWERHOUSE/FLOW-RELEASE//1HOUR/Mar50-H-2018/
TRINITY LAKE,STORAGE,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/TRINITY LAKE/STORAGE//1MON/Mar50-H-2018/
TRINITY LAKE,STORAGE-CHANGE,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/TRINITY LAKE/STORAGE-CHANGE//1MON/Mar50-H-2018/
TRINITY LAKE,ELEVATION (FEET),forecast/simGroups/testest/bc.dss,/TRINITY RIVER/TRINITY LAKE/ELEVATION (FEET)//1MON/Mar50-H-2018/
TRINITY LAKE,AREA (ACRES),forecast/simGroups/testest/bc.dss,/TRINITY RIVER/TRINITY LAKE/AREA (ACRES)//1MON/Mar50-H-2018/
TRINITY LAKE,FLOW-ACC-DEP,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/TRINITY LAKE/FLOW-ACC-DEP//1DAY/Mar50-H-2018/
TRINITY LAKE,VOLUME-BALANCE,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/TRINITY LAKE/VOLUME-BALANCE//1MONTH/Mar50-H-2018/
EF TRINITY,FLOW-IN,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/EF TRINITY/FLOW-IN//1DAY/Mar50-H-2018/
STUART FORK,FLOW-IN,forecast/simGroups/testest/bc.dss,/TRINITY RIVER/STUART FORK/FLOW-IN//1DAY/Mar50-H-2018/
