Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
113,  1,       11150.00,   517534.12500,  4508392.48982, 10,   564.890
112,  1,       11050.00,   517633.36824,  4508383.81345, 10,   559.890
111,  1,       10950.00,   517732.61149,  4508375.13708, 10,   560.890
110,  1,       10850.00,   517799.70940,  4508422.11266, 10,   558.390
109,  1,       10750.00,   517791.82523,  4508512.41003, 10,   558.890
108,  1,       10650.00,   517734.70171,  4508594.02214, 10,   559.890
107,  1,       10550.00,   517670.41885,  4508670.62314, 10,   558.890
106,  1,       10450.00,   517609.58548,  4508749.87206, 10,   557.890
105,  1,       10350.00,   517542.60673,  4508822.97820, 10,   558.390
104,  1,       10250.00,   517457.32750,  4508872.21556, 10,   559.890
103,  1,       10150.00,   517363.34269,  4508906.37482, 10,   561.390
102,  1,       10050.00,   517266.35029,  4508923.43499, 10,   562.890
101,  1,        9950.00,   517167.11058,  4508932.10179, 10,   562.890
100,  1,        9850.00,   517068.62924,  4508932.11273, 10,   563.390
 99,  1,        9750.00,   516972.40850,  4508906.32121, 10,   563.390
 98,  1,        9650.00,   516876.18776,  4508880.52969, 10,   564.890
 97,  1,        9550.00,   516776.94613,  4508871.83491, 10,   565.390
 96,  1,        9450.00,   516677.70642,  4508880.50171, 10,   564.890
 95,  1,        9350.00,   516585.16575,  4508914.18850, 10,   564.390
 94,  1,        9250.00,   516509.72336,  4508977.48954, 10,   564.390
 93,  1,        9150.00,   516460.47531,  4509062.77263, 10,   564.390
 92,  1,        9050.00,   516439.01495,  4509159.56530, 10,   564.390
 91,  1,        8950.00,   516425.99593,  4509258.61880, 10,   564.390
 90,  1,        8850.00,   516400.22403,  4509354.84479, 10,   564.890
 89,  1,        8750.00,   516374.45213,  4509451.07078, 10,   566.390
 88,  1,        8650.00,   516365.77758,  4509550.31419, 10,   566.890
 87,  1,        8550.00,   516348.66169,  4509647.29677, 10,   566.390
 86,  1,        8450.00,   516310.43083,  4509739.59786, 10,   566.390
 85,  1,        8350.00,   516264.32450,  4509828.22797, 10,   567.390
 84,  1,        8250.00,   516222.23580,  4509918.52216, 10,   567.390
 83,  1,        8150.00,   516205.12918,  4510015.50475, 10,   566.890
 82,  1,        8050.00,   516230.14655,  4510108.79599, 10,   567.890
 81,  1,        7950.00,   516287.29826,  4510190.39368, 10,   568.390
 80,  1,        7850.00,   516357.74559,  4510260.82666, 10,   569.890
 79,  1,        7750.00,   516439.35492,  4510317.96175, 10,   569.890
 78,  1,        7650.00,   516529.64049,  4510360.05864, 10,   569.890
 77,  1,        7550.00,   516625.86783,  4510385.84236, 10,   569.890
 76,  1,        7450.00,   516725.10593,  4510394.52756, 10,   568.890
 75,  1,        7350.00,   516822.08820,  4510377.40991, 10,   569.890
 74,  1,        7250.00,   516918.31373,  4510351.63624, 10,   570.390
 73,  1,        7150.00,   517017.55697,  4510342.95987, 10,   570.890
 72,  1,        7050.00,   517116.79507,  4510351.64507, 10,   571.890
 71,  1,        6950.00,   517211.33874,  4510381.49239, 10,   569.890
 70,  1,        6850.00,   517304.94065,  4510415.58513, 10,   570.390
 69,  1,        6750.00,   517402.47508,  4510437.22131, 10,   572.390
 68,  1,        6650.00,   517495.00951,  4510470.92524, 10,   572.890
 67,  1,        6550.00,   517585.29509,  4510513.02213, 10,   572.890
 66,  1,        6450.00,   517682.09610,  4510534.44485, 10,   571.390
 65,  1,        6350.00,   517781.14598,  4510547.47460, 10,   570.890
 64,  1,        6250.00,   517878.68041,  4510569.11078, 10,   571.890
 63,  1,        6150.00,   517973.96598,  4510599.13992, 10,   571.390
 62,  1,        6050.00,   518064.25155,  4510641.23682, 10,   571.890
 61,  1,        5950.00,   518139.68222,  4510704.55182, 10,   574.390
 60,  1,        5850.00,   518196.83392,  4510786.14951, 10,   574.390
 59,  1,        5750.00,   518230.55670,  4510878.67708, 10,   574.390
 58,  1,        5650.00,   518252.21275,  4510976.20710, 10,   574.890
 57,  1,        5550.00,   518273.86880,  4511073.73712, 10,   573.890
 56,  1,        5450.00,   518307.59157,  4511166.26468, 10,   573.390
 55,  1,        5350.00,   518349.70686,  4511256.54168, 10,   573.390
 54,  1,        5250.00,   518375.51018,  4511352.76376, 10,   573.890
 53,  1,        5150.00,   518375.55031,  4511451.24349, 10,   573.390
 52,  1,        5050.00,   518349.77840,  4511547.46948, 10,   572.890
 51,  1,        4950.00,   518307.68970,  4511637.76368, 10,   572.890
 50,  1,        4850.00,   518250.56619,  4511719.37579, 10,   573.390
 49,  1,        4750.00,   518193.44267,  4511800.98790, 10,   573.390
 48,  1,        4650.00,   518151.35397,  4511891.28210, 10,   573.390
 47,  1,        4550.00,   518134.24735,  4511988.26469, 10,   572.890
 46,  1,        4450.00,   518151.34526,  4512085.25044, 10,   573.890
 45,  1,        4350.00,   518181.39381,  4512180.52989, 10,   572.890
 44,  1,        4250.00,   518203.04986,  4512278.05991, 10,   573.390
 43,  1,        4150.00,   518220.46067,  4512376.53257, 10,   575.390
 42,  1,        4050.00,   518237.87149,  4512475.00522, 10,   574.890
 41,  1,        3950.00,   518275.26124,  4512565.19529, 10,   575.390
 40,  1,        3850.00,   518321.04349,  4512653.13478, 10,   574.890
 39,  1,        3750.00,   518363.15878,  4512743.41177, 10,   575.390
 38,  1,        3650.00,   518420.31048,  4512825.00946, 10,   574.890
 37,  1,        3550.00,   518477.46219,  4512906.60715, 10,   574.890
 36,  1,        3450.00,   518511.18497,  4512999.13472, 10,   574.390
 35,  1,        3350.00,   518548.57472,  4513089.32478, 10,   574.890
 34,  1,        3250.00,   518602.27643,  4513173.56976, 10,   576.390
 33,  1,        3150.00,   518644.39171,  4513263.84675, 10,   575.890
 32,  1,        3050.00,   518678.58754,  4513357.81826, 10,   576.390
 31,  1,        2950.00,   518712.78337,  4513451.78978, 10,   575.890
 30,  1,        2850.00,   518762.01562,  4513537.08199, 10,   574.890
 29,  1,        2750.00,   518826.28429,  4513613.69490, 10,   575.890
 28,  1,        2650.00,   518883.43600,  4513695.29259, 10,   576.390
 27,  1,        2550.00,   518933.47074,  4513781.87506, 10,   576.890
 26,  1,        2450.00,   518987.17245,  4513866.12003, 10,   577.390
 25,  1,        2350.00,   519032.95470,  4513954.05953, 10,   577.890
 24,  1,        2250.00,   519071.16847,  4514046.36769, 10,   577.390
 23,  1,        2150.00,   519109.38224,  4514138.67586, 10,   577.390
 22,  1,        2050.00,   519135.18556,  4514234.89794, 10,   577.390
 21,  1,        1950.00,   519126.78434,  4514331.11686, 10,   574.890
 20,  1,        1850.00,   519101.01244,  4514427.34285, 10,   575.890
 19,  1,        1750.00,   519092.34716,  4514526.58625, 10,   575.890
 18,  1,        1650.00,   519109.44508,  4514623.57201, 10,   577.390
