$Lewiston met year 2016 combined Redding and TrinityCamp Tair and Tdew YC 03/14/23,,,,,,
",,,",,,,,,
Julian Date,Air Temp,Dewpoint Temp,Wind Speed,Wind Direction,Cloud Cover,Short radiation
1,4,-11.27,12,0.733038286,0,0
1.042,4,-12.15,7,0.261799388,0,0
1.083,4,-12.15,11,0.977384381,0,0
1.125,4,-12.15,14,0.733038286,0,0
1.167,4,-12.15,7,1.064650844,0,0
1.208,4,-12.27,10,0.785398163,0,0
1.25,4,-13.15,8,1.047197551,0,0
1.292,4,-13.15,10,0.436332313,0,0
1.333,4.12,-13.15,11,0.942477796,0,36.96
1.375,5.12,-13.15,12,0.977384381,0,184.91
1.417,6.12,-13.03,10,0.733038286,0,305.9
1.458,7.12,-12.14,10,0.890117919,0,391.9
1.5,8.12,-12.14,6,1.343903524,0,414.8
1.542,9.12,-12.13,8,1.378810109,0,416.89
1.583,10,-12.12,8,1.064650844,0,352.85
1.625,10,-12.12,4,0.890117919,0,246.86
1.667,9.77,-12.01,5,0.977384381,0,94.95
1.708,7.88,-11.14,8,0.925024504,0,5
1.75,7,-11.14,7,0.785398163,0,0
1.792,6.77,-11.14,8,6.056292504,0,0
1.833,5.12,-11.15,7,0.191986218,0,0
1.875,6,-11.15,7,0.191986218,0,0
1.917,6,-11.15,7,0.575958653,0,0
1.958,6,-11.03,6,0.191986218,0,0
2,6,-10.02,3,5.777039824,0,0
2.042,5.88,-9.14,5,5.811946409,0,0
2.083,5,-9.14,5,5.497787144,0,0
2.125,4.88,-9.02,3,5.654866776,0,0
2.167,4,-8.25,4,5.602506899,0,0
2.208,3.88,-9.14,0,5.724679947,0,0
2.25,3,-9.14,0,5.916666164,0,0
2.292,3.12,-9.14,0,5.445427266,0,0
2.333,4.12,-9.14,4,5.637413484,0,38
2.375,5.12,-9.02,7,5.619960191,0,182.93
2.417,6.12,-8.14,5,5.881759579,0,303.92
2.458,7.12,-8.02,6,5.794493117,0,287.88
2.5,8,-7.13,6,5.951572749,0,379.81
2.542,8.12,-7.01,6,0.226892803,0,206.88
2.583,9,-6.01,5,0.767944871,0,117.97
2.625,9,-5.01,5,1.082104136,0,71.94
2.667,8.77,-4,4,0.104719755,0,36.03
2.708,7,-3.23,5,0.401425728,0,1.98
2.75,7,-4.12,6,0.06981317,0,0
2.792,7,-4,6,0.104719755,0,0
2.833,7,-3.23,6,6.091199089,0,0
2.875,7,-4.12,7,0.541052068,0,0
2.917,6.88,-3.88,6,5.724679947,0,0
2.958,5.77,-1.98,5,6.073745797,0,0
3,4.12,-1.07,7,5.567600314,0,0
3.042,4.88,-1.08,4,5.567600314,0,0
3.083,4,-1.07,5,5.916666164,0,0
3.125,4,-1.07,5,5.550147021,0,0
3.167,4,-0.95,6,5.724679947,0,0
3.208,4,-0.06,10,5.969026042,0,0
3.25,4.12,-0.18,7,5.934119457,0,0
3.292,4.88,-0.96,9,6.108652382,0,0
3.333,4.35,0.06,6,5.829399702,0,13.95
3.375,7.23,0.81,7,5.654866776,0,33.01
3.417,9.23,-0.21,5,5.585053606,0,46.95
3.458,11,-1.11,6,6.038839212,0,69.04
3.5,11.12,-0.88,9,5.899212872,0,109.02
3.542,12,0.67,6,6.091199089,0,86
3.583,12,-0.88,10,5.759586532,0,61.95
3.625,12,0.9,6,6.073745797,0,62.99
3.667,11.88,0.9,6,6.248278722,0,29.99
3.708,10.77,1.03,8,6.16101226,0,8.02
3.75,9,1.8,5,6.056292504,0,0
3.792,8.65,1.03,6,5.881759579,0,0
3.833,6,1.83,7,5.567600314,0,0
3.875,5.77,0.93,6,5.689773362,0,0
3.917,4,0.96,5,5.602506899,0,0
3.958,4,0.96,6,5.550147021,0,0
4,4,0.96,7,5.375614096,0,0
4.042,4.12,0.96,6,5.515240436,0,0
4.083,5,0.94,6,5.497787144,0,0
4.125,4.88,1.06,7,5.654866776,0,0
4.167,4.12,1.97,8,5.742133239,0,0
4.208,5,1.96,6,5.218534463,0,0
4.25,5,1.96,6,5.567600314,0,0
4.292,5,1.96,9,5.794493117,0,0
4.333,5.12,1.96,5,5.777039824,0,5
4.375,6.23,1.95,3,5.393067389,0,23.01
4.417,8,2.05,6,5.689773362,0,59.04
4.458,8,3.06,2,1.047197551,0,46.95
4.5,7.88,3.95,4,0.41887902,0,69.04
4.542,7,3.96,6,6.073745797,0,76.94
4.583,7,4.97,6,0.087266463,0,33.94
4.625,7,5.13,4,0.558505361,0,16.97
4.667,8,5.97,4,5.864306287,0,11.97
