Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
 52,  1,       28890.00,   519983.37500,  4517081.50000, 10,   590.377
 51,  1,       28200.00,   520013.87951,  4517770.16814, 10,   592.377
 50,  1,       27500.00,   519953.79743,  4518456.91035, 10,   594.377
 49,  1,       26800.00,   519802.43405,  4519139.66713, 10,   594.377
 48,  1,       26050.00,   519878.46531,  4519860.22691, 10,   596.377
 47,  1,       25250.00,   520272.38841,  4520542.52174, 10,   596.377
 46,  1,       24550.00,   520759.31678,  4521041.77581, 10,   599.377
 45,  1,       24000.00,   521180.64122,  4521395.30899, 10,   599.377
 44,  1,       23450.00,   521564.98861,  4521785.81923, 10,   603.377
 43,  1,       22900.00,   521882.82489,  4522232.13892, 10,   604.377
 42,  1,       22400.00,   522168.52179,  4522640.15638, 10,   604.377
 41,  1,       21925.00,   522524.07441,  4522944.16749, 10,   609.377
 40,  1,       21500.00,   522915.89168,  4523091.39712, 10,   609.377
 39,  1,       21100.00,   523241.41075,  4523279.33566, 10,   609.377
 38,  1,       20700.00,   523438.37229,  4523620.48308, 10,   611.377
 37,  1,       20300.00,   523524.20747,  4524007.66054, 10,   612.377
 36,  1,       19900.00,   523576.36825,  4524403.86103, 10,   615.377
 35,  1,       19500.00,   523679.50191,  4524788.76111, 10,   615.377
 34,  1,       19100.00,   523847.90594,  4525149.90471, 10,   618.377
 33,  1,       18700.00,   524047.90595,  4525496.31487, 10,   618.377
 32,  1,       18300.00,   524301.11484,  4525798.07747, 10,   619.377
 31,  1,       17850.00,   524631.10043,  4526103.41168, 10,   619.377
 30,  1,       17400.00,   524907.87713,  4526453.39345, 10,   622.377
 29,  1,       17000.00,   525092.40078,  4526807.86009, 10,   622.377
 28,  1,       16650.00,   525189.99780,  4527138.55085, 10,   622.377
 27,  1,       16350.00,   525164.24834,  4527432.86894, 10,   622.377
 26,  1,       16050.00,   525074.12246,  4527718.71170, 10,   628.377
 25,  1,       15750.00,   525022.81940,  4528009.66558, 10,   628.377
 24,  1,       15350.00,   525087.52417,  4528401.14704, 10,   628.377
 23,  1,       14850.00,   525257.88349,  4528869.20544, 10,   632.377
 22,  1,       14350.00,   525488.53806,  4529312.28874, 10,   634.377
 21,  1,       13850.00,   525719.19263,  4529755.37203, 10,   634.377
 20,  1,       13350.00,   525889.55196,  4530223.43044, 10,   634.377
 19,  1,       12850.00,   526018.96149,  4530706.39335, 10,   638.377
 18,  1,       12350.00,   526105.45519,  4531196.92348, 10,   638.377
 17,  1,       11700.00,   526196.70339,  4531839.89526, 10,   638.377
 16,  1,       10900.00,   526369.69028,  4532620.18869, 10,   645.377
 15,  1,       10250.00,   526558.72293,  4533241.48217, 10,   645.377
 14,  1,        9750.00,   526708.93273,  4533717.88678, 10,   647.377
 13,  1,        9250.00,   526859.14253,  4534194.29140, 10,   652.377
 12,  1,        8700.00,   527094.64756,  4534689.02217, 10,   658.377
 11,  1,        8000.00,   527314.10684,  4535342.75289, 10,   658.377
 10,  1,        7050.00,   527288.05972,  4536278.32028, 10,   670.377
  9,  1,        6100.00,   527023.50596,  4537182.48764, 10,   673.377
  8,  1,        5250.00,   526700.54941,  4537967.87236, 10,   678.377
  7,  1,        4400.00,   526546.64025,  4538790.73401, 10,   680.377
  6,  1,        3600.00,   526581.50254,  4539589.21189, 10,   681.377
  5,  1,        2800.00,   526581.50262,  4540386.16765, 10,   681.377
  4,  1,        2100.00,   526494.54601,  4541080.08787, 10,   681.377
  3,  1,        1350.00,   526288.54245,  4541798.39185, 10,   683.377
  2,  1,         450.00,   525937.36623,  4542625.71080, 10,   696.377
 58,  2,       32630.00,   528702.17152,  4536683.94961, 10,   670.377
 57,  2,       31680.00,   529545.03685,  4537120.25872, 10,   670.377
 56,  2,       30705.00,   530351.18455,  4537649.40488, 10,   685.377
 55,  2,       29730.00,   531087.20057,  4538288.63571, 10,   708.377
 70,  3,       41580.00,   518785.81799,  4520523.96241, 10,   603.377
 69,  3,       40580.00,   518031.41140,  4521156.98454, 10,   612.377
 68,  3,       39580.00,   517122.87044,  4521561.49306, 10,   623.377
 67,  3,       38630.00,   516200.69643,  4521661.16048, 10,   627.377
 66,  3,       37680.00,   515271.08774,  4521476.90981, 10,   638.377
 65,  3,       36730.00,   514339.83722,  4521308.28016, 10,   657.377
 64,  3,       35880.00,   513491.54961,  4521269.06002, 10,   663.377
 63,  3,       35080.00,   512729.02648,  4521438.10727, 10,   678.377
 62,  3,       34280.00,   512038.84251,  4521836.58509, 10,   688.377
 61,  3,       33480.00,   511428.33891,  4522348.85830, 10,   706.377
 82,  4,       47880.00,   518439.36059,  4522201.66820, 10,   636.377
 81,  4,       47130.00,   518474.22288,  4522950.14608, 10,   632.377
 80,  4,       46480.00,   518624.22289,  4523559.95370, 10,   639.377
 79,  4,       45880.00,   519056.13068,  4523922.36737, 10,   656.377
 78,  4,       45330.00,   519579.51992,  4524089.67818, 10,   657.377
 77,  4,       44830.00,   519946.00138,  4524370.88929, 10,   668.377
 76,  4,       44280.00,   520018.90699,  4524882.83798, 10,   675.377
 75,  4,       43680.00,   519864.20649,  4525460.18808, 10,   674.377
 74,  4,       43080.00,   519611.60033,  4526001.90343, 10,   692.377
 73,  4,       42430.00,   519341.89315,  4526590.60341, 10,   693.377
