$//SWIFT CR/TEMP-WATER//1HOUR/sactrn_bc_script/
      JDAY,TEMP-WATER(C)
61.000,1.56
61.042,2.16
61.083,2.16
61.125,2.16
61.167,2.16
61.208,2.16
61.250,2.16
61.292,2.16
61.333,2.16
61.375,2.16
61.417,2.16
61.458,2.16
61.500,2.16
61.542,2.16
61.583,2.16
61.625,2.16
61.667,2.16
61.708,2.16
61.750,2.16
61.792,2.16
61.833,2.16
61.875,2.16
61.917,2.16
61.958,2.16
62.000,2.16
62.042,2.99
62.083,2.99
62.125,2.99
62.167,2.99
62.208,2.99
62.250,2.99
62.292,2.99
62.333,2.99
62.375,2.99
62.417,2.99
62.458,2.99
62.500,2.99
62.542,2.99
62.583,2.99
62.625,2.99
62.667,2.99
62.708,2.99
62.750,2.99
62.792,2.99
62.833,2.99
62.875,2.99
62.917,2.99
62.958,2.99
63.000,2.99
63.042,3.60
63.083,3.60
63.125,3.60
63.167,3.60
63.208,3.60
63.250,3.60
63.292,3.60
63.333,3.60
63.375,3.60
63.417,3.60
63.458,3.60
63.500,3.60
63.542,3.60
63.583,3.60
63.625,3.60
63.667,3.60
63.708,3.60
63.750,3.60
63.792,3.60
63.833,3.60
63.875,3.60
63.917,3.60
63.958,3.60
64.000,3.60
64.042,3.90
64.083,3.90
64.125,3.90
64.167,3.90
64.208,3.90
64.250,3.90
64.292,3.90
64.333,3.90
64.375,3.90
64.417,3.90
64.458,3.90
64.500,3.90
64.542,3.90
64.583,3.90
64.625,3.90
64.667,3.90
64.708,3.90
64.750,3.90
64.792,3.90
64.833,3.90
64.875,3.90
64.917,3.90
64.958,3.90
65.000,3.90
65.042,4.65
65.083,4.65
65.125,4.65
65.167,4.65
65.208,4.65
65.250,4.65
65.292,4.65
65.333,4.65
65.375,4.65
65.417,4.65
65.458,4.65
65.500,4.65
65.542,4.65
65.583,4.65
65.625,4.65
65.667,4.65
65.708,4.65
65.750,4.65
65.792,4.65
65.833,4.65
65.875,4.65
65.917,4.65
65.958,4.65
66.000,4.65
66.042,5.30
66.083,5.30
66.125,5.30
66.167,5.30
66.208,5.30
66.250,5.30
66.292,5.30
66.333,5.30
66.375,5.30
66.417,5.30
66.458,5.30
66.500,5.30
66.542,5.30
66.583,5.30
66.625,5.30
66.667,5.30
66.708,5.30
66.750,5.30
66.792,5.30
66.833,5.30
66.875,5.30
66.917,5.30
66.958,5.30
67.000,5.30
67.042,6.03
67.083,6.03
67.125,6.03
67.167,6.03
67.208,6.03
67.250,6.03
67.292,6.03
67.333,6.03
67.375,6.03
67.417,6.03
67.458,6.03
67.500,6.03
67.542,6.03
67.583,6.03
67.625,6.03
67.667,6.03
67.708,6.03
67.750,6.03
67.792,6.03
67.833,6.03
67.875,6.03
67.917,6.03
67.958,6.03
68.000,6.03
68.042,6.54
68.083,6.54
68.125,6.54
68.167,6.54
68.208,6.54
68.250,6.54
68.292,6.54
68.333,6.54
68.375,6.54
68.417,6.54
68.458,6.54
68.500,6.54
68.542,6.54
68.583,6.54
68.625,6.54
68.667,6.54
68.708,6.54
68.750,6.54
68.792,6.54
68.833,6.54
68.875,6.54
68.917,6.54
68.958,6.54
69.000,6.54
69.042,6.49
69.083,6.49
69.125,6.49
69.167,6.49
69.208,6.49
69.250,6.49
69.292,6.49
69.333,6.49
69.375,6.49
69.417,6.49
69.458,6.49
69.500,6.49
69.542,6.49
69.583,6.49
69.625,6.49
69.667,6.49
69.708,6.49
69.750,6.49
69.792,6.49
69.833,6.49
69.875,6.49
69.917,6.49
69.958,6.49
70.000,6.49
70.042,6.06
70.083,6.06
70.125,6.06
70.167,6.06
70.208,6.06
70.250,6.06
70.292,6.06
70.333,6.06
70.375,6.06
70.417,6.06
70.458,6.06
70.500,6.06
70.542,6.06
70.583,6.06
70.625,6.06
70.667,6.06
70.708,6.06
70.750,6.06
70.792,6.06
70.833,6.06
70.875,6.06
70.917,6.06
70.958,6.06
71.000,6.06
71.042,5.50
71.083,5.50
71.125,5.50
71.167,5.50
71.208,5.50
71.250,5.50
71.292,5.50
71.333,5.50
71.375,5.50
71.417,5.50
71.458,5.50
71.500,5.50
71.542,5.50
71.583,5.50
71.625,5.50
71.667,5.50
71.708,5.50
71.750,5.50
71.792,5.50
71.833,5.50
71.875,5.50
71.917,5.50
71.958,5.50
72.000,5.50
72.042,4.96
72.083,4.96
72.125,4.96
72.167,4.96
72.208,4.96
72.250,4.96
72.292,4.96
72.333,4.96
72.375,4.96
72.417,4.96
72.458,4.96
72.500,4.96
72.542,4.96
72.583,4.96
72.625,4.96
72.667,4.96
72.708,4.96
72.750,4.96
72.792,4.96
72.833,4.96
72.875,4.96
72.917,4.96
72.958,4.96
73.000,4.96
73.042,4.47
73.083,4.47
73.125,4.47
73.167,4.47
73.208,4.47
73.250,4.47
73.292,4.47
73.333,4.47
73.375,4.47
73.417,4.47
73.458,4.47
73.500,4.47
73.542,4.47
73.583,4.47
73.625,4.47
73.667,4.47
73.708,4.47
73.750,4.47
73.792,4.47
73.833,4.47
