$//SWIFT CR/FLOW-IN//1DAY/sactrn_bc_script/
      JDAY,FLOW-IN(cms)
61.000,3.99945126
62.000,4.38863809
63.000,4.37281789
64.000,4.11335942
65.000,4.17664197
66.000,4.46141303
67.000,4.52469558
68.000,5.06259641
69.000,5.28408491
70.000,6.09726441
71.000,5.75870362
72.000,5.98019212
73.000,6.13839807
74.000,6.45797453
75.000,6.58137551
76.000,6.64465763
77.000,6.89145958
78.000,6.86931069
79.000,6.78704337
80.000,6.77122273
81.000,7.08763506
82.000,7.68881801
83.000,7.19205127
84.000,6.73958146
85.000,7.11927634
86.000,6.99271123
87.000,6.96106996
88.000,6.87563894
89.000,7.53061250
90.000,7.43568867
91.000,7.43568867
92.000,7.67531549
93.000,7.67531549
94.000,8.06558555
95.000,8.35828831
96.000,7.40212550
97.000,7.80540551
98.000,7.80540551
99.000,8.32576559
100.000,8.00054011
101.000,7.80540551
102.000,7.86719825
103.000,8.32576559
104.000,9.23639573
105.000,10.59258498
106.000,10.33890949
107.000,10.08198129
108.000,9.52909849
109.000,10.05921582
110.000,8.84612567
111.000,8.87864839
112.000,8.77782839
113.000,9.10630571
114.000,9.62666665
115.000,10.04945943
116.000,10.04945943
117.000,10.14702673
118.000,10.01693671
119.000,10.37468405
120.000,9.78927939
121.000,9.55836937
122.000,5.12657677
123.000,5.16483450
124.000,5.36829789
125.000,5.60132381
126.000,5.69696922
127.000,5.42568470
128.000,5.72131524
129.000,5.83435017
130.000,5.75261733
131.000,5.58219516
132.000,5.55437089
133.000,5.99955539
134.000,5.82043803
135.000,5.88130309
136.000,5.89521523
137.000,5.86043532
138.000,5.65175499
139.000,5.51437404
140.000,5.00832447
141.000,5.35786357
142.000,5.32134454
143.000,5.14744455
144.000,5.03440962
145.000,5.29178157
146.000,5.46046504
147.000,5.33873492
148.000,4.97354456
149.000,5.10223075
150.000,4.77703724
151.000,4.82920711
152.000,4.54053307
153.000,2.21429349
154.000,2.05730990
155.000,1.92676576
156.000,2.02343455
157.000,2.04491653
158.000,1.98873285
159.000,2.11514586
160.000,2.09862136
161.000,2.13001808
162.000,1.93337552
163.000,1.98047060
164.000,1.99121169
165.000,2.02426069
166.000,2.00525756
167.000,2.13414920
168.000,2.01847707
169.000,2.03995905
170.000,2.02839181
171.000,2.00525756
172.000,1.93337552
173.000,1.91437239
174.000,1.92676576
175.000,1.76812979
176.000,1.60536269
177.000,1.58883808
178.000,1.54917911
179.000,1.56074635
180.000,1.48060217
181.000,1.43681197
182.000,1.44011695
183.000,1.08904483
184.000,1.01521130
185.000,0.95588077
186.000,0.87677337
187.000,0.83062741
188.000,0.81744284
189.000,0.79107371
190.000,0.79107371
191.000,0.77854839
192.000,0.72515093
193.000,0.70537405
194.000,0.71196636
195.000,0.62626670
196.000,0.59660144
197.000,0.57616537
198.000,0.55770698
199.000,0.52408634
200.000,0.50760565
201.000,0.53397473
202.000,0.49442108
203.000,0.48585108
204.000,0.48387340
205.000,0.48453264
206.000,0.46211888
207.000,0.43574978
208.000,0.49771721
209.000,0.47464420
210.000,0.42256521
211.000,0.41201755
212.000,0.43838668
213.000,0.43047593
214.000,0.63652527
215.000,0.58372592
216.000,0.55243743
217.000,0.50843800
218.000,0.48497164
219.000,0.50159362
220.000,0.41750581
221.000,0.49474930
222.000,0.44781655
223.000,0.44292772
224.000,0.43510560
225.000,0.36470649
226.000,0.36177320
227.000,0.34906224
228.000,0.28452974
229.000,0.34612893
230.000,0.31288493
231.000,0.26986324
232.000,0.34710670
233.000,0.27768536
234.000,0.32950694
235.000,0.32364034
236.000,0.26595218
237.000,0.26888547
238.000,0.28452974
239.000,0.26301889
240.000,0.26204112
241.000,0.24248582
242.000,0.23661921
243.000,0.22488603
244.000,0.26595218
245.000,0.29940360
246.000,0.28898957
247.000,0.33324922
248.000,0.26035095
249.000,0.30721411
250.000,0.26165271
251.000,0.32543869
252.000,0.33975798
253.000,0.30591236
254.000,0.29549832
255.000,0.28898957
256.000,0.27987728
257.000,0.26816149
258.000,0.26295446
259.000,0.27336850
260.000,0.27727375
261.000,0.25904920
262.000,0.31111939
263.000,0.28508429
264.000,0.28898957
265.000,0.26295446
266.000,0.23822113
267.000,0.23561762
268.000,0.23301409
269.000,0.23171234
270.000,0.23171234
271.000,0.22129830
272.000,0.22910884
273.000,0.22780709
274.000,0.21869480
275.000,0.68994147
276.000,0.67380250
277.000,0.71414999
278.000,0.67783727
279.000,0.68187199
280.000,0.77467117
281.000,0.75046265
282.000,0.70608045
283.000,0.70204573
284.000,0.75046265
285.000,0.74239316
286.000,0.74239316
287.000,0.70204573
288.000,0.68994147
289.000,0.63345507
290.000,0.63748978
291.000,0.63748978
292.000,0.68590676
293.000,0.74239316
294.000,0.81501860
295.000,0.79081014
296.000,0.79887963
297.000,0.80694911
298.000,0.81501860
299.000,0.81501860
300.000,0.79081014
301.000,0.75046265
302.000,0.75046265
303.000,0.75046265
304.000,0.76256691
305.000,0.80694911
306.000,1.50418352
307.000,1.53568469
308.000,1.66956492
309.000,1.53568469
310.000,1.55143533
311.000,1.53568469
312.000,1.45693159
313.000,1.49630819
314.000,1.48843287
315.000,1.41755510
316.000,1.44905638
317.000,1.48843287
318.000,1.45693159
319.000,1.51205873
320.000,1.46480691
321.000,1.72469206
322.000,1.77981919
323.000,1.87432282
324.000,1.88219814
325.000,2.20508564
326.000,2.14208329
327.000,2.00820306
328.000,2.00032773
329.000,1.81919580
330.000,1.92157475
331.000,1.98457709
332.000,2.12633265
333.000,2.01607838
334.000,1.96882645
335.000,2.06333030
