$//TRINITY RIVER/TEMP-WATER//1HOUR/sactrn_bc_script/
      JDAY,TEMP-WATER(C)
61.000,2.24
61.042,2.85
61.083,2.85
61.125,2.85
61.167,2.85
61.208,2.85
61.250,2.85
61.292,2.85
61.333,2.85
61.375,2.85
61.417,2.85
61.458,2.85
61.500,2.85
61.542,2.85
61.583,2.85
61.625,2.85
61.667,2.85
61.708,2.85
61.750,2.85
61.792,2.85
61.833,2.85
61.875,2.85
61.917,2.85
61.958,2.85
62.000,2.85
62.042,3.70
62.083,3.70
62.125,3.70
62.167,3.70
62.208,3.70
62.250,3.70
62.292,3.70
62.333,3.70
62.375,3.70
62.417,3.70
62.458,3.70
62.500,3.70
62.542,3.70
62.583,3.70
62.625,3.70
62.667,3.70
62.708,3.70
62.750,3.70
62.792,3.70
62.833,3.70
62.875,3.70
62.917,3.70
62.958,3.70
63.000,3.70
63.042,4.33
63.083,4.33
63.125,4.33
63.167,4.33
63.208,4.33
63.250,4.33
63.292,4.33
63.333,4.33
63.375,4.33
63.417,4.33
63.458,4.33
63.500,4.33
63.542,4.33
63.583,4.33
63.625,4.33
63.667,4.33
63.708,4.33
63.750,4.33
63.792,4.33
63.833,4.33
63.875,4.33
63.917,4.33
63.958,4.33
64.000,4.33
64.042,4.63
64.083,4.63
64.125,4.63
64.167,4.63
64.208,4.63
64.250,4.63
64.292,4.63
64.333,4.63
64.375,4.63
64.417,4.63
64.458,4.63
64.500,4.63
64.542,4.63
64.583,4.63
64.625,4.63
64.667,4.63
64.708,4.63
64.750,4.63
64.792,4.63
64.833,4.63
64.875,4.63
64.917,4.63
64.958,4.63
65.000,4.63
65.042,5.40
65.083,5.40
65.125,5.40
65.167,5.40
65.208,5.40
65.250,5.40
65.292,5.40
65.333,5.40
65.375,5.40
65.417,5.40
65.458,5.40
65.500,5.40
65.542,5.40
65.583,5.40
65.625,5.40
65.667,5.40
65.708,5.40
65.750,5.40
65.792,5.40
65.833,5.40
65.875,5.40
65.917,5.40
65.958,5.40
66.000,5.40
66.042,6.07
66.083,6.07
66.125,6.07
66.167,6.07
66.208,6.07
66.250,6.07
66.292,6.07
66.333,6.07
66.375,6.07
66.417,6.07
66.458,6.07
66.500,6.07
66.542,6.07
66.583,6.07
66.625,6.07
66.667,6.07
66.708,6.07
66.750,6.07
66.792,6.07
66.833,6.07
66.875,6.07
66.917,6.07
66.958,6.07
67.000,6.07
67.042,6.82
67.083,6.82
67.125,6.82
67.167,6.82
67.208,6.82
67.250,6.82
67.292,6.82
67.333,6.82
67.375,6.82
67.417,6.82
67.458,6.82
67.500,6.82
67.542,6.82
67.583,6.82
67.625,6.82
67.667,6.82
67.708,6.82
67.750,6.82
67.792,6.82
67.833,6.82
67.875,6.82
67.917,6.82
67.958,6.82
68.000,6.82
68.042,7.33
68.083,7.33
68.125,7.33
68.167,7.33
68.208,7.33
68.250,7.33
68.292,7.33
68.333,7.33
68.375,7.33
68.417,7.33
68.458,7.33
68.500,7.33
68.542,7.33
68.583,7.33
68.625,7.33
68.667,7.33
68.708,7.33
68.750,7.33
68.792,7.33
68.833,7.33
68.875,7.33
68.917,7.33
68.958,7.33
69.000,7.33
69.042,7.28
69.083,7.28
69.125,7.28
69.167,7.28
69.208,7.28
69.250,7.28
69.292,7.28
69.333,7.28
69.375,7.28
69.417,7.28
69.458,7.28
69.500,7.28
69.542,7.28
69.583,7.28
69.625,7.28
69.667,7.28
69.708,7.28
69.750,7.28
69.792,7.28
69.833,7.28
69.875,7.28
69.917,7.28
69.958,7.28
70.000,7.28
70.042,6.84
70.083,6.84
70.125,6.84
70.167,6.84
70.208,6.84
70.250,6.84
70.292,6.84
70.333,6.84
70.375,6.84
70.417,6.84
70.458,6.84
70.500,6.84
70.542,6.84
70.583,6.84
70.625,6.84
70.667,6.84
70.708,6.84
70.750,6.84
70.792,6.84
70.833,6.84
70.875,6.84
70.917,6.84
70.958,6.84
71.000,6.84
71.042,6.27
71.083,6.27
71.125,6.27
71.167,6.27
71.208,6.27
71.250,6.27
71.292,6.27
71.333,6.27
71.375,6.27
71.417,6.27
71.458,6.27
71.500,6.27
71.542,6.27
71.583,6.27
71.625,6.27
71.667,6.27
71.708,6.27
71.750,6.27
71.792,6.27
71.833,6.27
71.875,6.27
71.917,6.27
71.958,6.27
72.000,6.27
72.042,5.71
72.083,5.71
72.125,5.71
72.167,5.71
72.208,5.71
72.250,5.71
72.292,5.71
72.333,5.71
72.375,5.71
72.417,5.71
72.458,5.71
72.500,5.71
72.542,5.71
72.583,5.71
72.625,5.71
72.667,5.71
72.708,5.71
72.750,5.71
72.792,5.71
72.833,5.71
72.875,5.71
72.917,5.71
72.958,5.71
73.000,5.71
73.042,5.21
73.083,5.21
73.125,5.21
73.167,5.21
73.208,5.21
73.250,5.21
73.292,5.21
73.333,5.21
73.375,5.21
73.417,5.21
73.458,5.21
73.500,5.21
73.542,5.21
73.583,5.21
73.625,5.21
73.667,5.21
73.708,5.21
73.750,5.21
73.792,5.21
73.833,5.21
73.875,5.21
73.917,5.21
73.958,5.21
74.000,5.21
74.042,4.66
74.083,4.66
74.125,4.66
74.167,4.66
74.208,4.66
74.250,4.66
74.292,4.66
74.333,4.66
74.375,4.66
74.417,4.66
74.458,4.66
74.500,4.66
74.542,4.66
74.583,4.66
74.625,4.66
74.667,4.66
74.708,4.66
74.750,4.66
74.792,4.66
74.833,4.66
74.875,4.66
74.917,4.66
74.958,4.66
75.000,4.66
75.042,4.36
75.083,4.36
75.125,4.36
75.167,4.36
75.208,4.36
75.250,4.36
75.292,4.36
75.333,4.36
75.375,4.36
75.417,4.36
75.458,4.36
75.500,4.36
75.542,4.36
75.583,4.36
75.625,4.36
75.667,4.36
75.708,4.36
75.750,4.36
75.792,4.36
75.833,4.36
75.875,4.36
75.917,4.36
75.958,4.36
76.000,4.36
76.042,4.05
76.083,4.05
76.125,4.05
76.167,4.05
76.208,4.05
76.250,4.05
76.292,4.05
76.333,4.05
76.375,4.05
76.417,4.05
76.458,4.05
76.500,4.05
76.542,4.05
76.583,4.05
76.625,4.05
76.667,4.05
76.708,4.05
76.750,4.05
76.792,4.05
76.833,4.05
76.875,4.05
76.917,4.05
76.958,4.05
77.000,4.05
77.042,4.33
77.083,4.33
77.125,4.33
77.167,4.33
77.208,4.33
77.250,4.33
77.292,4.33
77.333,4.33
77.375,4.33
77.417,4.33
77.458,4.33
77.500,4.33
77.542,4.33
77.583,4.33
77.625,4.33
77.667,4.33
77.708,4.33
77.750,4.33
77.792,4.33
77.833,4.33
77.875,4.33
77.917,4.33
77.958,4.33
78.000,4.33
78.042,4.70
78.083,4.70
78.125,4.70
78.167,4.70
78.208,4.70
78.250,4.70
78.292,4.70
78.333,4.70
78.375,4.70
78.417,4.70
78.458,4.70
78.500,4.70
78.542,4.70
78.583,4.70
78.625,4.70
78.667,4.70
78.708,4.70
78.750,4.70
78.792,4.70
78.833,4.70
78.875,4.70
78.917,4.70
78.958,4.70
79.000,4.70
79.042,4.71
79.083,4.71
79.125,4.71
79.167,4.71
79.208,4.71
79.250,4.71
79.292,4.71
79.333,4.71
79.375,4.71
79.417,4.71
79.458,4.71
79.500,4.71
79.542,4.71
79.583,4.71
79.625,4.71
79.667,4.71
79.708,4.71
79.750,4.71
79.792,4.71
79.833,4.71
79.875,4.71
79.917,4.71
79.958,4.71
80.000,4.71
80.042,4.56
80.083,4.56
80.125,4.56
80.167,4.56
80.208,4.56
80.250,4.56
80.292,4.56
80.333,4.56
80.375,4.56
80.417,4.56
80.458,4.56
80.500,4.56
80.542,4.56
80.583,4.56
80.625,4.56
80.667,4.56
80.708,4.56
80.750,4.56
80.792,4.56
80.833,4.56
80.875,4.56
80.917,4.56
80.958,4.56
81.000,4.56
81.042,4.43
81.083,4.43
81.125,4.43
81.167,4.43
81.208,4.43
81.250,4.43
81.292,4.43
81.333,4.43
81.375,4.43
81.417,4.43
81.458,4.43
81.500,4.43
81.542,4.43
81.583,4.43
81.625,4.43
81.667,4.43
81.708,4.43
81.750,4.43
81.792,4.43
81.833,4.43
81.875,4.43
81.917,4.43
81.958,4.43
82.000,4.43
82.042,4.40
82.083,4.40
82.125,4.40
82.167,4.40
82.208,4.40
82.250,4.40
82.292,4.40
82.333,4.40
82.375,4.40
82.417,4.40
82.458,4.40
82.500,4.40
82.542,4.40
82.583,4.40
82.625,4.40
82.667,4.40
82.708,4.40
82.750,4.40
82.792,4.40
82.833,4.40
82.875,4.40
82.917,4.40
82.958,4.40
83.000,4.40
83.042,5.02
83.083,5.02
83.125,5.02
83.167,5.02
83.208,5.02
83.250,5.02
83.292,5.02
83.333,5.02
83.375,5.02
83.417,5.02
83.458,5.02
83.500,5.02
83.542,5.02
83.583,5.02
83.625,5.02
83.667,5.02
83.708,5.02
83.750,5.02
83.792,5.02
83.833,5.02
83.875,5.02
83.917,5.02
83.958,5.02
84.000,5.02
84.042,5.72
84.083,5.72
84.125,5.72
84.167,5.72
84.208,5.72
84.250,5.72
84.292,5.72
84.333,5.72
84.375,5.72
84.417,5.72
84.458,5.72
84.500,5.72
84.542,5.72
84.583,5.72
84.625,5.72
84.667,5.72
84.708,5.72
84.750,5.72
84.792,5.72
84.833,5.72
84.875,5.72
84.917,5.72
84.958,5.72
85.000,5.72
85.042,6.61
85.083,6.61
85.125,6.61
85.167,6.61
85.208,6.61
85.250,6.61
85.292,6.61
85.333,6.61
85.375,6.61
85.417,6.61
85.458,6.61
85.500,6.61
85.542,6.61
85.583,6.61
85.625,6.61
85.667,6.61
85.708,6.61
85.750,6.61
85.792,6.61
85.833,6.61
85.875,6.61
85.917,6.61
85.958,6.61
86.000,6.61
86.042,7.76
86.083,7.76
86.125,7.76
86.167,7.76
86.208,7.76
86.250,7.76
86.292,7.76
86.333,7.76
86.375,7.76
86.417,7.76
86.458,7.76
86.500,7.76
86.542,7.76
86.583,7.76
86.625,7.76
86.667,7.76
86.708,7.76
86.750,7.76
86.792,7.76
86.833,7.76
86.875,7.76
86.917,7.76
86.958,7.76
87.000,7.76
87.042,8.96
87.083,8.96
87.125,8.96
87.167,8.96
87.208,8.96
87.250,8.96
87.292,8.96
87.333,8.96
87.375,8.96
87.417,8.96
87.458,8.96
87.500,8.96
87.542,8.96
87.583,8.96
87.625,8.96
87.667,8.96
87.708,8.96
87.750,8.96
87.792,8.96
87.833,8.96
87.875,8.96
87.917,8.96
87.958,8.96
88.000,8.96
88.042,9.86
88.083,9.86
88.125,9.86
88.167,9.86
88.208,9.86
88.250,9.86
88.292,9.86
88.333,9.86
88.375,9.86
88.417,9.86
88.458,9.86
88.500,9.86
88.542,9.86
88.583,9.86
88.625,9.86
88.667,9.86
88.708,9.86
88.750,9.86
88.792,9.86
88.833,9.86
88.875,9.86
88.917,9.86
88.958,9.86
89.000,9.86
89.042,10.31
89.083,10.31
89.125,10.31
89.167,10.31
89.208,10.31
89.250,10.31
89.292,10.31
89.333,10.31
89.375,10.31
89.417,10.31
89.458,10.31
89.500,10.31
89.542,10.31
89.583,10.31
89.625,10.31
89.667,10.31
89.708,10.31
89.750,10.31
89.792,10.31
89.833,10.31
89.875,10.31
89.917,10.31
89.958,10.31
90.000,10.31
90.042,10.40
90.083,10.40
90.125,10.40
90.167,10.40
90.208,10.40
90.250,10.40
90.292,10.40
90.333,10.40
90.375,10.40
90.417,10.40
90.458,10.40
90.500,10.40
90.542,10.40
90.583,10.40
90.625,10.40
90.667,10.40
90.708,10.40
90.750,10.40
90.792,10.40
90.833,10.40
90.875,10.40
90.917,10.40
90.958,10.40
91.000,10.40
91.042,10.31
91.083,10.31
91.125,10.31
91.167,10.31
91.208,10.31
91.250,10.31
91.292,10.31
91.333,10.31
91.375,10.31
91.417,10.31
91.458,10.31
91.500,10.31
91.542,10.31
91.583,10.31
91.625,10.31
91.667,10.31
91.708,10.31
91.750,10.31
91.792,10.31
91.833,10.31
91.875,10.31
91.917,10.31
91.958,10.31
92.000,10.31
92.042,9.79
92.083,9.79
92.125,9.79
92.167,9.79
92.208,9.79
92.250,9.79
92.292,9.79
92.333,9.79
92.375,9.79
92.417,9.79
92.458,9.79
92.500,9.79
92.542,9.79
92.583,9.79
92.625,9.79
92.667,9.79
92.708,9.79
92.750,9.79
92.792,9.79
92.833,9.79
92.875,9.79
92.917,9.79
92.958,9.79
93.000,9.79
93.042,9.16
93.083,9.16
93.125,9.16
93.167,9.16
93.208,9.16
93.250,9.16
93.292,9.16
93.333,9.16
93.375,9.16
93.417,9.16
93.458,9.16
93.500,9.16
93.542,9.16
93.583,9.16
93.625,9.16
93.667,9.16
93.708,9.16
93.750,9.16
93.792,9.16
93.833,9.16
93.875,9.16
93.917,9.16
93.958,9.16
94.000,9.16
94.042,8.65
94.083,8.65
94.125,8.65
94.167,8.65
94.208,8.65
94.250,8.65
94.292,8.65
94.333,8.65
94.375,8.65
94.417,8.65
94.458,8.65
94.500,8.65
94.542,8.65
94.583,8.65
94.625,8.65
94.667,8.65
94.708,8.65
94.750,8.65
94.792,8.65
94.833,8.65
94.875,8.65
94.917,8.65
94.958,8.65
95.000,8.65
95.042,8.28
95.083,8.28
95.125,8.28
95.167,8.28
95.208,8.28
95.250,8.28
95.292,8.28
95.333,8.28
95.375,8.28
95.417,8.28
95.458,8.28
95.500,8.28
95.542,8.28
95.583,8.28
95.625,8.28
95.667,8.28
95.708,8.28
95.750,8.28
95.792,8.28
95.833,8.28
95.875,8.28
95.917,8.28
95.958,8.28
96.000,8.28
96.042,8.43
96.083,8.43
96.125,8.43
96.167,8.43
96.208,8.43
96.250,8.43
96.292,8.43
96.333,8.43
96.375,8.43
96.417,8.43
96.458,8.43
96.500,8.43
96.542,8.43
96.583,8.43
96.625,8.43
96.667,8.43
96.708,8.43
96.750,8.43
96.792,8.43
96.833,8.43
96.875,8.43
96.917,8.43
96.958,8.43
97.000,8.43
97.042,8.32
97.083,8.32
97.125,8.32
97.167,8.32
97.208,8.32
97.250,8.32
97.292,8.32
97.333,8.32
97.375,8.32
97.417,8.32
97.458,8.32
97.500,8.32
97.542,8.32
97.583,8.32
97.625,8.32
97.667,8.32
97.708,8.32
97.750,8.32
97.792,8.32
97.833,8.32
97.875,8.32
97.917,8.32
97.958,8.32
98.000,8.32
98.042,7.47
98.083,7.47
98.125,7.47
98.167,7.47
98.208,7.47
98.250,7.47
98.292,7.47
98.333,7.47
98.375,7.47
98.417,7.47
98.458,7.47
98.500,7.47
98.542,7.47
98.583,7.47
98.625,7.47
98.667,7.47
98.708,7.47
98.750,7.47
98.792,7.47
98.833,7.47
98.875,7.47
98.917,7.47
98.958,7.47
99.000,7.47
99.042,6.92
99.083,6.92
99.125,6.92
99.167,6.92
99.208,6.92
99.250,6.92
99.292,6.92
99.333,6.92
99.375,6.92
99.417,6.92
99.458,6.92
99.500,6.92
99.542,6.92
99.583,6.92
99.625,6.92
99.667,6.92
99.708,6.92
99.750,6.92
99.792,6.92
99.833,6.92
99.875,6.92
99.917,6.92
99.958,6.92
100.000,6.92
100.042,6.91
100.083,6.91
100.125,6.91
100.167,6.91
100.208,6.91
100.250,6.91
100.292,6.91
100.333,6.91
100.375,6.91
100.417,6.91
100.458,6.91
100.500,6.91
100.542,6.91
100.583,6.91
100.625,6.91
100.667,6.91
100.708,6.91
100.750,6.91
100.792,6.91
100.833,6.91
100.875,6.91
100.917,6.91
100.958,6.91
101.000,6.91
101.042,7.14
101.083,7.14
101.125,7.14
101.167,7.14
101.208,7.14
101.250,7.14
101.292,7.14
101.333,7.14
101.375,7.14
101.417,7.14
101.458,7.14
101.500,7.14
101.542,7.14
101.583,7.14
101.625,7.14
101.667,7.14
101.708,7.14
101.750,7.14
101.792,7.14
101.833,7.14
101.875,7.14
101.917,7.14
101.958,7.14
102.000,7.14
102.042,6.80
102.083,6.80
102.125,6.80
102.167,6.80
102.208,6.80
102.250,6.80
102.292,6.80
102.333,6.80
102.375,6.80
102.417,6.80
102.458,6.80
102.500,6.80
102.542,6.80
102.583,6.80
102.625,6.80
102.667,6.80
102.708,6.80
102.750,6.80
102.792,6.80
102.833,6.80
102.875,6.80
102.917,6.80
102.958,6.80
103.000,6.80
103.042,5.89
103.083,5.89
103.125,5.89
103.167,5.89
103.208,5.89
103.250,5.89
103.292,5.89
103.333,5.89
103.375,5.89
103.417,5.89
103.458,5.89
103.500,5.89
103.542,5.89
103.583,5.89
103.625,5.89
103.667,5.89
103.708,5.89
103.750,5.89
103.792,5.89
103.833,5.89
103.875,5.89
103.917,5.89
103.958,5.89
104.000,5.89
104.042,5.33
104.083,5.33
104.125,5.33
104.167,5.33
104.208,5.33
104.250,5.33
104.292,5.33
104.333,5.33
104.375,5.33
104.417,5.33
104.458,5.33
104.500,5.33
104.542,5.33
104.583,5.33
104.625,5.33
104.667,5.33
104.708,5.33
104.750,5.33
104.792,5.33
104.833,5.33
104.875,5.33
104.917,5.33
104.958,5.33
105.000,5.33
105.042,5.46
105.083,5.46
105.125,5.46
105.167,5.46
105.208,5.46
105.250,5.46
105.292,5.46
105.333,5.46
105.375,5.46
105.417,5.46
105.458,5.46
105.500,5.46
105.542,5.46
105.583,5.46
105.625,5.46
105.667,5.46
105.708,5.46
105.750,5.46
105.792,5.46
105.833,5.46
105.875,5.46
105.917,5.46
105.958,5.46
106.000,5.46
106.042,6.02
106.083,6.02
106.125,6.02
106.167,6.02
106.208,6.02
106.250,6.02
106.292,6.02
106.333,6.02
106.375,6.02
106.417,6.02
106.458,6.02
106.500,6.02
106.542,6.02
106.583,6.02
106.625,6.02
106.667,6.02
106.708,6.02
106.750,6.02
106.792,6.02
106.833,6.02
106.875,6.02
106.917,6.02
106.958,6.02
107.000,6.02
107.042,6.55
107.083,6.55
107.125,6.55
107.167,6.55
107.208,6.55
107.250,6.55
107.292,6.55
107.333,6.55
107.375,6.55
107.417,6.55
107.458,6.55
107.500,6.55
107.542,6.55
107.583,6.55
107.625,6.55
107.667,6.55
107.708,6.55
107.750,6.55
107.792,6.55
107.833,6.55
107.875,6.55
107.917,6.55
107.958,6.55
108.000,6.55
108.042,6.95
108.083,6.95
108.125,6.95
108.167,6.95
108.208,6.95
108.250,6.95
108.292,6.95
108.333,6.95
108.375,6.95
108.417,6.95
108.458,6.95
108.500,6.95
108.542,6.95
108.583,6.95
108.625,6.95
108.667,6.95
108.708,6.95
108.750,6.95
108.792,6.95
108.833,6.95
108.875,6.95
108.917,6.95
108.958,6.95
109.000,6.95
109.042,7.93
109.083,7.93
109.125,7.93
109.167,7.93
109.208,7.93
109.250,7.93
109.292,7.93
109.333,7.93
109.375,7.93
109.417,7.93
109.458,7.93
109.500,7.93
109.542,7.93
109.583,7.93
109.625,7.93
109.667,7.93
109.708,7.93
109.750,7.93
109.792,7.93
109.833,7.93
109.875,7.93
109.917,7.93
109.958,7.93
110.000,7.93
110.042,9.24
110.083,9.24
110.125,9.24
110.167,9.24
110.208,9.24
110.250,9.24
110.292,9.24
110.333,9.24
110.375,9.24
110.417,9.24
110.458,9.24
110.500,9.24
110.542,9.24
110.583,9.24
110.625,9.24
110.667,9.24
110.708,9.24
110.750,9.24
110.792,9.24
110.833,9.24
110.875,9.24
110.917,9.24
110.958,9.24
111.000,9.24
111.042,10.44
111.083,10.44
111.125,10.44
111.167,10.44
111.208,10.44
111.250,10.44
111.292,10.44
111.333,10.44
111.375,10.44
111.417,10.44
111.458,10.44
111.500,10.44
111.542,10.44
111.583,10.44
111.625,10.44
111.667,10.44
111.708,10.44
111.750,10.44
111.792,10.44
111.833,10.44
111.875,10.44
111.917,10.44
111.958,10.44
112.000,10.44
112.042,11.64
112.083,11.64
112.125,11.64
112.167,11.64
112.208,11.64
112.250,11.64
112.292,11.64
112.333,11.64
112.375,11.64
112.417,11.64
112.458,11.64
112.500,11.64
112.542,11.64
112.583,11.64
112.625,11.64
112.667,11.64
112.708,11.64
112.750,11.64
112.792,11.64
112.833,11.64
112.875,11.64
112.917,11.64
112.958,11.64
113.000,11.64
113.042,12.40
113.083,12.40
113.125,12.40
113.167,12.40
113.208,12.40
113.250,12.40
113.292,12.40
113.333,12.40
113.375,12.40
113.417,12.40
113.458,12.40
113.500,12.40
113.542,12.40
113.583,12.40
113.625,12.40
113.667,12.40
113.708,12.40
113.750,12.40
113.792,12.40
113.833,12.40
113.875,12.40
113.917,12.40
113.958,12.40
114.000,12.40
114.042,12.01
114.083,12.01
114.125,12.01
114.167,12.01
114.208,12.01
114.250,12.01
114.292,12.01
114.333,12.01
114.375,12.01
114.417,12.01
114.458,12.01
114.500,12.01
114.542,12.01
114.583,12.01
114.625,12.01
114.667,12.01
114.708,12.01
114.750,12.01
114.792,12.01
114.833,12.01
114.875,12.01
114.917,12.01
114.958,12.01
115.000,12.01
115.042,11.21
115.083,11.21
115.125,11.21
115.167,11.21
115.208,11.21
115.250,11.21
115.292,11.21
115.333,11.21
115.375,11.21
115.417,11.21
115.458,11.21
115.500,11.21
115.542,11.21
115.583,11.21
115.625,11.21
115.667,11.21
115.708,11.21
115.750,11.21
115.792,11.21
115.833,11.21
115.875,11.21
