$//TRINITY RIVER/FLOW-IN//1DAY/sactrn_bc_script/
      JDAY,FLOW-IN(cms)
61.000,19.821842736
62.000,21.750710141
63.000,21.672299576
64.000,20.386389125
65.000,20.700026200
66.000,22.111392172
67.000,22.425029247
68.000,25.090941791
69.000,26.188668960
70.000,30.218900792
71.000,28.540946157
72.000,29.638675055
73.000,30.422766878
74.000,32.006629872
75.000,32.618224674
76.000,32.931860020
77.000,34.155042711
78.000,34.045269994
79.000,33.637541278
80.000,33.559134170
81.000,35.127317816
82.000,38.106867434
83.000,35.644819249
84.000,33.402316497
85.000,35.284135489
86.000,34.656861339
87.000,34.500043666
88.000,34.076635603
89.000,37.322775611
90.000,36.852319135
91.000,36.852319135
92.000,38.039549247
93.000,38.039549247
94.000,39.973760628
95.000,41.424421756
96.000,36.685598170
97.000,38.684286374
98.000,38.684286374
99.000,41.263238338
100.000,39.651393793
101.000,38.684286374
102.000,38.990534868
103.000,41.263238338
104.000,45.776405140
105.000,52.497798588
106.000,51.240561018
107.000,49.967201649
108.000,47.227066267
109.000,49.854373257
110.000,43.842190302
111.000,44.003373720
112.000,43.503701669
113.000,45.131668013
114.000,47.710619977
115.000,49.806018232
116.000,49.806018232
117.000,50.289571941
118.000,49.644834814
119.000,51.417862777
120.000,48.516540521
121.000,47.372131343
122.000,25.408089090
123.000,25.597701695
124.000,26.606095297
125.000,27.761009223
126.000,28.235041600
127.000,26.890515069
128.000,28.355702753
129.000,28.915923149
130.000,28.510840496
131.000,27.666203785
132.000,27.528302609
133.000,29.734704146
134.000,28.846971697
135.000,29.148629764
136.000,29.217579488
137.000,29.045203450
138.000,28.010952405
139.000,27.330070856
140.000,24.822014708
141.000,26.554383868
142.000,26.373390411
143.000,25.511513676
144.000,24.951295008
145.000,26.226870087
146.000,27.062889379
147.000,26.459576702
148.000,24.649638669
149.000,25.287426209
150.000,23.675719929
151.000,23.934282258
152.000,22.503569436
153.000,10.974178860
154.000,10.196158637
155.000,9.549173826
156.000,10.028270189
157.000,10.134735760
158.000,9.856286480
159.000,10.482797575
160.000,10.400900983
161.000,10.556504509
162.000,9.581932463
163.000,9.815338184
164.000,9.868571401
165.000,10.032364587
166.000,9.938183937
167.000,10.576979089
168.000,10.003701212
169.000,10.110166782
170.000,10.052839167
171.000,9.938183937
172.000,9.581932463
173.000,9.487750949
174.000,9.549173826
175.000,8.762963943
176.000,7.956279479
177.000,7.874382887
178.000,7.677830200
179.000,7.735157815
180.000,7.337958044
181.000,7.120931641
182.000,7.137310959
183.000,5.396573690
184.000,5.030704097
185.000,4.736702069
186.000,4.344698934
187.000,4.116030546
188.000,4.050696906
189.000,3.920029194
190.000,3.920029194
191.000,3.857962085
192.000,3.593360131
193.000,3.495359455
194.000,3.528026275
195.000,3.103356536
196.000,2.956355306
197.000,2.855087883
198.000,2.763620701
199.000,2.597019422
200.000,2.515352048
201.000,2.646019760
202.000,2.450018192
203.000,2.407551348
204.000,2.397751324
205.000,2.401017855
206.000,2.289950407
207.000,2.159282696
208.000,2.466351710
209.000,2.352017517
210.000,2.093949056
211.000,2.041681971
212.000,2.172349467
