$//EF TRINITY/TEMP-WATER//1HOUR/sactrn_bc_script/
      JDAY,TEMP-WATER(C)
61.000,2.51
61.042,3.13
61.083,3.13
61.125,3.13
61.167,3.13
61.208,3.13
61.250,3.13
61.292,3.13
61.333,3.13
61.375,3.13
61.417,3.13
61.458,3.13
61.500,3.13
61.542,3.13
61.583,3.13
61.625,3.13
61.667,3.13
61.708,3.13
61.750,3.13
61.792,3.13
61.833,3.13
61.875,3.13
61.917,3.13
61.958,3.13
62.000,3.13
62.042,3.99
62.083,3.99
62.125,3.99
62.167,3.99
62.208,3.99
62.250,3.99
62.292,3.99
62.333,3.99
62.375,3.99
62.417,3.99
62.458,3.99
62.500,3.99
62.542,3.99
62.583,3.99
62.625,3.99
62.667,3.99
62.708,3.99
62.750,3.99
62.792,3.99
62.833,3.99
62.875,3.99
62.917,3.99
62.958,3.99
63.000,3.99
63.042,4.63
63.083,4.63
63.125,4.63
63.167,4.63
63.208,4.63
63.250,4.63
63.292,4.63
63.333,4.63
63.375,4.63
63.417,4.63
63.458,4.63
63.500,4.63
63.542,4.63
63.583,4.63
63.625,4.63
63.667,4.63
63.708,4.63
63.750,4.63
63.792,4.63
63.833,4.63
63.875,4.63
63.917,4.63
63.958,4.63
64.000,4.63
64.042,4.94
64.083,4.94
64.125,4.94
64.167,4.94
64.208,4.94
64.250,4.94
64.292,4.94
64.333,4.94
64.375,4.94
64.417,4.94
64.458,4.94
64.500,4.94
64.542,4.94
64.583,4.94
64.625,4.94
64.667,4.94
64.708,4.94
64.750,4.94
64.792,4.94
64.833,4.94
64.875,4.94
64.917,4.94
64.958,4.94
65.000,4.94
65.042,5.72
65.083,5.72
65.125,5.72
65.167,5.72
65.208,5.72
65.250,5.72
65.292,5.72
65.333,5.72
65.375,5.72
65.417,5.72
65.458,5.72
65.500,5.72
65.542,5.72
65.583,5.72
65.625,5.72
65.667,5.72
65.708,5.72
65.750,5.72
65.792,5.72
65.833,5.72
65.875,5.72
65.917,5.72
65.958,5.72
66.000,5.72
66.042,6.40
66.083,6.40
66.125,6.40
66.167,6.40
66.208,6.40
66.250,6.40
66.292,6.40
66.333,6.40
66.375,6.40
66.417,6.40
66.458,6.40
66.500,6.40
66.542,6.40
66.583,6.40
66.625,6.40
66.667,6.40
66.708,6.40
66.750,6.40
66.792,6.40
66.833,6.40
66.875,6.40
66.917,6.40
66.958,6.40
67.000,6.40
67.042,7.16
67.083,7.16
67.125,7.16
67.167,7.16
67.208,7.16
67.250,7.16
67.292,7.16
67.333,7.16
67.375,7.16
67.417,7.16
67.458,7.16
67.500,7.16
67.542,7.16
67.583,7.16
67.625,7.16
67.667,7.16
67.708,7.16
67.750,7.16
67.792,7.16
67.833,7.16
67.875,7.16
67.917,7.16
67.958,7.16
68.000,7.16
68.042,7.69
68.083,7.69
68.125,7.69
68.167,7.69
68.208,7.69
68.250,7.69
68.292,7.69
68.333,7.69
68.375,7.69
68.417,7.69
68.458,7.69
68.500,7.69
68.542,7.69
68.583,7.69
68.625,7.69
68.667,7.69
68.708,7.69
68.750,7.69
68.792,7.69
68.833,7.69
68.875,7.69
68.917,7.69
68.958,7.69
69.000,7.69
69.042,7.64
69.083,7.64
69.125,7.64
69.167,7.64
69.208,7.64
69.250,7.64
69.292,7.64
69.333,7.64
69.375,7.64
69.417,7.64
69.458,7.64
69.500,7.64
69.542,7.64
69.583,7.64
69.625,7.64
69.667,7.64
69.708,7.64
69.750,7.64
69.792,7.64
69.833,7.64
69.875,7.64
69.917,7.64
69.958,7.64
70.000,7.64
70.042,7.19
70.083,7.19
70.125,7.19
70.167,7.19
70.208,7.19
70.250,7.19
70.292,7.19
70.333,7.19
70.375,7.19
70.417,7.19
70.458,7.19
70.500,7.19
70.542,7.19
70.583,7.19
70.625,7.19
70.667,7.19
70.708,7.19
70.750,7.19
70.792,7.19
70.833,7.19
70.875,7.19
70.917,7.19
70.958,7.19
71.000,7.19
71.042,6.61
71.083,6.61
71.125,6.61
71.167,6.61
71.208,6.61
71.250,6.61
71.292,6.61
71.333,6.61
71.375,6.61
71.417,6.61
71.458,6.61
71.500,6.61
71.542,6.61
71.583,6.61
71.625,6.61
71.667,6.61
71.708,6.61
71.750,6.61
71.792,6.61
71.833,6.61
71.875,6.61
71.917,6.61
71.958,6.61
72.000,6.61
72.042,6.05
72.083,6.05
72.125,6.05
72.167,6.05
72.208,6.05
72.250,6.05
72.292,6.05
72.333,6.05
72.375,6.05
72.417,6.05
72.458,6.05
72.500,6.05
72.542,6.05
72.583,6.05
72.625,6.05
72.667,6.05
72.708,6.05
72.750,6.05
72.792,6.05
72.833,6.05
72.875,6.05
72.917,6.05
72.958,6.05
73.000,6.05
73.042,5.54
73.083,5.54
73.125,5.54
73.167,5.54
73.208,5.54
73.250,5.54
73.292,5.54
73.333,5.54
73.375,5.54
73.417,5.54
73.458,5.54
73.500,5.54
73.542,5.54
73.583,5.54
73.625,5.54
73.667,5.54
73.708,5.54
73.750,5.54
73.792,5.54
73.833,5.54
73.875,5.54
73.917,5.54
73.958,5.54
74.000,5.54
74.042,4.98
74.083,4.98
74.125,4.98
74.167,4.98
74.208,4.98
74.250,4.98
74.292,4.98
74.333,4.98
74.375,4.98
74.417,4.98
74.458,4.98
74.500,4.98
74.542,4.98
74.583,4.98
74.625,4.98
74.667,4.98
74.708,4.98
74.750,4.98
74.792,4.98
74.833,4.98
74.875,4.98
74.917,4.98
74.958,4.98
75.000,4.98
75.042,4.67
75.083,4.67
75.125,4.67
75.167,4.67
75.208,4.67
75.250,4.67
75.292,4.67
75.333,4.67
75.375,4.67
75.417,4.67
75.458,4.67
75.500,4.67
75.542,4.67
75.583,4.67
75.625,4.67
75.667,4.67
75.708,4.67
75.750,4.67
75.792,4.67
75.833,4.67
75.875,4.67
75.917,4.67
75.958,4.67
76.000,4.67
76.042,4.35
76.083,4.35
76.125,4.35
76.167,4.35
76.208,4.35
76.250,4.35
76.292,4.35
76.333,4.35
76.375,4.35
76.417,4.35
76.458,4.35
76.500,4.35
76.542,4.35
76.583,4.35
76.625,4.35
76.667,4.35
76.708,4.35
76.750,4.35
76.792,4.35
76.833,4.35
76.875,4.35
76.917,4.35
76.958,4.35
77.000,4.35
77.042,4.64
77.083,4.64
77.125,4.64
77.167,4.64
77.208,4.64
77.250,4.64
77.292,4.64
77.333,4.64
77.375,4.64
77.417,4.64
77.458,4.64
77.500,4.64
77.542,4.64
