$//EF TRINITY/FLOW-IN//1DAY/sactrn_bc_script/
      JDAY,FLOW-IN(cms)
61.000,7.051615512
62.000,7.737809062
63.000,7.709914791
64.000,7.252452712
65.000,7.364028934
66.000,7.866121502
67.000,7.977697724
68.000,8.926095180
69.000,9.316612390
70.000,10.750366197
71.000,10.153433624
72.000,10.543949970
73.000,10.822890957
74.000,11.386350231
75.000,11.603924512
76.000,11.715500734
77.000,12.150647569
78.000,12.111596107
79.000,11.966546586
80.000,11.938652314
81.000,12.496533425
82.000,13.556507968
83.000,12.680634408
84.000,11.882864635
85.000,12.552321968
86.000,12.329169524
87.000,12.273380981
88.000,12.122753297
89.000,13.277566980
90.000,13.110203079
91.000,13.110203079
92.000,13.532575877
93.000,13.532575877
94.000,14.220673175
95.000,14.736746149
96.000,13.050908633
97.000,13.761941643
98.000,13.761941643
99.000,14.679403843
100.000,14.105990292
101.000,13.761941643
102.000,13.870890814
103.000,14.679403843
104.000,16.284964206
105.000,18.676102749
106.000,18.228838641
107.000,17.775841685
108.000,16.801038044
109.000,17.735703108
110.000,15.596866908
111.000,15.654209213
112.000,15.476451177
113.000,16.055598440
114.000,16.973061504
115.000,17.718499379
116.000,17.718499379
117.000,17.890524568
118.000,17.661158802
119.000,18.291913795
120.000,17.259769576
121.000,16.852644045
122.000,9.039020359
123.000,9.106475947
124.000,9.465216207
125.000,9.876080966
126.000,10.044719505
127.000,9.566399158
128.000,10.087645003
129.000,10.286944860
130.000,10.142836411
131.000,9.842352739
132.000,9.793294286
133.000,10.578229531
134.000,10.262415633
135.000,10.369731539
136.000,10.394260765
137.000,10.332937267
138.000,9.964998871
139.000,9.722772652
140.000,8.830522366
141.000,9.446819072
142.000,9.382430392
143.000,9.075814630
144.000,8.876514774
145.000,9.330305030
146.000,9.627722656
147.000,9.413091709
148.000,8.769198868
149.000,8.996094861
150.000,8.422723654
151.000,8.514708469
152.000,8.005726805
153.000,3.904045230
154.000,3.627265942
155.000,3.397102123
156.000,3.567539847
157.000,3.605414969
158.000,3.506356991
159.000,3.729237441
160.000,3.700102665
161.000,3.755458263
162.000,3.408755990
163.000,3.491789820
164.000,3.510727272
165.000,3.568996607
166.000,3.535491767
167.000,3.762742281
168.000,3.558799501
169.000,3.596674623
170.000,3.576280193
171.000,3.535491767
172.000,3.408755990
173.000,3.375251149
174.000,3.397102123
175.000,3.117409315
176.000,2.830432705
177.000,2.801298146
178.000,2.731374944
179.000,2.751769157
180.000,2.610465992
181.000,2.533259205
182.000,2.539086246
183.000,1.919865866
184.000,1.789705525
185.000,1.685112377
186.000,1.545654846
187.000,1.464304511
188.000,1.441061589
189.000,1.394575745
190.000,1.394575745
191.000,1.372495013
192.000,1.278361136
193.000,1.243496753
194.000,1.255118214
195.000,1.104039114
196.000,1.051742539
197.000,1.015715967
198.000,0.983175963
199.000,0.923906469
200.000,0.894852763
201.000,0.941338660
202.000,0.871609841
203.000,0.856501974
204.000,0.853015514
205.000,0.854177649
206.000,0.814664671
207.000,0.768178828
208.000,0.877420571
209.000,0.836745458
210.000,0.744935906
211.000,0.726341525
212.000,0.772827423
213.000,0.758881637
214.000,1.122899980
215.000,1.029756216
216.000,0.974559840
217.000,0.896940091
218.000,0.855542863
219.000,0.884865863
220.000,0.736525777
221.000,0.872791690
222.000,0.789997233
223.000,0.781372793
224.000,0.767573698
225.000,0.643382013
226.000,0.638207360
227.000,0.615783879
228.000,0.501941447
229.000,0.610609226
230.000,0.551963116
231.000,0.476068180
232.000,0.612334092
233.000,0.489867274
234.000,0.581286171
235.000,0.570936864
236.000,0.469168660
237.000,0.474343313
238.000,0.501941447
239.000,0.463994006
240.000,0.462269140
241.000,0.427771431
242.000,0.417422124
243.000,0.396723483
244.000,0.469168660
245.000,0.527501835
246.000,0.509153956
247.000,0.587132494
248.000,0.458697236
249.000,0.541262744
250.000,0.460990721
251.000,0.573371585
252.000,0.598599918
253.000,0.538969259
254.000,0.520621380
255.000,0.509153956
256.000,0.493099562
257.000,0.472458145
258.000,0.463284205
259.000,0.481632138
260.000,0.488512592
261.000,0.456403751
262.000,0.548143198
263.000,0.502273501
264.000,0.509153956
265.000,0.463284205
266.000,0.419707994
267.000,0.415121024
268.000,0.410534054
269.000,0.408240542
270.000,0.408240542
271.000,0.389892664
272.000,0.403653573
273.000,0.401360088
274.000,0.385305694
275.000,1.216191083
276.000,1.187742236
277.000,1.258864462
278.000,1.194854394
279.000,1.201966660
280.000,1.365547910
281.000,1.322874531
282.000,1.244640039
283.000,1.237527773
284.000,1.322874531
285.000,1.308650107
286.000,1.308650107
287.000,1.237527773
288.000,1.216191083
289.000,1.116619902
290.000,1.123732168
291.000,1.123732168
292.000,1.209078926
293.000,1.308650107
294.000,1.436670244
295.000,1.393996865
296.000,1.408221289
297.000,1.422445820
298.000,1.436670244
299.000,1.436670244
300.000,1.393996865
301.000,1.322874531
302.000,1.322874531
