$//STUART FORK/TEMP-WATER//1HOUR/sactrn_bc_script/
      JDAY,TEMP-WATER(C)
61.000,1.58
61.042,2.14
61.083,2.14
61.125,2.14
61.167,2.14
61.208,2.14
61.250,2.14
61.292,2.14
61.333,2.14
61.375,2.14
61.417,2.14
61.458,2.14
61.500,2.14
61.542,2.14
61.583,2.14
61.625,2.14
61.667,2.14
61.708,2.14
61.750,2.14
61.792,2.14
61.833,2.14
61.875,2.14
61.917,2.14
61.958,2.14
62.000,2.14
62.042,2.94
62.083,2.94
62.125,2.94
62.167,2.94
62.208,2.94
62.250,2.94
62.292,2.94
62.333,2.94
62.375,2.94
62.417,2.94
62.458,2.94
62.500,2.94
62.542,2.94
62.583,2.94
62.625,2.94
62.667,2.94
62.708,2.94
62.750,2.94
62.792,2.94
62.833,2.94
62.875,2.94
62.917,2.94
62.958,2.94
63.000,2.94
63.042,3.52
63.083,3.52
63.125,3.52
63.167,3.52
63.208,3.52
63.250,3.52
63.292,3.52
63.333,3.52
63.375,3.52
63.417,3.52
63.458,3.52
63.500,3.52
63.542,3.52
63.583,3.52
63.625,3.52
63.667,3.52
63.708,3.52
63.750,3.52
63.792,3.52
63.833,3.52
63.875,3.52
63.917,3.52
63.958,3.52
64.000,3.52
64.042,3.80
64.083,3.80
64.125,3.80
64.167,3.80
64.208,3.80
64.250,3.80
64.292,3.80
64.333,3.80
64.375,3.80
64.417,3.80
64.458,3.80
64.500,3.80
64.542,3.80
64.583,3.80
64.625,3.80
64.667,3.80
64.708,3.80
64.750,3.80
64.792,3.80
64.833,3.80
64.875,3.80
64.917,3.80
64.958,3.80
65.000,3.80
65.042,4.52
65.083,4.52
65.125,4.52
65.167,4.52
65.208,4.52
65.250,4.52
65.292,4.52
65.333,4.52
65.375,4.52
65.417,4.52
65.458,4.52
65.500,4.52
65.542,4.52
65.583,4.52
65.625,4.52
65.667,4.52
65.708,4.52
65.750,4.52
65.792,4.52
65.833,4.52
65.875,4.52
65.917,4.52
65.958,4.52
66.000,4.52
66.042,5.14
66.083,5.14
66.125,5.14
66.167,5.14
66.208,5.14
66.250,5.14
66.292,5.14
66.333,5.14
66.375,5.14
66.417,5.14
66.458,5.14
66.500,5.14
66.542,5.14
66.583,5.14
66.625,5.14
66.667,5.14
66.708,5.14
66.750,5.14
66.792,5.14
66.833,5.14
66.875,5.14
66.917,5.14
66.958,5.14
67.000,5.14
67.042,5.84
67.083,5.84
67.125,5.84
67.167,5.84
67.208,5.84
67.250,5.84
67.292,5.84
67.333,5.84
67.375,5.84
67.417,5.84
67.458,5.84
67.500,5.84
67.542,5.84
67.583,5.84
67.625,5.84
67.667,5.84
67.708,5.84
67.750,5.84
67.792,5.84
67.833,5.84
67.875,5.84
67.917,5.84
67.958,5.84
68.000,5.84
68.042,6.32
68.083,6.32
68.125,6.32
68.167,6.32
68.208,6.32
68.250,6.32
68.292,6.32
68.333,6.32
68.375,6.32
68.417,6.32
68.458,6.32
68.500,6.32
68.542,6.32
68.583,6.32
68.625,6.32
68.667,6.32
68.708,6.32
68.750,6.32
68.792,6.32
68.833,6.32
68.875,6.32
68.917,6.32
68.958,6.32
69.000,6.32
69.042,6.28
69.083,6.28
69.125,6.28
69.167,6.28
69.208,6.28
69.250,6.28
69.292,6.28
69.333,6.28
69.375,6.28
69.417,6.28
69.458,6.28
69.500,6.28
69.542,6.28
69.583,6.28
69.625,6.28
69.667,6.28
69.708,6.28
69.750,6.28
69.792,6.28
69.833,6.28
69.875,6.28
69.917,6.28
69.958,6.28
70.000,6.28
70.042,5.87
70.083,5.87
70.125,5.87
70.167,5.87
70.208,5.87
70.250,5.87
70.292,5.87
70.333,5.87
70.375,5.87
70.417,5.87
70.458,5.87
70.500,5.87
70.542,5.87
70.583,5.87
70.625,5.87
70.667,5.87
70.708,5.87
70.750,5.87
70.792,5.87
70.833,5.87
70.875,5.87
70.917,5.87
70.958,5.87
71.000,5.87
71.042,5.34
71.083,5.34
71.125,5.34
71.167,5.34
71.208,5.34
71.250,5.34
71.292,5.34
71.333,5.34
71.375,5.34
71.417,5.34
71.458,5.34
71.500,5.34
71.542,5.34
71.583,5.34
71.625,5.34
71.667,5.34
71.708,5.34
71.750,5.34
71.792,5.34
71.833,5.34
71.875,5.34
71.917,5.34
71.958,5.34
72.000,5.34
72.042,4.83
72.083,4.83
72.125,4.83
72.167,4.83
72.208,4.83
72.250,4.83
72.292,4.83
72.333,4.83
72.375,4.83
72.417,4.83
72.458,4.83
72.500,4.83
72.542,4.83
72.583,4.83
72.625,4.83
72.667,4.83
72.708,4.83
72.750,4.83
72.792,4.83
72.833,4.83
72.875,4.83
72.917,4.83
72.958,4.83
73.000,4.83
73.042,4.36
73.083,4.36
73.125,4.36
73.167,4.36
73.208,4.36
73.250,4.36
73.292,4.36
73.333,4.36
73.375,4.36
73.417,4.36
73.458,4.36
73.500,4.36
73.542,4.36
73.583,4.36
73.625,4.36
73.667,4.36
73.708,4.36
73.750,4.36
73.792,4.36
73.833,4.36
73.875,4.36
73.917,4.36
73.958,4.36
74.000,4.36
74.042,3.85
74.083,3.85
74.125,3.85
74.167,3.85
74.208,3.85
74.250,3.85
74.292,3.85
74.333,3.85
74.375,3.85
74.417,3.85
74.458,3.85
74.500,3.85
74.542,3.85
74.583,3.85
74.625,3.85
74.667,3.85
74.708,3.85
74.750,3.85
74.792,3.85
74.833,3.85
74.875,3.85
74.917,3.85
74.958,3.85
75.000,3.85
75.042,3.57
75.083,3.57
75.125,3.57
75.167,3.57
75.208,3.57
75.250,3.57
75.292,3.57
75.333,3.57
75.375,3.57
75.417,3.57
75.458,3.57
75.500,3.57
75.542,3.57
75.583,3.57
75.625,3.57
75.667,3.57
75.708,3.57
75.750,3.57
75.792,3.57
75.833,3.57
75.875,3.57
75.917,3.57
75.958,3.57
76.000,3.57
76.042,3.28
76.083,3.28
76.125,3.28
76.167,3.28
76.208,3.28
76.250,3.28
76.292,3.28
76.333,3.28
76.375,3.28
76.417,3.28
76.458,3.28
76.500,3.28
76.542,3.28
76.583,3.28
76.625,3.28
76.667,3.28
76.708,3.28
76.750,3.28
76.792,3.28
76.833,3.28
76.875,3.28
76.917,3.28
76.958,3.28
77.000,3.28
77.042,3.54
77.083,3.54
77.125,3.54
77.167,3.54
77.208,3.54
77.250,3.54
77.292,3.54
77.333,3.54
77.375,3.54
77.417,3.54
77.458,3.54
77.500,3.54
77.542,3.54
77.583,3.54
