$//STUART FORK/FLOW-IN//1DAY/sactrn_bc_script/
      JDAY,FLOW-IN(cms)
61.000,4.209985217
62.000,4.619659161
63.000,4.603005903
64.000,4.329889797
65.000,4.396503260
66.000,4.696264924
67.000,4.762878820
68.000,5.329094769
69.000,5.562242970
70.000,6.418228716
71.000,6.061845456
72.000,6.294993225
73.000,6.461527531
74.000,6.797926622
75.000,6.927823502
76.000,6.994436965
77.000,7.254230292
78.000,7.230915645
79.000,7.144318013
80.000,7.127664324
81.000,7.460732936
82.000,8.093562780
83.000,7.570645647
84.000,7.094357808
85.000,7.494039451
86.000,7.360812525
87.000,7.327505145
88.000,7.237577035
89.000,7.927028474
90.000,7.827108063
91.000,7.827108063
92.000,8.079258313
93.000,8.079258313
94.000,8.490068629
95.000,8.798175934
96.000,7.791691265
97.000,8.216195085
98.000,8.216195085
99.000,8.763941309
100.000,8.421600243
101.000,8.216195085
102.000,8.281239663
103.000,8.763941309
104.000,9.722497849
105.000,11.150061666
106.000,10.883034875
107.000,10.612585139
108.000,10.030605154
109.000,10.588621074
110.000,9.311687533
111.000,9.345922158
112.000,9.239796203
113.000,9.585561077
114.000,10.133307301
115.000,10.578351378
116.000,10.578351378
117.000,10.681053525
118.000,10.544116753
119.000,10.920692444
120.000,10.304477834
121.000,10.061415971
122.000,5.396332589
123.000,5.436603815
124.000,5.650773299
125.000,5.896060810
126.000,5.996738659
127.000,5.711179922
128.000,6.022365802
129.000,6.141348753
130.000,6.055314987
131.000,5.875925413
132.000,5.846637249
133.000,6.315247012
134.000,6.126704671
135.000,6.190772314
136.000,6.205416397
137.000,6.168806623
138.000,5.949145824
139.000,5.804535729
140.000,5.271858323
141.000,5.639790238
142.000,5.601349306
143.000,5.418298712
144.000,5.299315761
145.000,5.570230848
146.000,5.747790127
147.000,5.619654409
148.000,5.235248118
149.000,5.370705445
150.000,5.028401106
151.000,5.083315982
152.000,4.779452142
153.000,2.330734729
154.000,2.165496233
155.000,2.028087197
156.000,2.129839414
157.000,2.152451066
158.000,2.093313033
159.000,2.226373608
160.000,2.208979980
161.000,2.242027679
162.000,2.035044562
163.000,2.084616111
164.000,2.095921937
165.000,2.130708977
166.000,2.110706445
167.000,2.246376140
168.000,2.124621391
169.000,2.147233043
170.000,2.135057438
171.000,2.110706445
172.000,2.035044562
173.000,2.015042030
174.000,2.028087197
175.000,1.861109144
176.000,1.689782738
177.000,1.672389218
178.000,1.630644705
179.000,1.642820201
180.000,1.558461504
181.000,1.512368638
182.000,1.515847320
183.000,1.146234287
184.000,1.068523585
185.000,1.006077325
186.000,0.922815789
187.000,0.874246506
188.000,0.860369583
189.000,0.832615738
190.000,0.832615738
191.000,0.819432683
192.000,0.763231124
193.000,0.742415686
194.000,0.749354148
195.000,0.659154151
196.000,0.627931021
197.000,0.606421823
198.000,0.586994120
199.000,0.551607946
200.000,0.534261793
201.000,0.562015638
202.000,0.520384816
203.000,0.511364859
204.000,0.509283310
205.000,0.509977124
206.000,0.486386377
207.000,0.458632532
208.000,0.523854047
209.000,0.499569432
210.000,0.444755582
211.000,0.433654022
212.000,0.461407895
213.000,0.453081752
214.000,0.670746122
215.000,0.615108159
216.000,0.582137532
217.000,0.535772617
218.000,0.511044633
219.000,0.528560270
220.000,0.439951735
221.000,0.521347978
222.000,0.471892011
223.000,0.466740366
224.000,0.458497722
225.000,0.384313826
226.000,0.381222828
227.000,0.367828512
228.000,0.299826585
229.000,0.364737514
230.000,0.329706213
231.000,0.284371622
232.000,0.365767838
233.000,0.292614265
234.000,0.347221877
235.000,0.341039882
236.000,0.280250300
237.000,0.283341298
238.000,0.299826585
239.000,0.277159302
240.000,0.276128952
241.000,0.255522317
242.000,0.249340321
243.000,0.236976356
244.000,0.280250300
245.000,0.315213900
246.000,0.304249931
247.000,0.350846765
248.000,0.274099036
249.000,0.323436856
250.000,0.275469542
251.000,0.342623809
252.000,0.357699242
253.000,0.322066377
254.000,0.311102408
255.000,0.304249931
256.000,0.294656468
257.000,0.282322020
258.000,0.276840022
259.000,0.287803991
260.000,0.291915482
261.000,0.272728530
262.000,0.327548348
263.000,0.300138439
264.000,0.304249931
265.000,0.276840022
266.000,0.250800619
267.000,0.248059633
268.000,0.245318648
269.000,0.243948142
270.000,0.243948142
271.000,0.232984173
272.000,0.241207156
273.000,0.239836650
274.000,0.230243187
275.000,0.726215789
276.000,0.709228263
277.000,0.751697052
278.000,0.713475185
279.000,0.717722053
280.000,0.815400181
281.000,0.789918918
282.000,0.743203316
283.000,0.738956394
284.000,0.789918918
285.000,0.781425182
286.000,0.781425182
287.000,0.738956394
288.000,0.726215789
289.000,0.666759529
290.000,0.671006397
291.000,0.671006397
292.000,0.721968921
293.000,0.781425182
294.000,0.857868916
295.000,0.832387707
296.000,0.840881443
297.000,0.849375179
298.000,0.857868916
299.000,0.857868916
300.000,0.832387707
301.000,0.789918918
302.000,0.789918918
303.000,0.789918918
304.000,0.802659577
305.000,0.849375179
306.000,1.583227835
307.000,1.616384418
308.000,1.757300006
309.000,1.616384418
310.000,1.632962710
311.000,1.616384418
312.000,1.533492852
313.000,1.574938689
314.000,1.566649543
315.000,1.492047122
316.000,1.525203706
317.000,1.566649543
318.000,1.533492852
319.000,1.591516981
320.000,1.541781997
321.000,1.815323919
322.000,1.873348049
323.000,1.972817799
324.000,1.981107053
325.000,2.320962142
326.000,2.254648975
327.000,2.113733387
328.000,2.105444349
329.000,1.914793886
330.000,2.022552890
331.000,2.088866057
332.000,2.238070683
333.000,2.122022641
334.000,2.072287766
335.000,2.171757516
