$Combined output for files: 1, 2, 3, 4, 5, 6

JDAY,TEMP-AIR,TEMP-DEWPOINT,SPEED-WIND,DIR-WIND-RADIANS,%-CLOUD COVER,IRRAD-SOLAR
61.000,-1.21,-1.45,0.00,3.82,6.00,0.00
61.042,-1.76,-2.63,0.00,4.07,5.92,0.00
61.083,-1.76,-2.88,0.00,4.26,5.83,0.00
61.125,-1.76,-2.50,0.00,3.70,5.75,0.00
61.167,-1.76,-2.50,0.00,2.65,5.67,0.00
61.208,-1.76,-2.63,0.00,2.64,5.58,0.00
61.250,-1.76,-2.63,0.00,2.55,5.50,0.00
61.292,-0.65,-2.05,0.00,2.90,5.42,16.04
61.333,0.46,-1.60,0.00,2.97,5.33,51.95
61.375,1.01,0.01,0.00,1.31,5.25,81.01
61.417,1.57,-0.35,0.00,2.22,5.17,121.92
61.458,1.57,-0.67,0.00,2.23,5.08,126.91
61.500,2.68,0.42,6.00,2.09,5.00,151.90
61.542,3.24,-0.22,7.00,2.51,4.92,272.89
61.583,2.12,-0.46,5.00,2.90,4.83,155.97
61.625,2.12,0.35,0.00,1.06,4.75,94.02
61.667,1.01,1.00,6.00,5.99,4.67,64.04
61.708,0.46,0.45,5.00,5.95,4.58,36.96
61.750,0.46,0.45,3.00,5.55,4.50,6.04
61.792,0.46,0.45,0.00,4.85,4.42,0.00
61.833,-0.10,-0.11,4.00,2.95,4.33,0.00
61.875,0.46,0.45,3.00,3.23,4.25,0.00
61.917,-0.10,-0.11,5.00,3.02,4.17,0.00
61.958,-0.10,-0.11,5.00,2.93,4.08,0.00
62.000,-0.65,-0.66,3.00,3.26,4.00,0.00
62.042,-0.10,-0.11,2.00,3.14,4.00,0.00
62.083,-0.10,-0.11,4.00,2.50,4.00,0.00
62.125,-0.65,-0.66,3.00,2.90,4.00,0.00
62.167,-0.65,-0.66,3.00,3.67,4.00,0.00
62.208,-0.65,-0.66,4.00,3.18,4.00,0.00
62.250,-0.65,-0.66,0.00,4.28,4.00,0.00
62.292,-0.65,-0.66,2.00,5.62,4.00,5.00
62.333,0.46,0.32,4.00,5.88,4.00,36.03
62.375,1.57,0.86,6.00,6.02,4.00,74.96
62.417,3.24,1.92,2.00,0.14,4.00,150.97
62.458,3.79,2.15,1.00,1.26,4.00,232.91
62.500,4.35,2.54,3.00,2.37,4.00,257.90
62.542,3.79,1.83,3.00,3.39,4.00,300.90
62.583,3.79,1.99,3.00,3.26,4.00,239.88
62.625,3.79,1.51,5.00,2.51,4.00,296.95
62.667,3.79,1.67,5.00,3.47,4.00,114.01
62.708,1.57,1.15,4.00,2.39,4.00,126.91
62.750,1.01,1.00,5.00,3.14,4.00,11.04
62.792,1.01,1.00,4.00,3.00,4.00,0.00
62.833,1.01,1.00,3.00,2.46,4.00,0.00
62.875,1.01,1.00,1.00,2.43,4.00,0.00
62.917,0.46,0.45,1.00,4.82,4.00,0.00
62.958,0.46,0.45,2.00,3.25,4.00,0.00
63.000,-0.10,-0.11,2.00,5.15,4.00,0.00
63.042,-0.10,-0.11,0.00,5.01,3.83,0.00
63.083,-0.65,-0.66,0.00,1.29,3.67,0.00
63.125,-0.10,-0.11,0.00,5.71,3.50,0.00
