$/TRINITY RIVER/TRINITY LAKE/FLOW-ACC-DEP//1DAY/sactrn_bc_script/
      JDAY,FLOW-ACC-DEP(cms)
61.000,-1.151331004
62.000,-1.151331004
63.000,-1.151331004
64.000,-1.151331004
65.000,-1.151331004
66.000,-1.151331004
67.000,-1.151331004
68.000,-1.151331004
69.000,-1.151331004
70.000,-1.151331004
71.000,-1.151331004
72.000,-1.151331004
73.000,-1.151331004
74.000,-1.151331004
75.000,-1.151331004
76.000,-1.151331004
77.000,-1.151331004
78.000,-1.151331004
79.000,-1.151331004
80.000,-1.151331004
81.000,-1.151331004
82.000,-1.151331004
83.000,-1.151331004
84.000,-1.151331004
85.000,-1.151331004
86.000,-1.151331004
87.000,-1.151331004
88.000,-1.151331004
89.000,-1.151331004
90.000,-1.151331004
91.000,-1.151331004
92.000,-2.427005786
93.000,-2.427005786
94.000,-2.427005786
95.000,-2.427005786
96.000,-2.427005786
97.000,-2.427005786
98.000,-2.427005786
99.000,-2.427005786
100.000,-2.427005786
101.000,-2.427005786
102.000,-2.427005786
103.000,-2.427005786
104.000,-2.427005786
105.000,-2.427005786
106.000,-2.427005786
107.000,-2.427005786
108.000,-2.427005786
109.000,-2.427005786
110.000,-2.427005786
111.000,-2.427005786
112.000,-2.427005786
113.000,-2.427005786
114.000,-2.427005786
115.000,-2.427005786
116.000,-2.427005786
117.000,-2.427005786
118.000,-2.427005786
119.000,-2.427005786
120.000,-2.427005786
121.000,-2.427005786
122.000,-3.177673567
123.000,-3.177673567
124.000,-3.177673567
125.000,-3.177673567
126.000,-3.177673567
127.000,-3.177673567
128.000,-3.177673567
129.000,-3.177673567
130.000,-3.177673567
131.000,-3.177673567
132.000,-3.177673567
133.000,-3.177673567
134.000,-3.177673567
135.000,-3.177673567
136.000,-3.177673567
137.000,-3.177673567
138.000,-3.177673567
139.000,-3.177673567
140.000,-3.177673567
141.000,-3.177673567
142.000,-3.177673567
143.000,-3.177673567
144.000,-3.177673567
145.000,-3.177673567
146.000,-3.177673567
147.000,-3.177673567
148.000,-3.177673567
149.000,-3.177673567
150.000,-3.177673567
151.000,-3.177673567
152.000,-3.177673567
153.000,-3.616714530
154.000,-3.616714530
155.000,-3.616714530
156.000,-3.616714530
157.000,-3.616714530
158.000,-3.616714530
159.000,-3.616714530
160.000,-3.616714530
161.000,-3.616714530
162.000,-3.616714530
163.000,-3.616714530
164.000,-3.616714530
165.000,-3.616714530
166.000,-3.616714530
167.000,-3.616714530
168.000,-3.616714530
169.000,-3.616714530
170.000,-3.616714530
171.000,-3.616714530
172.000,-3.616714530
173.000,-3.616714530
174.000,-3.616714530
175.000,-3.616714530
176.000,-3.616714530
177.000,-3.616714530
178.000,-3.616714530
179.000,-3.616714530
180.000,-3.616714530
181.000,-3.616714530
182.000,-3.616714530
183.000,-4.421111125
184.000,-4.421111125
185.000,-4.421111125
186.000,-4.421111125
187.000,-4.421111125
188.000,-4.421111125
189.000,-4.421111125
190.000,-4.421111125
191.000,-4.421111125
192.000,-4.421111125
193.000,-4.421111125
194.000,-4.421111125
195.000,-4.421111125
196.000,-4.421111125
197.000,-4.421111125
198.000,-4.421111125
199.000,-4.421111125
200.000,-4.421111125
201.000,-4.421111125
202.000,-4.421111125
203.000,-4.421111125
204.000,-4.421111125
205.000,-4.421111125
206.000,-4.421111125
207.000,-4.421111125
208.000,-4.421111125
209.000,-4.421111125
210.000,-4.421111125
211.000,-4.421111125
212.000,-4.421111125
213.000,-4.421111125
214.000,-3.960578680
215.000,-3.960578680
216.000,-3.960578680
217.000,-3.960578680
218.000,-3.960578680
219.000,-3.960578680
220.000,-3.960578680
221.000,-3.960578680
222.000,-3.960578680
223.000,-3.960578680
224.000,-3.960578680
225.000,-3.960578680
226.000,-3.960578680
227.000,-3.960578680
228.000,-3.960578680
229.000,-3.960578680
230.000,-3.960578680
231.000,-3.960578680
232.000,-3.960578680
233.000,-3.960578680
234.000,-3.960578680
235.000,-3.960578680
236.000,-3.960578680
237.000,-3.960578680
238.000,-3.960578680
239.000,-3.960578680
240.000,-3.960578680
241.000,-3.960578680
242.000,-3.960578680
243.000,-3.960578680
244.000,-3.960578680
245.000,-3.188419416
246.000,-3.188419416
247.000,-3.188419416
248.000,-3.188419416
249.000,-3.188419416
250.000,-3.188419416
251.000,-3.188419416
252.000,-3.188419416
253.000,-3.188419416
254.000,-3.188419416
255.000,-3.188419416
256.000,-3.188419416
257.000,-3.188419416
258.000,-3.188419416
259.000,-3.188419416
260.000,-3.188419416
261.000,-3.188419416
262.000,-3.188419416
263.000,-3.188419416
264.000,-3.188419416
265.000,-3.188419416
266.000,-3.188419416
267.000,-3.188419416
268.000,-3.188419416
269.000,-3.188419416
270.000,-3.188419416
271.000,-3.188419416
272.000,-3.188419416
273.000,-3.188419416
274.000,-3.188419416
275.000,-1.473703672
276.000,-1.473703672
277.000,-1.473703672
278.000,-1.473703672
279.000,-1.473703672
280.000,-1.473703672
281.000,-1.473703672
282.000,-1.473703672
283.000,-1.473703672
284.000,-1.473703672
285.000,-1.473703672
286.000,-1.473703672
287.000,-1.473703672
288.000,-1.473703672
289.000,-1.473703672
290.000,-1.473703672
291.000,-1.473703672
292.000,-1.473703672
293.000,-1.473703672
294.000,-1.473703672
295.000,-1.473703672
296.000,-1.473703672
297.000,-1.473703672
298.000,-1.473703672
299.000,-1.473703672
300.000,-1.473703672
301.000,-1.473703672
302.000,-1.473703672
303.000,-1.473703672
304.000,-1.473703672
305.000,-1.473703672
306.000,-0.713825225
307.000,-0.713825225
308.000,-0.713825225
309.000,-0.713825225
310.000,-0.713825225
311.000,-0.713825225
312.000,-0.713825225
313.000,-0.713825225
314.000,-0.713825225
315.000,-0.713825225
316.000,-0.713825225
317.000,-0.713825225
318.000,-0.713825225
319.000,-0.713825225
320.000,-0.713825225
321.000,-0.713825225
322.000,-0.713825225
323.000,-0.713825225
324.000,-0.713825225
325.000,-0.713825225
326.000,-0.713825225
327.000,-0.713825225
328.000,-0.713825225
329.000,-0.713825225
330.000,-0.713825225
331.000,-0.713825225
332.000,-0.713825225
333.000,-0.713825225
334.000,-0.713825225
335.000,-0.713825225
