$Flow file for segment 52
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    61.042,   24.408,            0.000,
    61.068,   24.408,            0.000,
    61.108,   24.408,            0.000,
    61.150,   24.408,            0.000,
    61.202,   24.408,            0.000,
    61.234,   24.408,            0.000,
    61.272,   24.408,            0.000,
    61.314,   24.408,            0.000,
    61.361,   24.408,            0.000,
    61.398,   24.408,            0.000,
    61.439,   24.408,            0.000,
    61.481,   24.408,            0.000,
    61.524,   24.408,            0.000,
    61.565,   24.408,            0.000,
    61.607,   24.408,            0.000,
    61.646,   24.408,            0.000,
    61.692,   24.408,            0.000,
    61.737,   24.408,            0.000,
    61.772,   24.408,            0.000,
    61.816,   24.408,            0.000,
    61.858,   24.408,            0.000,
    61.901,   24.408,            0.000,
    61.943,   24.408,            0.000,
    61.983,   24.408,            0.000,
    62.022,   24.408,            0.000,
    62.064,   24.408,            0.000,
    62.107,   24.408,            0.000,
    62.148,   24.408,            0.000,
    62.192,   24.408,            0.000,
    62.235,   24.408,            0.000,
    62.276,   24.408,            0.000,
    62.320,   24.408,            0.000,
    62.358,   24.408,            0.000,
    62.403,   24.408,            0.000,
    62.445,   24.408,            0.000,
    62.484,   24.408,            0.000,
    62.527,   24.408,            0.000,
    62.567,   24.408,            0.000,
    62.610,   24.408,            0.000,
    62.651,   24.408,            0.000,
    62.694,   24.408,            0.000,
    62.736,   24.408,            0.000,
    62.775,   24.408,            0.000,
    62.813,   24.408,            0.000,
    62.866,   24.408,            0.000,
    62.898,   24.408,            0.000,
    62.948,   24.408,            0.000,
    62.983,   24.408,            0.000,
    63.028,   24.408,            0.000,
    63.064,   24.408,            0.000,
    63.111,   24.408,            0.000,
    63.151,   24.408,            0.000,
    63.192,   24.408,            0.000,
    63.237,   24.408,            0.000,
    63.274,   24.408,            0.000,
    63.320,   24.408,            0.000,
    63.359,   24.408,            0.000,
    63.402,   24.408,            0.000,
    63.439,   24.408,            0.000,
    63.479,   24.408,            0.000,
    63.522,   24.408,            0.000,
    63.563,   24.408,            0.000,
    63.607,   24.408,            0.000,
    63.646,   24.408,            0.000,
    63.693,   24.408,            0.000,
    63.732,   24.408,            0.000,
    63.772,   24.408,            0.000,
    63.816,   24.408,            0.000,
    63.862,   24.408,            0.000,
    63.901,   24.408,            0.000,
    63.938,   24.408,            0.000,
    63.980,   24.408,            0.000,
    64.025,   24.408,            0.000,
    64.066,   24.408,            0.000,
    64.111,   24.408,            0.000,
    64.157,   24.408,            0.000,
    64.194,   24.408,            0.000,
    64.238,   24.408,            0.000,
    64.279,   24.408,            0.000,
    64.320,   24.408,            0.000,
    64.360,   24.408,            0.000,
    64.400,   24.408,            0.000,
    64.445,   24.408,            0.000,
    64.490,   24.408,            0.000,
    64.521,   24.408,            0.000,
    64.563,   24.408,            0.000,
    64.613,   24.408,            0.000,
    64.651,   24.408,            0.000,
    64.693,   24.408,            0.000,
    64.740,   24.408,            0.000,
    64.772,   24.408,            0.000,
    64.815,   24.408,            0.000,
    64.857,   24.408,            0.000,
    64.900,   24.408,            0.000,
    64.942,   24.408,            0.000,
    64.986,   24.408,            0.000,
    65.027,   24.408,            0.000,
    65.067,   24.408,            0.000,
    65.107,   24.408,            0.000,
    65.149,   24.408,            0.000,
    65.197,   24.408,            0.000,
    65.233,   24.408,            0.000,
    65.276,   24.408,            0.000,
    65.314,   24.408,            0.000,
    65.355,   24.408,            0.000,
    65.397,   24.408,            0.000,
    65.445,   24.408,            0.000,
    65.484,   24.408,            0.000,
    65.523,   24.408,            0.000,
    65.564,   24.408,            0.000,
    65.610,   24.408,            0.000,
    65.648,   24.408,            0.000,
    65.695,   24.408,            0.000,
    65.733,   24.408,            0.000,
    65.773,   24.408,            0.000,
    65.815,   24.408,            0.000,
    65.859,   24.408,            0.000,
    65.897,   24.408,            0.000,
    65.945,   24.408,            0.000,
    65.983,   24.408,            0.000,
    66.022,   24.408,            0.000,
    66.063,   24.408,            0.000,
    66.106,   24.408,            0.000,
    66.147,   24.408,            0.000,
    66.195,   24.408,            0.000,
    66.230,   24.408,            0.000,
    66.276,   24.408,            0.000,
    66.315,   24.408,            0.000,
    66.354,   24.408,            0.000,
    66.397,   24.408,            0.000,
    66.444,   24.408,            0.000,
    66.481,   24.408,            0.000,
    66.526,   24.408,            0.000,
    66.563,   24.408,            0.000,
    66.604,   24.408,            0.000,
    66.646,   24.408,            0.000,
    66.693,   24.408,            0.000,
    66.730,   24.408,            0.000,
    66.772,   24.408,            0.000,
    66.815,   24.408,            0.000,
    66.865,   24.408,            0.000,
    66.896,   24.408,            0.000,
    66.938,   24.408,            0.000,
    66.981,   24.408,            0.000,
    67.024,   24.408,            0.000,
    67.063,   24.408,            0.000,
    67.106,   24.408,            0.000,
    67.150,   24.408,            0.000,
    67.196,   24.408,            0.000,
    67.231,   24.408,            0.000,
    67.276,   24.408,            0.000,
    67.314,   24.408,            0.000,
    67.357,   24.408,            0.000,
    67.399,   24.408,            0.000,
    67.439,   24.408,            0.000,
    67.482,   24.408,            0.000,
    67.521,   24.408,            0.000,
    67.563,   24.408,            0.000,
    67.605,   24.408,            0.000,
    67.646,   24.408,            0.000,
    67.690,   24.408,            0.000,
    67.730,   24.408,            0.000,
    67.772,   24.408,            0.000,
    67.816,   24.408,            0.000,
    67.855,   24.408,            0.000,
    67.898,   24.408,            0.000,
    67.938,   24.408,            0.000,
    67.984,   24.408,            0.000,
    68.022,   24.408,            0.000,
    68.064,   24.408,            0.000,
    68.106,   24.408,            0.000,
    68.148,   24.408,            0.000,
    68.188,   24.408,            0.000,
    68.232,   24.408,            0.000,
    68.275,   24.408,            0.000,
    68.317,   24.408,            0.000,
    68.354,   24.408,            0.000,
    68.398,   24.408,            0.000,
    68.438,   24.408,            0.000,
    68.483,   24.408,            0.000,
    68.525,   24.408,            0.000,
    68.568,   24.408,            0.000,
    68.606,   24.408,            0.000,
    68.648,   24.408,            0.000,
    68.691,   24.408,            0.000,
    68.732,   24.408,            0.000,
    68.772,   24.408,            0.000,
    68.814,   24.408,            0.000,
    68.861,   24.408,            0.000,
    68.897,   24.408,            0.000,
    68.938,   24.408,            0.000,
    68.986,   24.408,            0.000,
    69.021,   24.408,            0.000,
    69.064,   24.408,            0.000,
    69.106,   24.408,            0.000,
    69.147,   24.408,            0.000,
    69.190,   24.408,            0.000,
    69.231,   24.408,            0.000,
    69.273,   24.408,            0.000,
    69.315,   24.408,            0.000,
    69.355,   24.408,            0.000,
    69.401,   24.408,            0.000,
    69.439,   24.408,            0.000,
    69.482,   24.408,            0.000,
    69.522,   24.408,            0.000,
    69.564,   24.408,            0.000,
    69.605,   24.408,            0.000,
    69.648,   24.408,            0.000,
    69.688,   24.408,            0.000,
