$STR WITHDRAWAL AT SEG52                                     ELEV OF WITHDRAWAL CENTERLINE:722.     

JDAY,QWD(m3s-1)
    61.042,    0.0000
    61.068,    0.0000
    61.108,    0.0000
    61.150,    0.0000
    61.202,    0.0000
    61.234,    0.0000
    61.272,    0.0000
    61.314,    0.0000
    61.361,    0.0000
    61.398,    0.0000
    61.439,    0.0000
    61.481,    0.0000
    61.524,    0.0000
    61.565,    0.0000
    61.607,    0.0000
    61.646,    0.0000
    61.692,    0.0000
    61.737,    0.0000
    61.772,    0.0000
    61.816,    0.0000
    61.858,    0.0000
    61.901,    0.0000
    61.943,    0.0000
    61.983,    0.0000
    62.022,    0.0000
    62.064,    0.0000
    62.107,    0.0000
    62.148,    0.0000
    62.192,    0.0000
    62.235,    0.0000
    62.276,    0.0000
    62.320,    0.0000
    62.358,    0.0000
    62.403,    0.0000
    62.445,    0.0000
    62.484,    0.0000
    62.527,    0.0000
    62.567,    0.0000
    62.610,    0.0000
    62.651,    0.0000
    62.694,    0.0000
    62.736,    0.0000
    62.775,    0.0000
    62.813,    0.0000
    62.866,    0.0000
    62.898,    0.0000
    62.948,    0.0000
    62.983,    0.0000
    63.028,    0.0000
    63.064,    0.0000
    63.111,    0.0000
    63.151,    0.0000
    63.192,    0.0000
    63.237,    0.0000
    63.274,    0.0000
    63.320,    0.0000
    63.359,    0.0000
    63.402,    0.0000
    63.439,    0.0000
    63.479,    0.0000
    63.522,    0.0000
    63.563,    0.0000
    63.607,    0.0000
    63.646,    0.0000
    63.693,    0.0000
    63.732,    0.0000
    63.772,    0.0000
    63.816,    0.0000
    63.862,    0.0000
    63.901,    0.0000
    63.938,    0.0000
    63.980,    0.0000
    64.025,    0.0000
    64.066,    0.0000
    64.111,    0.0000
    64.157,    0.0000
    64.194,    0.0000
    64.238,    0.0000
    64.279,    0.0000
    64.320,    0.0000
    64.360,    0.0000
    64.400,    0.0000
    64.445,    0.0000
    64.490,    0.0000
    64.521,    0.0000
    64.563,    0.0000
    64.613,    0.0000
    64.651,    0.0000
    64.693,    0.0000
    64.740,    0.0000
    64.772,    0.0000
    64.815,    0.0000
    64.857,    0.0000
    64.900,    0.0000
    64.942,    0.0000
    64.986,    0.0000
    65.027,    0.0000
    65.067,    0.0000
    65.107,    0.0000
    65.149,    0.0000
    65.197,    0.0000
    65.233,    0.0000
    65.276,    0.0000
    65.314,    0.0000
    65.355,    0.0000
    65.397,    0.0000
    65.445,    0.0000
    65.484,    0.0000
    65.523,    0.0000
    65.564,    0.0000
    65.610,    0.0000
    65.648,    0.0000
    65.695,    0.0000
    65.733,    0.0000
    65.773,    0.0000
    65.815,    0.0000
    65.859,    0.0000
    65.897,    0.0000
    65.945,    0.0000
    65.983,    0.0000
    66.022,    0.0000
    66.063,    0.0000
    66.106,    0.0000
    66.147,    0.0000
    66.195,    0.0000
    66.230,    0.0000
    66.276,    0.0000
    66.315,    0.0000
    66.354,    0.0000
    66.397,    0.0000
    66.444,    0.0000
    66.481,    0.0000
    66.526,    0.0000
    66.563,    0.0000
    66.604,    0.0000
    66.646,    0.0000
    66.693,    0.0000
    66.730,    0.0000
    66.772,    0.0000
    66.815,    0.0000
    66.865,    0.0000
    66.896,    0.0000
    66.938,    0.0000
    66.981,    0.0000
    67.024,    0.0000
    67.063,    0.0000
    67.106,    0.0000
    67.150,    0.0000
    67.196,    0.0000
    67.231,    0.0000
    67.276,    0.0000
    67.314,    0.0000
    67.357,    0.0000
    67.399,    0.0000
    67.439,    0.0000
    67.482,    0.0000
    67.521,    0.0000
    67.563,    0.0000
    67.605,    0.0000
    67.646,    0.0000
    67.690,    0.0000
    67.730,    0.0000
    67.772,    0.0000
    67.816,    0.0000
    67.855,    0.0000
    67.898,    0.0000
    67.938,    0.0000
    67.984,    0.0000
    68.022,    0.0000
    68.064,    0.0000
    68.106,    0.0000
    68.148,    0.0000
    68.188,    0.0000
    68.232,    0.0000
    68.275,    0.0000
    68.317,    0.0000
    68.354,    0.0000
    68.398,    0.0000
    68.438,    0.0000
    68.483,    0.0000
    68.525,    0.0000
    68.568,    0.0000
    68.606,    0.0000
    68.648,    0.0000
    68.691,    0.0000
    68.732,    0.0000
    68.772,    0.0000
    68.814,    0.0000
    68.861,    0.0000
    68.897,    0.0000
    68.938,    0.0000
    68.986,    0.0000
    69.021,    0.0000
    69.064,    0.0000
    69.106,    0.0000
    69.147,    0.0000
    69.190,    0.0000
    69.231,    0.0000
    69.273,    0.0000
    69.315,    0.0000
    69.355,    0.0000
    69.401,    0.0000
    69.439,    0.0000
    69.482,    0.0000
    69.522,    0.0000
    69.564,    0.0000
    69.605,    0.0000
    69.648,    0.0000
    69.688,    0.0000
    69.731,    0.0000
    69.776,    0.0000
    69.818,    0.0000
    69.859,    0.0000
    69.902,    0.0000
    69.944,    0.0000
    69.979,    0.0000
    70.025,    0.0000
    70.063,    0.0000
    70.104,    0.0000
    70.147,    0.0000
    70.190,    0.0000
    70.231,    0.0000
    70.274,    0.0000
    70.314,    0.0000
    70.356,    0.0000
    70.401,    0.0000
    70.444,    0.0000
    70.483,    0.0000
    70.525,    0.0000
    70.565,    0.0000
    70.608,    0.0000
    70.649,    0.0000
    70.690,    0.0000
    70.731,    0.0000
    70.772,    0.0000
    70.814,    0.0000
    70.854,    0.0000
    70.896,    0.0000
    70.938,    0.0000
    70.980,    0.0000
    71.022,    0.0000
    71.065,    0.0000
    71.107,    0.0000
    71.146,    0.0000
    71.193,    0.0000
    71.237,    0.0000
    71.279,    0.0000
    71.320,    0.0000
    71.360,    0.0000
    71.401,    0.0000
    71.443,    0.0000
    71.483,    0.0000
    71.525,    0.0000
    71.567,    0.0000
    71.607,    0.0000
    71.649,    0.0000
    71.691,    0.0000
    71.732,    0.0000
    71.775,    0.0000
    71.814,    0.0000
    71.855,    0.0000
    71.901,    0.0000
    71.943,    0.0000
    71.983,    0.0000
    72.025,    0.0000
    72.063,    0.0000
    72.104,    0.0000
    72.146,    0.0000
    72.188,    0.0000
    72.230,    0.0000
    72.272,    0.0000
    72.315,    0.0000
    72.354,    0.0000
    72.397,    0.0000
    72.442,    0.0000
    72.481,    0.0000
    72.524,    0.0000
    72.567,    0.0000
    72.608,    0.0000
    72.648,    0.0000
    72.690,    0.0000
    72.737,    0.0000
    72.774,    0.0000
    72.820,    0.0000
    72.857,    0.0000
    72.896,    0.0000
    72.941,    0.0000
    72.983,    0.0000
    73.026,    0.0000
    73.069,    0.0000
    73.105,    0.0000
    73.148,    0.0000
    73.191,    0.0000
    73.233,    0.0000
    73.275,    0.0000
    73.313,    0.0000
    73.358,    0.0000
    73.400,    0.0000
    73.438,    0.0000
    73.483,    0.0000
    73.523,    0.0000
    73.564,    0.0000
    73.604,    0.0000
    73.649,    0.0000
    73.694,    0.0000
    73.733,    0.0000
    73.777,    0.0000
    73.817,    0.0000
    73.857,    0.0000
    73.898,    0.0000
    73.940,    0.0000
    73.980,    0.0000
    74.027,    0.0000
    74.067,    0.0000
    74.107,    0.0000
    74.147,    0.0000
    74.189,    0.0000
    74.239,    0.0000
    74.271,    0.0000
    74.314,    0.0000
    74.355,    0.0000
    74.400,    0.0000
    74.443,    0.0000
    74.481,    0.0000
    74.525,    0.0000
    74.573,    0.0000
    74.605,    0.0000
    74.647,    0.0000
    74.689,    0.0000
    74.729,    0.0000
    74.773,    0.0000
    74.815,    0.0000
    74.863,    0.0000
    74.899,    0.0000
    74.945,    0.0000
    74.980,    0.0000
    75.025,    0.0000
    75.064,    0.0000
    75.106,    0.0000
    75.146,    0.0000
    75.189,    0.0000
    75.233,    0.0000
    75.278,    0.0000
    75.317,    0.0000
    75.357,    0.0000
    75.400,    0.0000
    75.439,    0.0000
    75.482,    0.0000
    75.525,    0.0000
    75.570,    0.0000
    75.609,    0.0000
    75.652,    0.0000
    75.695,    0.0000
    75.732,    0.0000
    75.776,    0.0000
    75.814,    0.0000
    75.861,    0.0000
    75.901,    0.0000
    75.947,    0.0000
    75.981,    0.0000
    76.024,    0.0000
    76.065,    0.0000
    76.107,    0.0000
    76.147,    0.0000
    76.189,    0.0000
    76.230,    0.0000
    76.271,    0.0000
    76.313,    0.0000
    76.356,    0.0000
    76.400,    0.0000
    76.440,    0.0000
