$WITHDRAWAL AT SEG52                                         ELEV OF WITHDRAWAL CENTERLINE:644.     

JDAY,QWD(m3s-1)
    61.042,   24.4082
    61.068,   24.4082
    61.108,   24.4082
    61.150,   24.4082
    61.202,   24.4082
    61.234,   24.4082
    61.272,   24.4082
    61.314,   24.4082
    61.361,   24.4082
    61.398,   24.4082
    61.439,   24.4082
    61.481,   24.4082
    61.524,   24.4082
    61.565,   24.4082
    61.607,   24.4082
    61.646,   24.4082
    61.692,   24.4082
    61.737,   24.4082
    61.772,   24.4082
    61.816,   24.4082
    61.858,   24.4082
    61.901,   24.4082
    61.943,   24.4082
    61.983,   24.4082
    62.022,   24.4082
    62.064,   24.4082
    62.107,   24.4082
    62.148,   24.4082
    62.192,   24.4082
    62.235,   24.4082
    62.276,   24.4082
    62.320,   24.4082
    62.358,   24.4082
    62.403,   24.4082
    62.445,   24.4082
    62.484,   24.4082
    62.527,   24.4082
    62.567,   24.4082
    62.610,   24.4082
    62.651,   24.4082
    62.694,   24.4082
    62.736,   24.4082
    62.775,   24.4082
    62.813,   24.4082
    62.866,   24.4082
    62.898,   24.4082
    62.948,   24.4082
    62.983,   24.4082
    63.028,   24.4082
    63.064,   24.4082
    63.111,   24.4082
    63.151,   24.4082
    63.192,   24.4082
    63.237,   24.4082
    63.274,   24.4082
    63.320,   24.4082
    63.359,   24.4082
    63.402,   24.4082
    63.439,   24.4082
    63.479,   24.4082
    63.522,   24.4082
    63.563,   24.4082
    63.607,   24.4082
    63.646,   24.4082
    63.693,   24.4082
    63.732,   24.4082
    63.772,   24.4082
    63.816,   24.4082
    63.862,   24.4082
    63.901,   24.4082
    63.938,   24.4082
    63.980,   24.4082
    64.025,   24.4082
    64.066,   24.4082
    64.111,   24.4082
    64.157,   24.4082
    64.194,   24.4082
    64.238,   24.4082
    64.279,   24.4082
    64.320,   24.4082
    64.360,   24.4082
    64.400,   24.4082
    64.445,   24.4082
    64.490,   24.4082
    64.521,   24.4082
    64.563,   24.4082
    64.613,   24.4082
    64.651,   24.4082
    64.693,   24.4082
    64.740,   24.4082
    64.772,   24.4082
    64.815,   24.4082
    64.857,   24.4082
    64.900,   24.4082
    64.942,   24.4082
    64.986,   24.4082
    65.027,   24.4082
    65.067,   24.4082
    65.107,   24.4082
    65.149,   24.4082
    65.197,   24.4082
    65.233,   24.4082
    65.276,   24.4082
    65.314,   24.4082
    65.355,   24.4082
    65.397,   24.4082
    65.445,   24.4082
    65.484,   24.4082
    65.523,   24.4082
    65.564,   24.4082
    65.610,   24.4082
    65.648,   24.4082
    65.695,   24.4082
    65.733,   24.4082
    65.773,   24.4082
    65.815,   24.4082
    65.859,   24.4082
    65.897,   24.4082
    65.945,   24.4082
    65.983,   24.4082
    66.022,   24.4082
    66.063,   24.4082
    66.106,   24.4082
    66.147,   24.4082
    66.195,   24.4082
    66.230,   24.4082
    66.276,   24.4082
    66.315,   24.4082
    66.354,   24.4082
    66.397,   24.4082
    66.444,   24.4082
    66.481,   24.4082
    66.526,   24.4082
    66.563,   24.4082
    66.604,   24.4082
    66.646,   24.4082
    66.693,   24.4082
    66.730,   24.4082
    66.772,   24.4082
    66.815,   24.4082
    66.865,   24.4082
    66.896,   24.4082
    66.938,   24.4082
    66.981,   24.4082
    67.024,   24.4082
    67.063,   24.4082
    67.106,   24.4082
    67.150,   24.4082
    67.196,   24.4082
    67.231,   24.4082
    67.276,   24.4082
    67.314,   24.4082
    67.357,   24.4082
    67.399,   24.4082
    67.439,   24.4082
    67.482,   24.4082
    67.521,   24.4082
    67.563,   24.4082
    67.605,   24.4082
    67.646,   24.4082
    67.690,   24.4082
    67.730,   24.4082
    67.772,   24.4082
    67.816,   24.4082
    67.855,   24.4082
    67.898,   24.4082
    67.938,   24.4082
    67.984,   24.4082
    68.022,   24.4082
    68.064,   24.4082
    68.106,   24.4082
    68.148,   24.4082
    68.188,   24.4082
    68.232,   24.4082
    68.275,   24.4082
    68.317,   24.4082
    68.354,   24.4082
    68.398,   24.4082
    68.438,   24.4082
    68.483,   24.4082
    68.525,   24.4082
    68.568,   24.4082
    68.606,   24.4082
    68.648,   24.4082
    68.691,   24.4082
    68.732,   24.4082
    68.772,   24.4082
    68.814,   24.4082
    68.861,   24.4082
    68.897,   24.4082
    68.938,   24.4082
    68.986,   24.4082
    69.021,   24.4082
    69.064,   24.4082
    69.106,   24.4082
    69.147,   24.4082
    69.190,   24.4082
    69.231,   24.4082
    69.273,   24.4082
    69.315,   24.4082
    69.355,   24.4082
    69.401,   24.4082
    69.439,   24.4082
    69.482,   24.4082
    69.522,   24.4082
    69.564,   24.4082
    69.605,   24.4082
    69.648,   24.4082
    69.688,   24.4082
