JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    61.000,  3600.000,   708.874,     7.400,     0.000,     0.000,     0.000,     0.450,   118.497,  1204.309,     1.000,     7.400,  -177.826,     0.000,   233.893,   341.344,    33.145,    37.230,     0.000,
    61.042,  2225.171,   708.874,     7.400,     0.000,     0.000,     0.000,     0.450,   118.497,  1204.309,     1.000,     7.398,  -184.015,     0.000,   231.772,   340.846,    35.795,    39.146,     0.000,
    61.108,  2388.566,   708.876,     7.400,     0.000,     0.000,     0.000,     0.450,   118.499,  1204.309,     1.000,     7.394,  -186.189,     0.000,   231.362,   341.221,    36.832,    39.498,     0.000,
    61.125,  2147.772,   708.876,     7.400,     0.000,     0.000,     0.000,     0.450,   118.499,  1204.309,     1.000,     7.393,  -185.765,     0.000,   231.155,   341.204,    36.233,    39.483,     0.000,
    61.167,  2235.703,   708.877,     7.400,     0.000,     0.000,     0.000,     0.450,   118.500,  1204.309,     1.000,     7.391,  -185.810,     0.000,   230.816,   341.239,    35.873,    39.514,     0.000,
    61.222,  1217.664,   708.878,     7.388,     0.000,     0.000,     0.000,     0.450,   118.501,  1204.309,     1.000,     7.388,  -186.812,     0.000,   230.301,   341.291,    36.262,    39.561,     0.000,
    61.261,   922.856,   708.879,     7.386,     0.000,     0.000,     0.004,     0.450,   118.502,  1204.309,     1.000,     7.386,  -187.104,     0.004,   229.973,   341.280,    36.251,    39.550,     0.000,
    61.292,   787.114,   708.880,     7.385,     0.000,     0.000,    12.249,     0.450,   118.503,  1204.309,     1.000,     7.385,  -168.187,    11.556,   232.472,   341.272,    35.077,    35.865,     0.000,
    61.339,   569.337,   708.881,     7.383,     0.000,     0.000,    51.771,     0.450,   118.504,  1204.309,     1.000,     7.383,  -119.138,    48.841,   236.695,   341.262,    33.478,    29.934,     0.000,
    61.383,   651.944,   708.882,     7.382,     0.000,     0.000,    80.730,     0.450,   118.505,  1204.309,     1.000,     7.382,   -83.097,    76.160,   238.330,   341.255,    28.781,    27.551,     0.000,
    61.417,   643.305,   708.883,     7.381,     0.000,     0.000,   117.202,     0.450,   118.506,  1204.309,     1.000,     7.381,   -45.952,   110.568,   239.869,   341.252,    29.756,    25.381,     0.000,
    61.466,   656.256,   708.884,     7.380,     0.000,     0.000,   126.460,     0.450,   118.507,  1204.309,     1.000,     7.380,   -38.192,   119.302,   239.693,   341.249,    30.815,    25.123,     0.000,
    61.508,   681.280,   708.884,     7.380,     0.000,     0.000,   151.386,     0.450,   118.507,  1204.309,     1.000,     7.380,   -17.325,   142.817,   243.584,   341.248,    35.927,    26.551,     0.000,
    61.542,   591.769,   708.885,     7.380,     0.000,     0.000,   265.545,     0.450,   118.508,  1204.309,     1.000,     7.380,    87.699,   250.514,   245.370,   341.264,    41.462,    25.458,     0.000,
    61.588,   491.984,   708.886,     7.380,     0.000,     0.000,   155.391,     0.450,   118.509,  1204.309,     1.000,     7.381,   -18.235,   146.596,   240.776,   341.297,    36.675,    27.636,     0.000,
    61.631,   599.445,   708.887,     7.380,     0.000,     0.000,    93.673,     0.450,   118.510,  1204.309,     1.000,     7.380,   -62.912,    88.371,   240.473,   341.263,    27.733,    22.760,     0.000,
    61.667,   661.594,   708.888,     7.380,     0.000,     0.000,    66.286,     0.450,   118.511,  1204.309,     1.000,     7.379,  -108.817,    62.534,   236.456,   341.233,    32.447,    34.127,     0.000,
    61.717,   848.751,   708.889,     7.380,     0.000,     0.000,    36.818,     0.450,   118.512,  1204.309,     1.000,     7.378,  -142.057,    34.734,   233.842,   341.206,    33.183,    36.244,     0.000,
    61.757,   630.124,   708.890,     7.380,     0.000,     0.000,     6.017,     0.450,   118.513,  1204.309,     1.000,     7.376,  -163.536,     5.676,   233.563,   341.186,    29.435,    32.155,     0.000,
    61.792,   340.665,   708.891,     7.380,     0.000,     0.000,     0.229,     0.450,   118.514,  1204.309,     1.000,     7.374,  -164.845,     0.216,   233.300,   341.172,    27.330,    29.858,     0.000,
    61.841,   730.246,   708.891,     7.380,     0.000,     0.000,     0.000,     0.450,   118.514,  1204.309,     1.000,     7.372,  -179.778,     0.000,   231.073,   341.167,    33.017,    36.667,     0.000,
    61.884,   755.295,   708.892,     7.380,     0.000,     0.000,     0.000,     0.450,   118.515,  1204.309,     1.000,     7.370,  -169.972,     0.000,   232.723,   341.157,    29.407,    32.130,     0.000,
    61.917,   738.783,   708.893,     7.379,     0.000,     0.000,     0.000,     0.450,   118.516,  1204.309,     1.000,     7.368,  -182.037,     0.000,   230.919,   341.150,    34.069,    37.736,     0.000,
    61.966,   724.770,   708.894,     7.379,     0.000,     0.000,     0.000,     0.450,   118.517,  1204.309,     1.000,     7.365,  -185.197,     0.000,   230.272,   341.142,    35.213,    39.113,     0.000,
    62.000,    32.441,   708.895,     7.378,     0.000,     0.000,     0.000,     0.450,   118.518,  1204.309,     1.000,     7.364,  -183.231,     0.000,   228.205,   341.137,    33.024,    37.275,     0.000,
