$Temperature file for segment 52
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    61.042,    7.40,          -99.00,
    61.068,    7.40,          -99.00,
    61.108,    7.40,          -99.00,
    61.150,    7.40,          -99.00,
    61.202,    7.40,          -99.00,
    61.234,    7.39,          -99.00,
    61.272,    7.39,          -99.00,
    61.314,    7.38,          -99.00,
    61.361,    7.38,          -99.00,
    61.398,    7.38,          -99.00,
    61.439,    7.38,          -99.00,
    61.481,    7.38,          -99.00,
    61.524,    7.38,          -99.00,
    61.565,    7.38,          -99.00,
    61.607,    7.38,          -99.00,
    61.646,    7.38,          -99.00,
    61.692,    7.38,          -99.00,
    61.737,    7.38,          -99.00,
    61.772,    7.38,          -99.00,
    61.816,    7.38,          -99.00,
    61.858,    7.38,          -99.00,
    61.901,    7.38,          -99.00,
    61.943,    7.38,          -99.00,
    61.983,    7.38,          -99.00,
    62.022,    7.36,          -99.00,
    62.064,    7.36,          -99.00,
    62.107,    7.36,          -99.00,
    62.148,    7.36,          -99.00,
    62.192,    7.35,          -99.00,
    62.235,    7.35,          -99.00,
    62.276,    7.35,          -99.00,
    62.320,    7.35,          -99.00,
    62.358,    7.35,          -99.00,
    62.403,    7.34,          -99.00,
    62.445,    7.34,          -99.00,
    62.484,    7.34,          -99.00,
    62.527,    7.34,          -99.00,
    62.567,    7.34,          -99.00,
    62.610,    7.34,          -99.00,
    62.651,    7.34,          -99.00,
    62.694,    7.34,          -99.00,
    62.736,    7.34,          -99.00,
    62.775,    7.34,          -99.00,
    62.813,    7.34,          -99.00,
    62.866,    7.34,          -99.00,
    62.898,    7.34,          -99.00,
    62.948,    7.34,          -99.00,
    62.983,    7.34,          -99.00,
    63.028,    7.34,          -99.00,
    63.064,    7.34,          -99.00,
    63.111,    7.34,          -99.00,
    63.151,    7.34,          -99.00,
    63.192,    7.34,          -99.00,
    63.237,    7.34,          -99.00,
    63.274,    7.32,          -99.00,
    63.320,    7.32,          -99.00,
    63.359,    7.32,          -99.00,
    63.402,    7.32,          -99.00,
    63.439,    7.32,          -99.00,
    63.479,    7.32,          -99.00,
    63.522,    7.32,          -99.00,
    63.563,    7.32,          -99.00,
    63.607,    7.32,          -99.00,
    63.646,    7.32,          -99.00,
    63.693,    7.32,          -99.00,
    63.732,    7.32,          -99.00,
    63.772,    7.32,          -99.00,
    63.816,    7.32,          -99.00,
    63.862,    7.32,          -99.00,
    63.901,    7.32,          -99.00,
    63.938,    7.31,          -99.00,
    63.980,    7.31,          -99.00,
    64.025,    7.31,          -99.00,
    64.066,    7.31,          -99.00,
    64.111,    7.31,          -99.00,
    64.157,    7.31,          -99.00,
    64.194,    7.29,          -99.00,
    64.238,    7.29,          -99.00,
    64.279,    7.29,          -99.00,
    64.320,    7.29,          -99.00,
    64.360,    7.29,          -99.00,
    64.400,    7.29,          -99.00,
    64.445,    7.29,          -99.00,
    64.490,    7.29,          -99.00,
    64.521,    7.29,          -99.00,
    64.563,    7.29,          -99.00,
    64.613,    7.29,          -99.00,
    64.651,    7.29,          -99.00,
    64.693,    7.29,          -99.00,
    64.740,    7.29,          -99.00,
    64.772,    7.29,          -99.00,
    64.815,    7.29,          -99.00,
    64.857,    7.29,          -99.00,
    64.900,    7.29,          -99.00,
    64.942,    7.29,          -99.00,
    64.986,    7.29,          -99.00,
    65.027,    7.29,          -99.00,
    65.067,    7.29,          -99.00,
    65.107,    7.29,          -99.00,
    65.149,    7.29,          -99.00,
    65.197,    7.29,          -99.00,
    65.233,    7.29,          -99.00,
    65.276,    7.29,          -99.00,
    65.314,    7.29,          -99.00,
    65.355,    7.29,          -99.00,
    65.397,    7.29,          -99.00,
    65.445,    7.29,          -99.00,
    65.484,    7.29,          -99.00,
    65.523,    7.29,          -99.00,
    65.564,    7.29,          -99.00,
    65.610,    7.29,          -99.00,
    65.648,    7.29,          -99.00,
    65.695,    7.29,          -99.00,
    65.733,    7.29,          -99.00,
    65.773,    7.29,          -99.00,
    65.815,    7.29,          -99.00,
    65.859,    7.29,          -99.00,
    65.897,    7.29,          -99.00,
    65.945,    7.29,          -99.00,
    65.983,    7.29,          -99.00,
    66.022,    7.29,          -99.00,
    66.063,    7.29,          -99.00,
    66.106,    7.29,          -99.00,
    66.147,    7.29,          -99.00,
    66.195,    7.29,          -99.00,
    66.230,    7.29,          -99.00,
    66.276,    7.29,          -99.00,
    66.315,    7.29,          -99.00,
    66.354,    7.29,          -99.00,
    66.397,    7.29,          -99.00,
    66.444,    7.29,          -99.00,
    66.481,    7.29,          -99.00,
    66.526,    7.29,          -99.00,
    66.563,    7.29,          -99.00,
    66.604,    7.29,          -99.00,
    66.646,    7.29,          -99.00,
    66.693,    7.29,          -99.00,
    66.730,    7.29,          -99.00,
    66.772,    7.29,          -99.00,
    66.815,    7.29,          -99.00,
    66.865,    7.29,          -99.00,
    66.896,    7.29,          -99.00,
    66.938,    7.29,          -99.00,
    66.981,    7.29,          -99.00,
    67.024,    7.29,          -99.00,
    67.063,    7.29,          -99.00,
    67.106,    7.29,          -99.00,
    67.150,    7.29,          -99.00,
    67.196,    7.29,          -99.00,
    67.231,    7.29,          -99.00,
    67.276,    7.29,          -99.00,
    67.314,    7.28,          -99.00,
    67.357,    7.28,          -99.00,
    67.399,    7.28,          -99.00,
    67.439,    7.28,          -99.00,
    67.482,    7.28,          -99.00,
    67.521,    7.27,          -99.00,
    67.563,    7.27,          -99.00,
    67.605,    7.27,          -99.00,
    67.646,    7.26,          -99.00,
    67.690,    7.26,          -99.00,
    67.730,    7.26,          -99.00,
    67.772,    7.25,          -99.00,
    67.816,    7.25,          -99.00,
    67.855,    7.25,          -99.00,
    67.898,    7.25,          -99.00,
    67.938,    7.24,          -99.00,
    67.984,    7.24,          -99.00,
    68.022,    7.24,          -99.00,
    68.064,    7.24,          -99.00,
    68.106,    7.24,          -99.00,
    68.148,    7.23,          -99.00,
    68.188,    7.23,          -99.00,
    68.232,    7.23,          -99.00,
    68.275,    7.23,          -99.00,
    68.317,    7.23,          -99.00,
    68.354,    7.23,          -99.00,
    68.398,    7.23,          -99.00,
    68.438,    7.23,          -99.00,
    68.483,    7.23,          -99.00,
    68.525,    7.22,          -99.00,
    68.568,    7.22,          -99.00,
    68.606,    7.22,          -99.00,
    68.648,    7.22,          -99.00,
    68.691,    7.22,          -99.00,
    68.732,    7.22,          -99.00,
    68.772,    7.22,          -99.00,
    68.814,    7.22,          -99.00,
    68.861,    7.22,          -99.00,
    68.897,    7.22,          -99.00,
    68.938,    7.22,          -99.00,
    68.986,    7.22,          -99.00,
    69.021,    7.22,          -99.00,
    69.064,    7.22,          -99.00,
    69.106,    7.22,          -99.00,
    69.147,    7.22,          -99.00,
    69.190,    7.22,          -99.00,
    69.231,    7.21,          -99.00,
    69.273,    7.21,          -99.00,
    69.315,    7.21,          -99.00,
    69.355,    7.21,          -99.00,
    69.401,    7.21,          -99.00,
    69.439,    7.22,          -99.00,
    69.482,    7.22,          -99.00,
    69.522,    7.22,          -99.00,
    69.564,    7.22,          -99.00,
    69.605,    7.22,          -99.00,
    69.648,    7.22,          -99.00,
    69.688,    7.22,          -99.00,
    69.731,    7.22,          -99.00,
    69.776,    7.22,          -99.00,
    69.818,    7.22,          -99.00,
    69.859,    7.22,          -99.00,
    69.902,    7.22,          -99.00,
    69.944,    7.22,          -99.00,
    69.979,    7.22,          -99.00,
    70.025,    7.22,          -99.00,
    70.063,    7.22,          -99.00,
    70.104,    7.22,          -99.00,
    70.147,    7.22,          -99.00,
    70.190,    7.22,          -99.00,
    70.231,    7.22,          -99.00,
    70.274,    7.22,          -99.00,
    70.314,    7.23,          -99.00,
    70.356,    7.23,          -99.00,
    70.401,    7.23,          -99.00,
    70.444,    7.23,          -99.00,
    70.483,    7.24,          -99.00,
    70.525,    7.24,          -99.00,
    70.565,    7.24,          -99.00,
    70.608,    7.24,          -99.00,
    70.649,    7.24,          -99.00,
    70.690,    7.24,          -99.00,
    70.731,    7.24,          -99.00,
    70.772,    7.24,          -99.00,
    70.814,    7.24,          -99.00,
    70.854,    7.24,          -99.00,
    70.896,    7.24,          -99.00,
    70.938,    7.24,          -99.00,
    70.980,    7.24,          -99.00,
    71.022,    7.24,          -99.00,
    71.065,    7.24,          -99.00,
    71.107,    7.24,          -99.00,
    71.146,    7.25,          -99.00,
    71.193,    7.25,          -99.00,
    71.237,    7.25,          -99.00,
    71.279,    7.25,          -99.00,
    71.320,    7.25,          -99.00,
    71.360,    7.25,          -99.00,
    71.401,    7.25,          -99.00,
    71.443,    7.25,          -99.00,
    71.483,    7.25,          -99.00,
    71.525,    7.25,          -99.00,
    71.567,    7.25,          -99.00,
    71.607,    7.25,          -99.00,
    71.649,    7.25,          -99.00,
    71.691,    7.25,          -99.00,
    71.732,    7.25,          -99.00,
    71.775,    7.25,          -99.00,
    71.814,    7.25,          -99.00,
    71.855,    7.25,          -99.00,
    71.901,    7.25,          -99.00,
    71.943,    7.25,          -99.00,
    71.983,    7.25,          -99.00,
    72.025,    7.25,          -99.00,
    72.063,    7.25,          -99.00,
    72.104,    7.25,          -99.00,
    72.146,    7.25,          -99.00,
    72.188,    7.25,          -99.00,
    72.230,    7.25,          -99.00,
    72.272,    7.25,          -99.00,
