$WITHDRAWAL AT SEG52                                         ELEV OF WITHDRAWAL CENTERLINE:644.     

JDAY,T(C)
    61.042,    7.40
    61.068,    7.40
    61.108,    7.40
    61.150,    7.40
    61.202,    7.40
    61.234,    7.39
    61.272,    7.39
    61.314,    7.38
    61.361,    7.38
    61.398,    7.38
    61.439,    7.38
    61.481,    7.38
    61.524,    7.38
    61.565,    7.38
    61.607,    7.38
    61.646,    7.38
    61.692,    7.38
    61.737,    7.38
    61.772,    7.38
    61.816,    7.38
    61.858,    7.38
    61.901,    7.38
    61.943,    7.38
    61.983,    7.38
    62.022,    7.36
    62.064,    7.36
    62.107,    7.36
    62.148,    7.36
    62.192,    7.35
    62.235,    7.35
    62.276,    7.35
    62.320,    7.35
    62.358,    7.35
    62.403,    7.34
    62.445,    7.34
    62.484,    7.34
    62.527,    7.34
    62.567,    7.34
    62.610,    7.34
    62.651,    7.34
    62.694,    7.34
    62.736,    7.34
    62.775,    7.34
    62.813,    7.34
    62.866,    7.34
    62.898,    7.34
    62.948,    7.34
    62.983,    7.34
    63.028,    7.34
    63.064,    7.34
    63.111,    7.34
    63.151,    7.34
    63.192,    7.34
    63.237,    7.34
    63.274,    7.32
    63.320,    7.32
    63.359,    7.32
    63.402,    7.32
    63.439,    7.32
    63.479,    7.32
    63.522,    7.32
    63.563,    7.32
    63.607,    7.32
    63.646,    7.32
    63.693,    7.32
    63.732,    7.32
    63.772,    7.32
    63.816,    7.32
    63.862,    7.32
    63.901,    7.32
    63.938,    7.31
    63.980,    7.31
    64.025,    7.31
    64.066,    7.31
    64.111,    7.31
    64.157,    7.31
    64.194,    7.29
    64.238,    7.29
    64.279,    7.29
    64.320,    7.29
    64.360,    7.29
    64.400,    7.29
    64.445,    7.29
    64.490,    7.29
    64.521,    7.29
    64.563,    7.29
    64.613,    7.29
    64.651,    7.29
    64.693,    7.29
    64.740,    7.29
    64.772,    7.29
    64.815,    7.29
    64.857,    7.29
    64.900,    7.29
    64.942,    7.29
    64.986,    7.29
    65.027,    7.29
    65.067,    7.29
    65.107,    7.29
    65.149,    7.29
    65.197,    7.29
    65.233,    7.29
    65.276,    7.29
    65.314,    7.29
    65.355,    7.29
    65.397,    7.29
    65.445,    7.29
    65.484,    7.29
    65.523,    7.29
    65.564,    7.29
    65.610,    7.29
    65.648,    7.29
    65.695,    7.29
    65.733,    7.29
    65.773,    7.29
    65.815,    7.29
    65.859,    7.29
    65.897,    7.29
    65.945,    7.29
    65.983,    7.29
    66.022,    7.29
    66.063,    7.29
    66.106,    7.29
    66.147,    7.29
    66.195,    7.29
    66.230,    7.29
    66.276,    7.29
    66.315,    7.29
    66.354,    7.29
    66.397,    7.29
    66.444,    7.29
    66.481,    7.29
    66.526,    7.29
    66.563,    7.29
    66.604,    7.29
    66.646,    7.29
    66.693,    7.29
    66.730,    7.29
    66.772,    7.29
    66.815,    7.29
    66.865,    7.29
    66.896,    7.29
    66.938,    7.29
    66.981,    7.29
    67.024,    7.29
    67.063,    7.29
    67.106,    7.29
    67.150,    7.29
    67.196,    7.29
    67.231,    7.29
    67.276,    7.29
    67.314,    7.28
    67.357,    7.28
    67.399,    7.28
    67.439,    7.28
    67.482,    7.28
    67.521,    7.27
    67.563,    7.27
    67.605,    7.27
    67.646,    7.26
    67.690,    7.26
    67.730,    7.26
    67.772,    7.25
    67.816,    7.25
    67.855,    7.25
    67.898,    7.25
    67.938,    7.24
    67.984,    7.24
    68.022,    7.24
    68.064,    7.24
    68.106,    7.24
    68.148,    7.23
    68.188,    7.23
    68.232,    7.23
    68.275,    7.23
    68.317,    7.23
    68.354,    7.23
    68.398,    7.23
    68.438,    7.23
    68.483,    7.23
    68.525,    7.22
    68.568,    7.22
    68.606,    7.22
    68.648,    7.22
    68.691,    7.22
    68.732,    7.22
    68.772,    7.22
    68.814,    7.22
    68.861,    7.22
    68.897,    7.22
    68.938,    7.22
    68.986,    7.22
    69.021,    7.22
    69.064,    7.22
    69.106,    7.22
    69.147,    7.22
    69.190,    7.22
    69.231,    7.21
    69.273,    7.21
    69.315,    7.21
    69.355,    7.21
    69.401,    7.21
    69.439,    7.22
    69.482,    7.22
    69.522,    7.22
    69.564,    7.22
    69.605,    7.22
    69.648,    7.22
    69.688,    7.22
    69.731,    7.22
    69.776,    7.22
    69.818,    7.22
    69.859,    7.22
    69.902,    7.22
    69.944,    7.22
    69.979,    7.22
    70.025,    7.22
    70.063,    7.22
    70.104,    7.22
    70.147,    7.22
    70.190,    7.22
    70.231,    7.22
    70.274,    7.22
    70.314,    7.23
    70.356,    7.23
    70.401,    7.23
    70.444,    7.23
    70.483,    7.24
    70.525,    7.24
    70.565,    7.24
    70.608,    7.24
    70.649,    7.24
    70.690,    7.24
    70.731,    7.24
    70.772,    7.24
    70.814,    7.24
    70.854,    7.24
    70.896,    7.24
    70.938,    7.24
    70.980,    7.24
    71.022,    7.24
    71.065,    7.24
    71.107,    7.24
    71.146,    7.25
    71.193,    7.25
    71.237,    7.25
    71.279,    7.25
    71.320,    7.25
    71.360,    7.25
    71.401,    7.25
    71.443,    7.25
    71.483,    7.25
    71.525,    7.25
    71.567,    7.25
    71.607,    7.25
    71.649,    7.25
    71.691,    7.25
    71.732,    7.25
    71.775,    7.25
    71.814,    7.25
    71.855,    7.25
    71.901,    7.25
    71.943,    7.25
    71.983,    7.25
    72.025,    7.25
    72.063,    7.25
    72.104,    7.25
    72.146,    7.25
    72.188,    7.25
    72.230,    7.25
    72.272,    7.25
    72.315,    7.25
    72.354,    7.25
    72.397,    7.24
    72.442,    7.24
    72.481,    7.24
    72.524,    7.24
    72.567,    7.24
    72.608,    7.23
    72.648,    7.23
    72.690,    7.23
    72.737,    7.23
    72.774,    7.22
    72.820,    7.22
    72.857,    7.22
    72.896,    7.21
    72.941,    7.21
    72.983,    7.21
    73.026,    7.21
    73.069,    7.20
    73.105,    7.20
    73.148,    7.20
    73.191,    7.20
    73.233,    7.20
    73.275,    7.20
    73.313,    7.20
    73.358,    7.19
    73.400,    7.19
    73.438,    7.19
    73.483,    7.19
    73.523,    7.19
    73.564,    7.19
    73.604,    7.19
    73.649,    7.19
    73.694,    7.18
    73.733,    7.18
    73.777,    7.18
    73.817,    7.18
    73.857,    7.18
    73.898,    7.18
    73.940,    7.18
    73.980,    7.17
    74.027,    7.17
    74.067,    7.17
    74.107,    7.17
    74.147,    7.17
    74.189,    7.17
    74.239,    7.16
    74.271,    7.16
    74.314,    7.16
    74.355,    7.16
    74.400,    7.15
    74.443,    7.15
    74.481,    7.15
    74.525,    7.15
    74.573,    7.15
    74.605,    7.15
    74.647,    7.15
    74.689,    7.15
    74.729,    7.15
    74.773,    7.15
    74.815,    7.15
    74.863,    7.15
    74.899,    7.14
    74.945,    7.15
    74.980,    7.16
    75.025,    7.15
    75.064,    7.15
    75.106,    7.15
    75.146,    7.15
    75.189,    7.15
    75.233,    7.15
    75.278,    7.15
    75.317,    7.15
    75.357,    7.15
    75.400,    7.15
    75.439,    7.15
    75.482,    7.16
    75.525,    7.16
    75.570,    7.16
    75.609,    7.16
    75.652,    7.16
    75.695,    7.16
    75.732,    7.16
    75.776,    7.17
    75.814,    7.17
    75.861,    7.17
    75.901,    7.17
    75.947,    7.17
    75.981,    7.17
    76.024,    7.17
    76.065,    7.17
    76.107,    7.17
    76.147,    7.17
    76.189,    7.17
    76.230,    7.17
    76.271,    7.17
    76.313,    7.16
    76.356,    7.16
    76.400,    7.16
    76.440,    7.16
    76.484,    7.16
    76.530,    7.16
    76.563,    7.16
    76.606,    7.16
    76.650,    7.16
    76.688,    7.16
    76.730,    7.15
    76.773,    7.15
    76.823,    7.15
    76.858,    7.15
    76.897,    7.15
    76.940,    7.15
    76.979,    7.15
    77.026,    7.15
    77.067,    7.15
    77.112,    7.15
    77.148,    7.15
    77.193,    7.15
    77.232,    7.15
    77.272,    7.15
    77.321,    7.15
    77.365,    7.15
    77.407,    7.14
    77.448,    7.14
    77.486,    7.14
    77.521,    7.13
    77.563,    7.13
    77.610,    7.13
    77.646,    7.12
    77.690,    7.12
    77.731,    7.12
    77.779,    7.11
    77.813,    7.11
    77.856,    7.11
    77.900,    7.11
    77.943,    7.10
    77.983,    7.10
    78.023,    7.10
    78.064,    7.10
    78.112,    7.10
    78.156,    7.10
    78.199,    7.09
    78.237,    7.09
    78.277,    7.09
    78.313,    7.09
    78.359,    7.09
    78.404,    7.09
    78.438,    7.09
    78.483,    7.09
    78.523,    7.09
    78.563,    7.08
    78.609,    7.08
    78.655,    7.08
    78.691,    7.08
    78.739,    7.08
    78.772,    7.07
    78.815,    7.07
    78.857,    7.07
    78.899,    7.07
    78.942,    7.07
    78.981,    7.07
    79.023,    7.07
    79.064,    7.07
    79.105,    7.07
    79.149,    7.07
    79.189,    7.07
    79.230,    7.07
    79.274,    7.07
    79.322,    7.07
    79.357,    7.07
    79.397,    7.07
    79.442,    7.07
    79.482,    7.07
    79.522,    7.07
    79.566,    7.07
    79.606,    7.07
    79.653,    7.07
    79.694,    7.07
    79.738,    7.08
    79.773,    7.08
    79.813,    7.08
    79.858,    7.08
    79.902,    7.08
