$/MR Sac.-Trinity Lake/Swift Creek-Inflow WTemp/Temp-Water/01Jan2015/1Day/231.9.50.1.1/
      JDAY,Temp-Water(C)
1.000,0.64
2.000,0.59
3.000,2.10
4.000,2.44
5.000,3.40
6.000,3.88
7.000,4.20
8.000,4.30
9.000,4.21
10.000,3.95
11.000,4.37
12.000,5.02
13.000,4.89
14.000,3.84
15.000,3.79
16.000,4.65
17.000,4.99
18.000,4.95
19.000,5.68
20.000,5.41
21.000,6.14
22.000,5.86
23.000,5.48
24.000,5.33
25.000,5.20
26.000,5.65
27.000,5.80
28.000,5.77
29.000,5.17
30.000,5.04
31.000,4.22
32.000,3.63
33.000,3.98
34.000,4.02
35.000,4.15
36.000,4.55
37.000,5.06
38.000,5.43
39.000,5.47
40.000,5.13
41.000,5.14
42.000,5.75
43.000,5.90
44.000,5.40
45.000,6.09
46.000,5.05
47.000,5.09
48.000,5.50
49.000,2.87
50.000,4.11
51.000,3.75
52.000,3.81
53.000,4.50
54.000,4.32
55.000,5.06
56.000,5.24
57.000,5.60
58.000,5.23
59.000,5.01
60.000,4.69
61.000,4.92
62.000,2.49
63.000,4.44
64.000,4.56
65.000,6.88
66.000,5.88
67.000,5.72
68.000,5.40
69.000,5.72
70.000,6.89
71.000,7.06
72.000,5.87
73.000,5.93
74.000,6.60
75.000,6.49
76.000,6.81
77.000,7.06
78.000,7.41
79.000,7.92
80.000,7.37
81.000,5.94
82.000,5.98
83.000,6.39
84.000,7.47
85.000,7.03
86.000,7.31
87.000,7.21
88.000,5.95
89.000,5.69
90.000,6.49
91.000,7.34
92.000,8.00
93.000,8.51
94.000,8.44
95.000,7.88
96.000,7.39
97.000,8.32
98.000,8.63
99.000,8.83
100.000,8.84
101.000,8.72
102.000,8.88
103.000,8.51
104.000,7.21
105.000,6.13
106.000,6.26
107.000,7.40
108.000,8.64
109.000,9.22
110.000,9.55
111.000,9.50
112.000,8.57
113.000,8.20
114.000,7.35
115.000,7.72
116.000,6.81
117.000,6.56
118.000,7.69
119.000,8.50
120.000,9.13
121.000,8.92
122.000,9.37
123.000,9.66
124.000,9.41
125.000,9.21
126.000,9.17
127.000,8.61
128.000,9.57
129.000,10.50
130.000,10.57
131.000,10.53
132.000,10.39
133.000,10.76
134.000,11.24
135.000,10.63
136.000,9.84
137.000,10.67
138.000,11.15
139.000,11.64
140.000,10.95
141.000,8.91
142.000,8.41
143.000,8.88
144.000,9.42
145.000,10.20
146.000,10.70
147.000,11.38
148.000,11.52
149.000,11.40
150.000,11.99
151.000,12.43
152.000,12.99
153.000,13.22
154.000,12.61
155.000,13.14
156.000,13.48
157.000,14.30
158.000,14.65
159.000,14.88
160.000,13.85
161.000,13.31
162.000,13.28
163.000,12.86
164.000,13.23
165.000,13.74
166.000,12.71
167.000,11.69
168.000,11.29
169.000,11.30
170.000,11.94
171.000,12.74
172.000,13.82
173.000,14.55
174.000,14.99
175.000,14.68
176.000,13.47
177.000,13.99
178.000,14.42
179.000,14.64
180.000,14.81
181.000,15.45
182.000,15.80
183.000,16.03
184.000,16.33
185.000,16.57
186.000,16.08
187.000,15.68
188.000,15.88
189.000,16.14
190.000,15.19
191.000,15.44
192.000,14.44
193.000,14.86
194.000,15.49
195.000,16.20
196.000,16.86
197.000,17.45
198.000,17.07
199.000,16.95
200.000,16.59
201.000,16.82
202.000,17.05
203.000,17.30
204.000,17.10
205.000,17.51
206.000,18.32
207.000,18.92
208.000,19.33
209.000,19.60
210.000,19.97
211.000,20.46
212.000,20.78
213.000,20.50
214.000,20.19
215.000,19.42
216.000,19.19
217.000,19.63
218.000,19.32
219.000,18.88
220.000,18.30
221.000,18.18
222.000,18.40
223.000,19.01
224.000,19.47
225.000,19.85
226.000,19.97
227.000,19.82
228.000,19.93
229.000,20.26
230.000,20.57
231.000,20.81
232.000,21.08
233.000,21.21
234.000,20.50
235.000,19.94
236.000,19.17
237.000,18.92
238.000,19.09
239.000,19.17
240.000,19.23
241.000,19.05
242.000,18.47
243.000,18.78
244.000,18.40
245.000,18.20
246.000,17.83
247.000,17.31
248.000,16.90
249.000,16.59
250.000,16.82
251.000,17.51
252.000,17.73
253.000,17.69
254.000,17.50
255.000,17.43
256.000,16.71
257.000,16.13
258.000,15.99
259.000,15.97
260.000,15.97
261.000,16.14
262.000,16.80
263.000,17.07
264.000,16.51
265.000,15.40
266.000,14.59
267.000,14.12
268.000,15.29
269.000,15.10
270.000,15.49
271.000,15.66
272.000,15.73
273.000,15.49
274.000,14.38
275.000,13.52
276.000,12.45
277.000,11.53
278.000,12.62
279.000,12.19
280.000,11.97
281.000,12.20
282.000,12.91
283.000,13.27
284.000,13.31
285.000,12.81
286.000,12.47
287.000,12.84
288.000,11.62
289.000,10.06
290.000,8.89
291.000,8.48
292.000,8.65
293.000,8.03
294.000,8.56
295.000,9.41
296.000,9.35
297.000,8.51
298.000,8.58
299.000,7.66
300.000,8.38
301.000,7.96
302.000,7.23
303.000,8.10
304.000,7.41
305.000,6.90
306.000,7.06
307.000,6.60
308.000,6.82
309.000,7.44
310.000,7.34
311.000,7.94
312.000,8.02
313.000,7.91
314.000,7.76
315.000,7.73
316.000,8.04
317.000,8.31
318.000,7.31
319.000,7.61
320.000,8.12
321.000,5.99
322.000,5.18
323.000,5.19
324.000,5.70
325.000,6.29
326.000,6.41
327.000,5.68
328.000,5.22
329.000,4.80
330.000,5.38
331.000,5.34
332.000,4.78
333.000,5.14
334.000,4.57
335.000,5.01
336.000,4.33
337.000,3.74
338.000,3.74
339.000,4.35
340.000,3.98
341.000,3.27
342.000,1.85
343.000,2.09
344.000,2.90
345.000,4.04
346.000,3.43
