$/MR Sac.-Trinity Lake/Swift Creek-Inflow/Flow/01Jan2015/1Day/231.9.125.1.1/
      JDAY, Flow(cms)
1.000,0.87782224
2.000,1.16099071
3.000,1.27425810
4.000,1.44415918
5.000,4.04930906
6.000,5.74831986
7.000,4.04930906
8.000,3.39802159
9.000,3.65287321
10.000,2.88831835
11.000,2.77505097
12.000,2.86000151
13.000,12.28951142
14.000,9.11802460
15.000,5.80495355
16.000,6.82436003
17.000,29.39288676
18.000,27.97704443
19.000,29.13803514
20.000,19.56694100
21.000,11.35505548
22.000,19.53862415
23.000,22.62516043
24.000,15.09287923
25.000,10.76040170
26.000,7.30574642
27.000,7.10752849
28.000,8.89148983
29.000,27.09922219
30.000,21.29426864
31.000,13.62040321
32.000,9.59941099
33.000,8.01366759
34.000,7.07921165
35.000,5.80495355
36.000,5.12534923
37.000,4.70059653
38.000,5.06871554
39.000,5.46515139
40.000,6.59782526
41.000,6.93762742
42.000,7.02257795
43.000,8.01366759
44.000,8.09861813
45.000,8.18356867
46.000,9.54277730
47.000,9.28792568
48.000,12.79921466
49.000,20.16159477
50.000,13.67703690
51.000,10.61881747
52.000,8.60832136
53.000,7.56059804
54.000,7.47564750
55.000,6.37129048
56.000,6.05980517
57.000,5.88990409
58.000,7.73049912
59.000,6.73940949
60.000,6.11643886
61.000,6.73940949
62.000,6.93762742
63.000,12.14792719
64.000,11.52495656
65.000,34.91467185
66.000,71.33013657
67.000,29.19466884
68.000,20.18991162
69.000,17.83961335
70.000,42.64517097
71.000,45.76002409
72.000,38.17110921
73.000,36.21724679
74.000,33.78199798
75.000,22.85169520
76.000,18.06614813
77.000,15.91406778
78.000,12.99743259
79.000,14.44159176
80.000,24.18258699
81.000,26.02318202
82.000,19.00060406
83.000,15.23446347
84.000,13.73367060
85.000,12.65763043
86.000,11.75149134
87.000,11.10020386
88.000,10.36396585
89.000,9.28792568
90.000,9.28792568
91.000,8.89148983
92.000,12.17624403
93.000,13.93188852
94.000,15.77248355
95.000,15.60258247
96.000,14.72476023
97.000,15.46099824
98.000,19.85010946
99.000,18.83070298
100.000,19.96337685
101.000,23.24813105
102.000,23.72951744
103.000,23.02159628
104.000,18.60416821
105.000,15.46099824
106.000,12.88416520
107.000,11.97802611
108.000,12.54436304
109.000,13.62040321
110.000,14.75307707
111.000,15.46099824
112.000,14.52654230
113.000,18.23604921
114.000,13.67703690
115.000,11.21347125
116.000,11.72317449
117.000,9.31624253
118.000,9.57109415
119.000,8.66495506
120.000,9.31624253
121.000,9.23129199
122.000,11.63822395
123.000,12.82753151
124.000,13.05406628
125.000,13.93188852
126.000,14.07347276
127.000,15.97070148
128.000,16.93347426
129.000,18.63248506
130.000,21.37921918
131.000,17.10337534
132.000,15.31941401
133.000,12.23287773
134.000,16.87684057
135.000,19.68020838
136.000,12.14792719
137.000,8.94812352
138.000,12.06297665
139.000,13.05406628
140.000,10.98693648
141.000,5.88990409
142.000,1.61406026
143.000,16.96179111
144.000,7.16416219
145.000,6.85267688
146.000,8.35346974
147.000,8.97644037
148.000,7.19247903
149.000,16.82020688
150.000,11.63822395
151.000,6.42792418
152.000,6.08812202
153.000,3.22812051
154.000,7.58891489
155.000,4.13425960
156.000,6.73940949
157.000,13.16733367
158.000,10.78871855
159.000,7.67386543
160.000,5.57841878
161.000,5.69168616
162.000,3.70950690
163.000,1.30257494
164.000,2.23703088
165.000,9.51446045
166.000,0.08495054
167.000,1.24594125
168.000,3.08653628
169.000,5.43683455
170.000,5.43683455
171.000,6.59782526
172.000,5.26693347
173.000,4.30416068
174.000,6.34297364
175.000,9.17465830
176.000,6.96594426
177.000,4.16257645
178.000,4.07762591
179.000,1.18930756
180.000,1.18930756
181.000,1.18930756
182.000,1.18930756
183.000,1.38752548
184.000,1.38752548
185.000,1.38752548
186.000,1.38752548
187.000,1.38752548
188.000,1.38752548
189.000,1.38752548
190.000,1.38752548
191.000,1.38752548
192.000,1.38752548
193.000,1.38752548
194.000,1.38752548
195.000,1.38752548
196.000,1.38752548
197.000,1.38752548
198.000,1.38752548
199.000,1.38752548
200.000,1.38752548
201.000,1.38752548
202.000,1.38752548
203.000,1.38752548
