$/MR Sac.-Trinity Lake/Trinity River-Inflow WTemp/Temp-Water/01Jan2015/1Day/231.6.50.1.1/
      JDAY,Temp-Water(C)
1.000,1.14
2.000,1.08
3.000,2.67
4.000,3.03
5.000,4.04
6.000,4.54
7.000,4.88
8.000,4.98
9.000,4.89
10.000,4.62
11.000,5.05
12.000,5.74
13.000,5.60
14.000,4.49
15.000,4.44
16.000,5.35
17.000,5.70
18.000,5.67
19.000,6.43
20.000,6.14
21.000,6.91
22.000,6.62
23.000,6.22
24.000,6.06
25.000,5.92
26.000,6.40
27.000,6.55
28.000,6.52
29.000,5.90
30.000,5.76
31.000,4.90
32.000,4.28
33.000,4.65
34.000,4.69
35.000,4.82
36.000,5.25
37.000,5.78
38.000,6.16
39.000,6.21
40.000,5.86
41.000,5.86
42.000,6.50
43.000,6.66
44.000,6.14
45.000,6.86
46.000,5.77
47.000,5.82
48.000,6.24
49.000,3.48
50.000,4.79
51.000,4.40
52.000,4.47
53.000,5.19
54.000,5.00
55.000,5.78
56.000,5.97
57.000,6.34
58.000,5.96
59.000,5.73
60.000,5.39
61.000,5.64
62.000,3.08
63.000,5.13
64.000,5.25
65.000,7.69
66.000,6.67
67.000,6.51
68.000,6.19
69.000,6.51
70.000,7.70
71.000,7.88
72.000,6.66
73.000,6.72
74.000,7.40
75.000,7.29
76.000,7.62
77.000,7.88
78.000,8.23
79.000,8.76
80.000,8.19
81.000,6.73
82.000,6.77
83.000,7.20
84.000,8.29
85.000,7.85
86.000,8.13
87.000,8.02
88.000,6.74
89.000,6.48
90.000,7.29
91.000,8.16
92.000,8.83
93.000,9.36
94.000,9.28
95.000,8.72
96.000,8.21
97.000,9.16
98.000,9.48
99.000,9.68
100.000,9.69
101.000,9.56
102.000,9.73
103.000,9.36
104.000,8.02
105.000,6.93
106.000,7.06
107.000,8.22
108.000,9.49
109.000,10.08
110.000,10.41
111.000,10.36
112.000,9.42
113.000,9.04
114.000,8.17
115.000,8.55
116.000,7.62
117.000,7.36
118.000,8.52
119.000,9.34
120.000,9.98
121.000,9.77
122.000,10.23
123.000,10.52
124.000,10.27
125.000,10.07
126.000,10.03
127.000,9.46
128.000,10.43
129.000,11.38
130.000,11.45
131.000,11.41
132.000,11.26
133.000,11.65
134.000,12.13
135.000,11.51
136.000,10.71
137.000,11.55
138.000,12.04
139.000,12.54
140.000,11.83
141.000,9.76
142.000,9.25
143.000,9.73
144.000,10.28
145.000,11.07
146.000,11.58
147.000,12.28
148.000,12.42
149.000,12.30
150.000,12.90
151.000,13.34
152.000,13.92
153.000,14.15
154.000,13.53
155.000,14.07
156.000,14.41
157.000,15.25
158.000,15.60
159.000,15.84
160.000,14.80
161.000,14.24
162.000,14.21
163.000,13.78
164.000,14.16
165.000,14.68
166.000,13.63
167.000,12.59
168.000,12.18
169.000,12.19
170.000,12.84
171.000,13.66
172.000,14.76
173.000,15.51
174.000,15.95
175.000,15.63
176.000,14.61
177.000,15.16
178.000,15.61
179.000,15.84
180.000,16.02
181.000,16.69
182.000,17.05
183.000,17.30
184.000,17.61
185.000,17.87
186.000,17.35
187.000,16.94
188.000,17.14
189.000,17.42
190.000,16.42
191.000,16.68
192.000,15.63
193.000,16.07
194.000,16.73
195.000,17.48
196.000,18.17
197.000,18.79
198.000,18.39
199.000,18.26
200.000,17.89
201.000,18.13
202.000,18.37
203.000,18.63
204.000,18.42
205.000,18.85
206.000,19.70
207.000,20.33
208.000,20.77
209.000,21.04
210.000,21.43
211.000,21.95
212.000,22.29
213.000,21.99
214.000,21.66
215.000,20.86
216.000,20.62
217.000,21.08
218.000,20.75
219.000,20.29
220.000,19.69
221.000,19.56
222.000,19.79
223.000,20.43
224.000,20.92
225.000,21.31
226.000,21.43
227.000,21.28
228.000,21.40
229.000,21.74
230.000,22.07
231.000,22.32
232.000,22.60
233.000,22.73
234.000,21.99
235.000,21.41
236.000,20.60
237.000,20.33
238.000,20.51
239.000,20.60
240.000,20.66
241.000,20.47
242.000,19.86
243.000,20.18
244.000,19.79
245.000,19.58
246.000,19.19
247.000,18.65
248.000,18.21
249.000,17.88
250.000,18.13
251.000,18.85
252.000,19.09
253.000,19.04
254.000,18.84
255.000,18.77
256.000,18.01
257.000,17.40
258.000,17.26
259.000,17.24
260.000,17.24
261.000,17.41
262.000,18.11
263.000,18.40
264.000,17.80
265.000,16.64
266.000,15.79
267.000,15.29
268.000,16.52
269.000,16.33
270.000,16.74
271.000,16.91
272.000,16.99
273.000,16.74
274.000,15.57
275.000,14.66
276.000,13.54
277.000,12.58
278.000,13.71
279.000,13.26
280.000,13.04
281.000,13.27
282.000,14.02
283.000,14.40
284.000,14.44
285.000,13.91
286.000,13.56
287.000,13.95
288.000,12.67
289.000,11.03
290.000,9.80
291.000,9.37
292.000,9.55
293.000,8.90
294.000,9.46
295.000,10.35
296.000,10.29
297.000,9.41
298.000,9.47
299.000,8.51
300.000,9.27
301.000,8.83
302.000,8.06
303.000,8.98
304.000,8.25
305.000,7.71
306.000,7.88
307.000,7.39
308.000,7.63
309.000,8.28
310.000,8.18
311.000,8.80
312.000,8.89
313.000,8.78
314.000,8.61
315.000,8.59
316.000,8.91
317.000,9.19
318.000,8.14
319.000,8.46
320.000,8.99
321.000,6.76
322.000,5.90
323.000,5.92
324.000,6.45
325.000,7.07
326.000,7.19
327.000,6.43
328.000,5.94
329.000,5.51
330.000,6.12
331.000,6.07
332.000,5.49
333.000,5.87
334.000,5.27
335.000,5.72
336.000,5.02
337.000,4.39
338.000,4.39
339.000,5.04
340.000,4.64
341.000,3.90
342.000,2.41
343.000,2.66
344.000,3.51
345.000,4.71
346.000,4.07
347.000,3.86
348.000,3.94
349.000,4.23
350.000,5.55
351.000,4.88
352.000,3.46
353.000,2.89
354.000,3.12
355.000,4.11
356.000,4.18
357.000,3.06
358.000,3.36
359.000,2.84
360.000,2.51
361.000,1.59
362.000,2.31
363.000,3.00
364.000,2.80
365.000,3.06
366.000,3.31
367.000,2.95
