$/MR Sac.-Trinity Lake/Trinity River-Inflow/Flow/01Jan2015/1Day/231.6.125.1.1/
      JDAY, Flow(cms)
1.000,3.794457443
2.000,4.559012301
3.000,4.813863921
4.000,5.238616620
5.000,12.091293495
6.000,16.537038410
7.000,12.346145114
8.000,10.420599546
9.000,10.845352245
10.000,9.061390909
11.000,8.693271904
12.000,9.627727841
13.000,36.472098410
14.000,26.702786336
15.000,17.811296506
16.000,19.623574688
17.000,106.188174720
18.000,98.627576680
19.000,108.226987675
20.000,71.131918639
21.000,42.616854121
22.000,103.611341680
23.000,107.773918129
24.000,64.562410230
25.000,44.967152388
26.000,32.932492586
27.000,30.893679632
28.000,36.160613098
29.000,101.544211879
30.000,81.099448639
31.000,52.527750428
32.000,38.312693439
33.000,31.913086109
34.000,27.863777047
35.000,23.559616365
36.000,21.181001251
37.000,19.736842075
38.000,21.520803410
39.000,27.750509660
40.000,34.716453922
41.000,36.500415257
42.000,37.434871195
43.000,42.588537274
44.000,42.815072047
45.000,42.475269888
46.000,52.301215655
47.000,49.809333155
48.000,100.411538015
49.000,118.251151368
50.000,73.680434832
51.000,55.189534008
52.000,44.315864916
53.000,38.114475513
54.000,35.424375087
55.000,31.658234490
56.000,30.638828013
57.000,32.734274660
58.000,42.560220428
59.000,36.811900570
60.000,33.640413751
61.000,33.866948524
62.000,34.376651763
63.000,66.714490571
64.000,62.863399434
65.000,230.017744867
66.000,312.334817910
67.000,130.427395403
68.000,87.470739123
69.000,72.802612588
70.000,189.213168928
71.000,201.899116201
72.000,153.165823216
73.000,137.676508130
74.000,124.452540772
75.000,86.734501111
76.000,70.140829008
77.000,63.826172218
78.000,57.794683894
79.000,63.769538525
80.000,117.911349209
81.000,122.187193044
82.000,87.215887503
83.000,68.838254065
84.000,60.796269633
85.000,55.897455173
86.000,51.649928184
87.000,49.950917388
88.000,46.298044178
89.000,41.427546564
90.000,39.898436848
91.000,39.700218922
92.000,50.035867928
93.000,59.805180002
94.000,70.877067020
95.000,72.462810429
96.000,64.647360770
97.000,68.498451906
98.000,86.196481026
99.000,89.084799378
100.000,96.305595259
101.000,107.688967589
102.000,104.772332390
103.000,108.906591993
104.000,86.026579946
105.000,68.781620372
106.000,55.416068781
107.000,50.573888013
108.000,53.122404207
109.000,58.615872445
110.000,64.137657531
111.000,67.648946508
112.000,65.043796622
113.000,80.448161168
114.000,60.088348468
115.000,50.205769008
116.000,47.600619121
117.000,39.955070541
118.000,39.133881990
119.000,36.896851109
120.000,38.567545058
121.000,38.057841820
122.000,44.315864916
123.000,48.450124519
124.000,49.865966849
125.000,54.311711763
126.000,55.784187786
127.000,61.645775031
128.000,68.271917133
129.000,72.491127276
130.000,75.634297247
131.000,61.617458184
132.000,54.906365542
133.000,47.572302275
134.000,58.955674605
135.000,65.355281934
