$/MR Sac.-Trinity Lake/EF Trinity River-Inflow WTemp/Temp-Water/01Jan2015/1Day/231.7.50.1.1/
      JDAY,Temp-Water(C)
1.000,1.56
2.000,1.51
3.000,3.09
4.000,3.45
5.000,4.46
6.000,4.95
7.000,5.30
8.000,5.40
9.000,5.31
10.000,5.04
11.000,5.47
12.000,6.16
13.000,6.02
14.000,4.91
15.000,4.86
16.000,5.77
17.000,6.12
18.000,6.09
19.000,6.85
20.000,6.56
21.000,7.33
22.000,7.03
23.000,6.64
24.000,6.48
25.000,6.34
26.000,6.82
27.000,6.97
28.000,6.94
29.000,6.32
30.000,6.18
31.000,5.31
32.000,4.70
33.000,5.07
34.000,5.10
35.000,5.24
36.000,5.67
37.000,6.19
38.000,6.58
39.000,6.62
40.000,6.27
41.000,6.28
42.000,6.92
43.000,7.08
44.000,6.56
45.000,7.28
46.000,6.19
47.000,6.23
48.000,6.65
49.000,3.90
50.000,5.21
51.000,4.82
52.000,4.89
53.000,5.61
54.000,5.42
55.000,6.20
56.000,6.39
57.000,6.76
58.000,6.37
59.000,6.15
60.000,5.80
61.000,6.05
62.000,3.50
63.000,5.55
64.000,5.67
65.000,8.00
66.000,6.97
67.000,6.81
68.000,6.47
69.000,6.81
70.000,8.01
71.000,8.20
72.000,6.96
73.000,7.02
74.000,7.71
75.000,7.60
76.000,7.93
77.000,8.20
78.000,8.56
79.000,9.09
80.000,8.52
81.000,7.03
82.000,7.07
83.000,7.50
84.000,8.62
85.000,8.17
86.000,8.46
87.000,8.35
88.000,7.04
89.000,6.77
90.000,7.60
91.000,8.49
92.000,9.17
93.000,9.71
94.000,9.63
95.000,9.05
96.000,8.54
97.000,9.51
98.000,9.83
99.000,10.04
100.000,10.05
101.000,9.92
102.000,10.09
103.000,9.71
104.000,8.35
105.000,7.23
106.000,7.36
107.000,8.55
108.000,9.84
109.000,10.44
110.000,10.78
111.000,10.73
112.000,9.77
113.000,9.38
114.000,8.50
115.000,8.88
116.000,7.93
117.000,7.67
118.000,8.85
119.000,9.69
120.000,10.34
121.000,10.13
122.000,10.59
123.000,10.89
124.000,10.63
125.000,10.43
126.000,10.39
127.000,9.81
128.000,10.80
129.000,11.77
130.000,11.84
131.000,11.80
132.000,11.65
133.000,12.04
134.000,12.54
135.000,11.90
136.000,11.09
137.000,11.94
138.000,12.45
139.000,12.95
140.000,12.23
141.000,10.12
142.000,9.60
143.000,10.09
144.000,10.64
145.000,11.46
146.000,11.97
147.000,12.69
148.000,12.83
149.000,12.71
150.000,13.32
151.000,13.77
152.000,14.36
153.000,14.60
154.000,13.97
155.000,14.51
156.000,14.86
157.000,15.72
158.000,16.08
159.000,16.32
160.000,15.26
161.000,14.69
162.000,14.66
163.000,14.22
164.000,14.61
165.000,15.13
166.000,14.07
167.000,13.01
168.000,12.59
169.000,12.60
170.000,13.26
171.000,14.10
172.000,15.21
173.000,15.98
174.000,16.43
175.000,16.11
176.000,15.02
177.000,15.57
178.000,16.02
179.000,16.25
180.000,16.43
181.000,17.10
182.000,17.46
183.000,17.71
184.000,18.02
185.000,18.27
186.000,17.76
187.000,17.34
188.000,17.54
189.000,17.83
190.000,16.83
191.000,17.09
192.000,16.04
193.000,16.48
194.000,17.14
195.000,17.88
196.000,18.58
197.000,19.20
198.000,18.80
199.000,18.67
200.000,18.29
201.000,18.54
202.000,18.78
203.000,19.04
204.000,18.83
205.000,19.26
206.000,20.11
207.000,20.74
208.000,21.17
209.000,21.45
210.000,21.84
211.000,22.35
212.000,22.69
213.000,22.39
214.000,22.07
215.000,21.26
216.000,21.02
217.000,21.48
218.000,21.16
219.000,20.69
220.000,20.09
221.000,19.96
222.000,20.20
223.000,20.83
224.000,21.32
225.000,21.72
226.000,21.84
227.000,21.68
228.000,21.80
229.000,22.14
230.000,22.47
231.000,22.72
232.000,23.01
233.000,23.14
234.000,22.40
235.000,21.81
236.000,21.01
237.000,20.74
238.000,20.92
239.000,21.00
240.000,21.06
241.000,20.87
242.000,20.26
243.000,20.59
244.000,20.20
245.000,19.99
246.000,19.59
247.000,19.05
248.000,18.61
249.000,18.29
250.000,18.54
251.000,19.26
252.000,19.49
253.000,19.44
254.000,19.25
255.000,19.18
256.000,18.42
257.000,17.81
258.000,17.66
259.000,17.65
260.000,17.64
261.000,17.82
262.000,18.51
263.000,18.80
264.000,18.21
265.000,17.05
266.000,16.20
267.000,15.70
268.000,16.93
269.000,16.73
270.000,17.14
