$/MR Sac.-Trinity Lake/EF Trinity River-Inflow/Flow/01Jan2015/1Day/231.7.125.1.1/
      JDAY, Flow(cms)
1.000,2.916635199
2.000,3.907724830
3.000,4.360794375
4.000,4.870497614
5.000,13.790304290
6.000,19.481990455
7.000,13.761987444
8.000,11.553273410
9.000,12.402778807
10.000,9.825945767
11.000,9.372876222
12.000,9.712678381
13.000,41.654081337
14.000,30.893679632
15.000,19.680208381
16.000,23.106546819
17.000,99.675300004
18.000,94.918069776
19.000,98.854111453
20.000,66.374688412
21.000,38.510911365
22.000,66.261421025
23.000,76.795287958
24.000,51.168541792
25.000,36.500415257
26.000,24.777240768
27.000,24.097636450
28.000,30.157441620
29.000,91.916484038
30.000,72.236275656
31.000,46.213093638
32.000,35.396058240
33.000,29.591104689
34.000,26.136449404
35.000,21.379219177
36.000,18.943970370
37.000,17.358226961
38.000,18.660801904
39.000,20.161594774
40.000,24.380804916
41.000,25.598429319
42.000,25.881597785
43.000,29.506154149
44.000,29.845956308
45.000,30.214075314
46.000,35.169523467
47.000,34.291701223
48.000,47.204183269
49.000,74.331722304
50.000,50.432303780
51.000,39.105565144
52.000,31.714868183
53.000,27.920410740
54.000,27.523974887
55.000,23.531299518
56.000,22.370308808
57.000,21.747338183
58.000,28.515064518
59.000,24.890508154
60.000,22.511893041
61.000,20.161594774
62.000,20.671298012
63.000,36.245563638
64.000,34.461602302
65.000,104.290945998
66.000,213.055953758
67.000,87.159253810
68.000,60.286566394
69.000,53.292305286
70.000,127.340859124
71.000,136.685418500
72.000,113.946990686
73.000,108.170353981
74.000,100.836290714
75.000,68.243600287
76.000,53.915275911
77.000,47.515668581
78.000,38.822396678
79.000,43.154874206
80.000,72.236275656
81.000,77.729743895
82.000,56.775277417
83.000,45.476855627
84.000,41.002793865
85.000,37.746356507
86.000,35.112889774
87.000,33.159027359
88.000,30.921996478
89.000,27.750509660
90.000,27.750509660
91.000,26.561202103
92.000,20.982783325
93.000,24.041002757
94.000,27.212489575
95.000,26.901004262
96.000,25.400211393
97.000,26.674469490
98.000,34.263384376
99.000,32.479423041
100.000,34.404968609
101.000,40.096654774
102.000,40.946160172
103.000,39.728535769
104.000,32.082987189
105.000,26.674469490
106.000,22.228724575
107.000,20.671298012
108.000,21.634070796
109.000,23.502982671
110.000,25.428528240
111.000,26.646152643
112.000,25.032092387
113.000,31.460016564
114.000,23.587933211
115.000,19.340406222
116.000,20.189911620
117.000,16.055652018
118.000,16.480404717
