$/MR Sac.-Trinity Lake/Stuart Fork-Inflow WTemp/Temp-Water/01Jan2015/1Day/231.8.50.1.1/
      JDAY,Temp-Water(C)
1.000,0.58
2.000,0.53
3.000,1.98
4.000,2.31
5.000,3.23
6.000,3.69
7.000,4.00
8.000,4.10
9.000,4.02
10.000,3.77
11.000,4.16
12.000,4.79
13.000,4.67
14.000,3.65
15.000,3.61
16.000,4.44
17.000,4.76
18.000,4.73
19.000,5.43
20.000,5.16
21.000,5.87
22.000,5.60
23.000,5.24
24.000,5.09
25.000,4.96
26.000,5.40
27.000,5.54
28.000,5.51
29.000,4.94
30.000,4.81
31.000,4.02
32.000,3.46
33.000,3.79
34.000,3.83
35.000,3.95
36.000,4.34
37.000,4.83
38.000,5.18
39.000,5.22
40.000,4.90
41.000,4.91
42.000,5.49
43.000,5.64
44.000,5.16
45.000,5.82
46.000,4.82
47.000,4.86
48.000,5.25
49.000,2.72
50.000,3.92
51.000,3.57
52.000,3.63
53.000,4.29
54.000,4.12
55.000,4.83
56.000,5.00
57.000,5.35
58.000,4.99
59.000,4.78
60.000,4.47
61.000,4.70
62.000,2.36
63.000,4.23
64.000,4.35
65.000,6.78
66.000,5.84
67.000,5.69
68.000,5.39
69.000,5.69
70.000,6.79
71.000,6.95
72.000,5.83
73.000,5.88
74.000,6.52
75.000,6.41
76.000,6.72
77.000,6.95
78.000,7.28
79.000,7.77
80.000,7.25
81.000,5.89
82.000,5.93
83.000,6.32
84.000,7.34
85.000,6.93
86.000,7.19
87.000,7.09
88.000,5.90
89.000,5.66
90.000,6.41
91.000,7.22
92.000,7.84
93.000,8.32
94.000,8.25
95.000,7.73
96.000,7.26
97.000,8.14
98.000,8.43
99.000,8.63
100.000,8.64
101.000,8.52
102.000,8.67
103.000,8.32
104.000,7.09
105.000,6.08
106.000,6.20
107.000,7.27
108.000,8.44
109.000,8.99
110.000,9.30
111.000,9.26
112.000,8.38
113.000,8.03
114.000,7.23
115.000,7.58
116.000,6.72
117.000,6.48
118.000,7.55
119.000,8.31
120.000,8.90
121.000,8.71
122.000,9.13
123.000,9.40
124.000,9.17
125.000,8.98
126.000,8.95
127.000,8.42
128.000,9.32
129.000,10.20
130.000,10.26
131.000,10.23
132.000,10.09
133.000,10.45
134.000,10.89
135.000,10.32
136.000,9.58
137.000,10.35
138.000,10.81
139.000,11.27
140.000,10.62
141.000,8.70
142.000,8.22
143.000,8.67
144.000,9.18
145.000,9.92
146.000,10.38
147.000,11.03
148.000,11.16
149.000,11.05
150.000,11.61
151.000,12.02
152.000,12.55
153.000,12.77
154.000,12.19
155.000,12.68
