$/MR Sac.-Trinity Lake/Stuart Fork-Inflow/Flow/01Jan2015/1Day/231.8.125.1.1/
      JDAY, Flow(cms)
1.000,0.906139091
2.000,1.217624403
3.000,1.359208636
4.000,1.500792869
5.000,4.247526989
6.000,6.031488324
7.000,4.247526989
8.000,3.567922671
9.000,3.822774290
10.000,3.029902585
11.000,2.888318352
12.000,3.001585739
13.000,12.884165199
14.000,9.542777302
15.000,6.088122017
16.000,7.135845341
17.000,30.808729092
18.000,29.336253069
19.000,30.553877473
20.000,20.501396933
21.000,11.893075569
22.000,20.473080086
23.000,23.729517444
24.000,15.800800398
25.000,11.270104944
26.000,7.645548580
27.000,7.447330654
28.000,9.316242529
29.000,28.401797132
30.000,22.313675114
31.000,14.271690682
32.000,10.052480540
33.000,8.410103438
34.000,7.419013807
35.000,6.059805171
36.000,5.380200852
37.000,4.927131307
38.000,5.295250313
39.000,5.720003012
40.000,6.909310568
41.000,7.277429574
42.000,7.362380114
43.000,8.381786591
44.000,8.495053978
45.000,8.580004517
46.000,9.995846847
47.000,9.740995228
48.000,13.422185285
49.000,21.124367558
50.000,14.328324376
51.000,11.100203864
52.000,9.004757216
53.000,7.928717046
54.000,7.815449659
55.000,6.682775796
56.000,6.342973637
57.000,6.173072557
58.000,8.098618125
59.000,7.079211648
60.000,6.399607330
61.000,7.079211648
62.000,7.249112728
63.000,12.714264120
64.000,12.091293495
65.000,36.613682643
66.000,74.756475003
67.000,30.582194319
68.000,21.152684404
69.000,18.717435597
70.000,44.683983922
71.000,47.968738127
72.000,39.983387388
73.000,37.972891280
74.000,35.396058240
75.000,23.956052217
76.000,18.915653523
77.000,16.678622643
78.000,13.620403211
79.000,15.149512927
80.000,25.343577700
81.000,27.269123268
82.000,19.935060001
83.000,15.970701478
84.000,14.384958069
85.000,13.252284205
86.000,12.317828268
87.000,11.638223949
88.000,10.845352245
89.000,9.740995228
90.000,9.740995228
91.000,9.316242529
92.000,12.742580966
93.000,14.611492841
94.000,16.537038410
95.000,16.338820484
96.000,15.432681393
97.000,16.197236251
98.000,20.812882245
99.000,19.736842075
100.000,20.926149631
101.000,24.352488069
102.000,24.890508154
103.000,24.125953296
104.000,19.481990455
105.000,16.197236251
106.000,13.507135824
107.000,12.572679887
108.000,13.139016819
109.000,14.300007529
110.000,15.460998239
111.000,16.197236251
112.000,15.206146620
113.000,19.113871450
114.000,14.328324376
115.000,11.751491336
116.000,12.289511421
117.000,9.769312074
118.000,10.024163694
119.000,9.061390909
120.000,9.769312074
121.000,9.656044688
122.000,12.204560881
123.000,13.450502131
124.000,13.677036904
125.000,14.611492841
126.000,14.724760228
127.000,16.735256336
128.000,17.754662813
129.000,19.510307302
130.000,22.426942501
131.000,17.924563893
132.000,16.055652018
133.000,12.827531506
134.000,17.669712273
135.000,20.614664319
136.000,12.714264120
137.000,9.372876222
138.000,12.657630427
139.000,13.677036904
140.000,11.524956563
141.000,6.144755710
142.000,1.699010796
143.000,17.754662813
144.000,7.503964347
145.000,7.192479034
146.000,8.749905597
147.000,9.401193069
148.000,7.532281193
149.000,17.613078580
150.000,12.176244035
151.000,6.739409489
152.000,6.399607330
153.000,3.369704744
154.000,7.957033892
155.000,4.332477529
156.000,7.079211648
157.000,13.790304290
158.000,11.298421790
159.000,8.041984432
160.000,5.861587245
161.000,5.974854631
162.000,3.879407983
163.000,1.359208636
164.000,2.350298267
165.000,9.967530000
166.000,0.084950540
167.000,1.302574943
168.000,3.228120511
169.000,5.691686165
170.000,5.691686165
171.000,6.909310568
172.000,5.493468239
173.000,4.502378608
174.000,6.654458949
175.000,9.627727841
176.000,7.305746421
177.000,4.360794375
178.000,4.275843835
179.000,1.245941250
180.000,1.245941250
181.000,1.245941250
182.000,1.245941250
183.000,1.472476023
184.000,1.472476023
185.000,1.472476023
186.000,1.472476023
187.000,1.472476023
188.000,1.472476023
189.000,1.472476023
190.000,1.472476023
191.000,1.472476023
192.000,1.472476023
193.000,1.472476023
194.000,1.472476023
195.000,1.472476023
196.000,1.472476023
197.000,1.472476023
198.000,1.472476023
199.000,1.472476023
200.000,1.472476023
201.000,1.472476023
202.000,1.472476023
203.000,1.472476023
204.000,1.472476023
205.000,1.472476023
206.000,1.472476023
207.000,1.472476023
208.000,1.472476023
209.000,1.472476023
210.000,1.472476023
211.000,1.472476023
212.000,1.472476023
213.000,1.472476023
214.000,0.481386392
215.000,0.481386392
216.000,0.481386392
217.000,0.481386392
218.000,0.481386392
219.000,0.481386392
220.000,0.481386392
221.000,0.481386392
222.000,0.481386392
223.000,0.481386392
224.000,0.481386392
225.000,0.481386392
226.000,0.481386392
227.000,0.481386392
228.000,0.481386392
229.000,0.481386392
230.000,0.481386392
231.000,0.481386392
232.000,0.481386392
233.000,0.481386392
234.000,0.481386392
235.000,0.481386392
236.000,0.481386392
237.000,0.481386392
238.000,0.481386392
239.000,0.481386392
240.000,0.481386392
241.000,0.481386392
242.000,0.481386392
243.000,0.481386392
244.000,0.481386392
245.000,0.198217926
246.000,0.198217926
247.000,0.198217926
248.000,0.198217926
249.000,0.198217926
250.000,0.198217926
251.000,0.198217926
252.000,0.198217926
253.000,0.198217926
254.000,0.198217926
255.000,0.198217926
256.000,0.198217926
257.000,0.198217926
258.000,0.198217926
259.000,0.198217926
260.000,0.198217926
261.000,0.198217926
262.000,0.198217926
263.000,0.198217926
264.000,0.198217926
265.000,0.198217926
266.000,0.198217926
267.000,0.198217926
268.000,0.198217926
269.000,0.198217926
270.000,0.198217926
271.000,0.198217926
272.000,0.198217926
273.000,0.198217926
274.000,0.198217926
275.000,5.012081847
276.000,5.012081847
277.000,5.012081847
278.000,5.012081847
279.000,5.012081847
280.000,5.012081847
281.000,5.012081847
282.000,5.012081847
283.000,5.012081847
284.000,5.012081847
285.000,5.012081847
286.000,5.012081847
287.000,5.012081847
288.000,5.012081847
289.000,5.012081847
290.000,5.012081847
291.000,5.012081847
292.000,5.012081847
293.000,5.012081847
294.000,5.012081847
295.000,5.012081847
296.000,5.012081847
297.000,5.012081847
298.000,5.012081847
299.000,5.012081847
300.000,5.012081847
301.000,5.012081847
302.000,5.012081847
303.000,5.012081847
304.000,5.012081847
305.000,5.012081847
306.000,16.338820484
307.000,16.055652018
308.000,10.817035398
309.000,8.183568665
310.000,6.597825256
311.000,5.380200852
312.000,5.068715540
313.000,4.700596534
314.000,4.672279688
315.000,3.964358523
316.000,3.596239517
317.000,3.539605824
318.000,3.511288977
319.000,3.539605824
320.000,3.171486818
321.000,3.907724830
322.000,4.898814460
323.000,5.691686165
324.000,5.720003012
325.000,5.521785085
326.000,5.918220938
327.000,6.682775796
328.000,6.654458949
329.000,6.796043182
330.000,6.654458949
331.000,6.229706250
332.000,5.889904091
333.000,5.833270398
334.000,5.465151392
335.000,4.757230227
336.000,3.766140597
337.000,3.058219432
338.000,3.398021591
339.000,3.284754205
340.000,2.633466733
341.000,2.944952046
342.000,3.992675369
343.000,4.077625909
344.000,6.144755710
345.000,18.122781819
346.000,11.241788097
347.000,7.900400199
348.000,7.645548580
349.000,21.662387643
350.000,72.576077815
351.000,29.676055228
352.000,16.933474262
353.000,11.893075569
354.000,9.684361534
355.000,8.778222444
356.000,7.277429574
357.000,6.512874716
358.000,9.174658296
359.000,6.088122017
360.000,5.861587245
361.000,4.643962841
362.000,4.643962841
363.000,4.530695455
364.000,4.219210142
365.000,4.445744915
366.000,3.766140597
367.000,2.831684659
