$Combined output for files: 1, 2, 3, 4, 5, 6

JDAY,TEMP-AIR,TEMP-DEWPOINT,Speed-Wind,DIR-WIND-RADIANS,%-CLOUD COVER,IRRAD-SOLAR
1.000,-0.10,-11.05,12.00,0.73,0.00,0.00
1.042,-0.10,-10.77,7.00,0.26,0.00,0.00
1.083,-0.10,-11.63,11.00,0.98,0.00,0.00
1.125,0.46,-13.54,14.00,0.73,0.00,0.00
1.167,-0.65,-11.55,7.00,1.06,0.00,0.00
1.208,-0.10,-12.90,10.00,0.79,0.00,0.00
1.250,-0.65,-12.14,8.00,1.05,0.00,0.00
1.292,-0.65,-13.40,10.00,0.44,0.00,0.00
1.333,-0.10,-12.57,11.00,0.94,0.00,36.96
1.375,1.01,-13.42,12.00,0.98,0.00,184.91
1.417,2.12,-13.61,10.00,0.73,0.00,305.90
1.458,3.24,-12.64,10.00,0.89,0.00,391.90
1.500,4.90,-10.38,6.00,1.34,0.00,414.80
1.542,5.46,-10.29,8.00,1.38,0.00,416.89
1.583,4.35,-12.09,8.00,1.06,0.00,352.85
1.625,4.35,-11.67,4.00,0.89,0.00,246.86
1.667,2.68,-12.33,5.00,0.98,0.00,94.95
1.708,1.01,-12.35,8.00,0.93,0.00,5.00
1.750,1.01,-11.68,7.00,0.79,0.00,0.00
1.792,-0.65,-8.77,8.00,6.06,0.00,0.00
1.833,-0.65,-10.21,7.00,0.19,0.00,0.00
1.875,-0.65,-10.21,7.00,0.19,0.00,0.00
1.917,-0.65,-9.96,7.00,0.58,0.00,0.00
1.958,-0.65,-8.99,6.00,0.19,0.00,0.00
2.000,-1.21,-8.63,3.00,5.78,0.00,0.00
2.042,-1.76,-8.13,5.00,5.81,0.00,0.00
2.083,-1.76,-7.93,5.00,5.50,0.00,0.00
2.125,-1.21,-7.80,3.00,5.65,0.00,0.00
2.167,-1.76,-6.82,4.00,5.60,0.00,0.00
2.208,-1.21,-8.21,0.00,5.72,0.00,0.00
2.250,-1.21,-7.02,0.00,5.92,0.00,0.00
2.292,-1.76,-7.36,0.00,5.45,0.00,0.00
2.333,-1.76,-6.64,4.00,5.64,0.00,38.00
2.375,-0.10,-6.75,7.00,5.62,0.00,182.93
2.417,2.12,-7.20,5.00,5.88,0.00,303.92
2.458,3.24,-6.16,6.00,5.79,0.00,287.88
2.500,4.90,-4.90,6.00,5.95,0.00,379.81
2.542,4.90,-4.11,6.00,0.23,0.00,206.88
2.583,4.90,-2.89,5.00,0.77,0.00,117.97
2.625,4.35,-3.17,5.00,1.08,0.00,71.94
2.667,4.35,-2.94,4.00,0.10,0.00,36.03
2.708,3.79,-3.47,5.00,0.40,0.00,1.98
2.750,3.79,-2.38,6.00,0.07,0.00,0.00
2.792,3.79,-1.96,6.00,0.10,0.00,0.00
2.833,3.24,-1.69,6.00,6.09,0.00,0.00
2.875,4.35,-2.27,7.00,0.54,0.00,0.00
2.917,2.68,-1.85,6.00,5.72,0.00,0.00
2.958,2.68,-1.85,5.00,6.07,0.00,0.00
3.000,3.24,-1.50,7.00,5.57,0.00,0.00
3.042,2.68,-1.30,4.00,5.57,0.00,0.00
3.083,3.24,-1.50,5.00,5.92,0.00,0.00
3.125,3.24,-2.28,5.00,5.55,0.00,0.00
3.167,2.12,-0.62,6.00,5.72,0.00,0.00
3.208,2.68,-0.25,10.00,5.97,0.00,0.00
3.250,2.68,-0.08,7.00,5.93,0.00,0.00
3.292,3.24,-0.22,9.00,6.11,0.00,0.00
3.333,3.79,-0.04,6.00,5.83,0.00,13.95
3.375,3.24,0.47,7.00,5.65,0.00,33.01
3.417,3.79,0.84,5.00,5.59,0.00,46.95
3.458,4.90,0.29,6.00,6.04,0.00,69.04
3.500,4.35,2.22,9.00,5.90,0.00,109.02
3.542,4.90,2.92,6.00,6.09,0.00,86.00
3.583,4.35,3.77,10.00,5.76,0.00,61.95
3.625,3.79,3.36,6.00,6.07,0.00,62.99
3.667,3.79,3.36,6.00,6.25,0.00,29.99
3.708,3.79,3.21,8.00,6.16,0.00,8.02
3.750,4.35,2.86,5.00,6.06,0.00,0.00
3.792,3.79,2.92,6.00,5.88,0.00,0.00
3.833,3.24,2.81,7.00,5.57,0.00,0.00
3.875,2.68,2.67,6.00,5.69,0.00,0.00
3.917,3.24,1.92,5.00,5.60,0.00,0.00
3.958,2.12,1.40,6.00,5.55,0.00,0.00
4.000,3.24,0.97,7.00,5.38,0.00,0.00
4.042,2.12,0.81,6.00,5.52,0.00,0.00
4.083,3.79,0.14,6.00,5.50,0.00,0.00
4.125,2.12,1.26,7.00,5.65,0.00,0.00
4.167,3.24,1.29,8.00,5.74,0.00,0.00
4.208,4.90,1.92,6.00,5.22,0.00,0.00
4.250,3.24,1.45,6.00,5.57,0.00,0.00
4.292,2.12,1.98,9.00,5.79,0.00,0.00
4.333,2.68,2.67,5.00,5.78,0.00,5.00
4.375,3.24,3.23,3.00,5.39,0.00,23.01
4.417,3.24,2.81,6.00,5.69,0.00,59.04
4.458,4.35,3.47,2.00,1.05,0.00,46.95
4.500,4.35,4.06,4.00,0.42,0.00,69.04
4.542,3.24,3.10,6.00,6.07,0.00,76.94
4.583,3.79,3.65,6.00,0.09,0.00,33.94
4.625,3.79,3.78,4.00,0.56,0.00,16.97
4.667,3.24,3.10,4.00,5.86,0.00,11.97
4.708,3.24,3.10,8.00,5.76,0.00,1.05
4.750,3.24,3.23,7.00,5.67,0.00,0.00
4.792,3.24,3.23,8.00,5.67,0.00,0.00
4.833,3.24,3.23,7.00,5.67,0.00,0.00
4.875,3.24,3.23,6.00,5.59,0.00,0.00
4.917,3.24,3.23,6.00,5.62,0.00,0.00
4.958,3.24,3.23,7.00,5.86,0.00,0.00
5.000,3.24,3.23,7.00,5.88,0.00,0.00
5.042,2.68,2.67,8.00,5.62,0.00,0.00
5.083,2.68,2.67,6.00,5.71,0.00,0.00
5.125,3.24,3.23,7.00,5.59,0.00,0.00
5.167,3.24,3.23,8.00,5.64,0.00,0.00
5.208,3.24,3.23,8.00,5.53,0.00,0.00
5.250,3.24,3.23,5.00,5.53,0.00,0.00
5.292,3.24,3.23,7.00,5.57,0.00,0.00
5.333,2.68,2.67,7.00,5.55,0.00,3.02
5.375,3.24,3.23,7.00,5.60,0.00,24.99
5.417,3.24,3.23,6.00,5.43,0.00,69.04
5.458,3.79,3.78,6.00,5.59,0.00,91.00
5.500,4.90,4.89,0.00,2.01,0.00,116.92
5.542,4.90,4.89,4.00,2.90,0.00,94.95
5.583,5.46,5.45,4.00,3.11,0.00,81.01
5.625,5.46,5.45,5.00,3.49,0.00,79.03
5.667,4.90,4.89,3.00,2.69,0.00,46.95
5.708,5.46,5.45,5.00,2.78,0.00,8.02
5.750,5.46,5.45,2.00,3.09,0.00,0.00
5.792,4.90,4.89,4.00,2.43,0.00,0.00
5.833,4.90,4.89,6.00,2.97,0.00,0.00
5.875,4.90,4.89,3.00,3.14,0.00,0.00
5.917,3.79,3.78,3.00,5.76,0.00,0.00
5.958,4.35,4.34,3.00,5.59,0.00,0.00
6.000,4.35,4.34,5.00,2.06,0.00,0.00
6.042,4.35,4.34,4.00,2.36,0.00,0.00
6.083,4.90,4.89,4.00,2.30,0.00,0.00
6.125,4.35,4.21,3.00,2.27,0.00,0.00
6.167,3.79,3.78,3.00,0.16,0.00,0.00
6.208,4.35,4.34,7.00,2.16,0.00,0.00
6.250,4.35,3.92,7.00,2.55,0.00,0.00
6.292,4.35,4.06,1.00,5.15,0.00,0.00
6.333,3.79,3.65,3.00,5.76,0.00,3.02
6.375,3.24,3.23,5.00,5.83,0.00,18.01
6.417,2.68,2.67,4.00,0.02,0.00,33.01
6.458,2.68,2.67,4.00,0.12,0.00,59.04
6.500,2.68,2.67,7.00,6.07,0.00,117.97
6.542,2.68,2.67,7.00,6.04,0.00,134.93
6.583,3.24,3.23,6.00,6.07,0.00,121.92
