$/MR Sac.-Trinity Lake/TRN-Spill Release/Flow/01Dec2015/1Hour/231.5.125.3.1/
      JDAY, Flow(cms)
1.000,0.0000
1.042,0.0000
1.083,0.0000
1.125,0.0000
1.167,0.0000
1.208,0.0000
1.250,0.0000
1.292,0.0000
1.333,0.0000
1.375,0.0000
1.417,0.0000
1.458,0.0000
1.500,0.0000
1.542,0.0000
1.583,0.0000
1.625,0.0000
1.667,0.0000
1.708,0.0000
1.750,0.0000
1.792,0.0000
1.833,0.0000
1.875,0.0000
1.917,0.0000
1.958,0.0000
2.000,0.0000
2.042,0.0000
2.083,0.0000
2.125,0.0000
2.167,0.0000
2.208,0.0000
2.250,0.0000
2.292,0.0000
2.333,0.0000
2.375,0.0000
2.417,0.0000
2.458,0.0000
2.500,0.0000
2.542,0.0000
2.583,0.0000
2.625,0.0000
2.667,0.0000
2.708,0.0000
2.750,0.0000
2.792,0.0000
2.833,0.0000
2.875,0.0000
2.917,0.0000
2.958,0.0000
3.000,0.0000
3.042,0.0000
3.083,0.0000
3.125,0.0000
3.167,0.0000
3.208,0.0000
3.250,0.0000
3.292,0.0000
3.333,0.0000
3.375,0.0000
3.417,0.0000
3.458,0.0000
3.500,0.0000
3.542,0.0000
3.583,0.0000
3.625,0.0000
3.667,0.0000
3.708,0.0000
3.750,0.0000
3.792,0.0000
3.833,0.0000
3.875,0.0000
3.917,0.0000
3.958,0.0000
4.000,0.0000
4.042,0.0000
4.083,0.0000
4.125,0.0000
4.167,0.0000
4.208,0.0000
4.250,0.0000
4.292,0.0000
4.333,0.0000
4.375,0.0000
4.417,0.0000
4.458,0.0000
4.500,0.0000
4.542,0.0000
4.583,0.0000
4.625,0.0000
4.667,0.0000
4.708,0.0000
4.750,0.0000
4.792,0.0000
4.833,0.0000
4.875,0.0000
4.917,0.0000
4.958,0.0000
5.000,0.0000
5.042,0.0000
5.083,0.0000
5.125,0.0000
5.167,0.0000
5.208,0.0000
5.250,0.0000
5.292,0.0000
5.333,0.0000
5.375,0.0000
5.417,0.0000
5.458,0.0000
5.500,0.0000
5.542,0.0000
5.583,0.0000
5.625,0.0000
5.667,0.0000
5.708,0.0000
5.750,0.0000
5.792,0.0000
5.833,0.0000
5.875,0.0000
5.917,0.0000
5.958,0.0000
6.000,0.0000
6.042,0.0000
6.083,0.0000
6.125,0.0000
6.167,0.0000
6.208,0.0000
6.250,0.0000
6.292,0.0000
6.333,0.0000
6.375,0.0000
6.417,0.0000
6.458,0.0000
6.500,0.0000
6.542,0.0000
6.583,0.0000
6.625,0.0000
6.667,0.0000
6.708,0.0000
6.750,0.0000
6.792,0.0000
6.833,0.0000
6.875,0.0000
6.917,0.0000
6.958,0.0000
