$Combined output for files: 1, 2

JDAY,Flow,Flow
1.000,28.4925531,0.0000000
1.042,2.3561316,0.0000000
1.083,0.0311485,0.0000000
1.125,0.0311485,0.0000000
1.167,0.0311485,0.0000000
1.208,0.0311485,0.0000000
1.250,0.0311485,0.0000000
1.292,0.0311485,0.0000000
1.333,0.0311485,0.0000000
1.375,0.0311485,0.0000000
1.417,0.0311485,0.0000000
1.458,1.8384431,0.0000000
1.500,37.8123059,0.0000000
1.542,40.2715956,0.0000000
1.583,40.2139422,0.0000000
1.625,39.8768881,0.0000000
1.667,40.4732702,0.0000000
1.708,40.3436356,0.0000000
1.750,40.3263040,0.0000000
1.792,40.2269392,0.0000000
1.833,40.4299999,0.0000000
1.875,40.2239942,0.0000000
1.917,39.6450025,0.0000000
1.958,2.9981310,0.0000000
2.000,0.0311485,0.0000000
2.042,0.0311485,0.0000000
2.083,0.0311485,0.0000000
2.125,0.0311485,0.0000000
2.167,0.0311485,0.0000000
2.208,0.0311485,0.0000000
2.250,0.0311485,0.0000000
2.292,0.0311485,0.0000000
2.333,0.0311485,0.0000000
2.375,0.0311485,0.0000000
2.417,0.0311485,0.0000000
2.458,0.0311485,0.0000000
2.500,0.0311485,0.0000000
2.542,2.0486106,0.0000000
2.583,37.7567783,0.0000000
2.625,39.9676147,0.0000000
2.667,40.0108262,0.0000000
2.708,40.1735928,0.0000000
2.750,40.1952556,0.0000000
2.792,40.2712569,0.0000000
2.833,40.3824849,0.0000000
2.875,40.1419057,0.0000000
2.917,32.1710245,0.0000000
2.958,0.0809295,0.0000000
3.000,0.0311485,0.0000000
3.042,0.0311485,0.0000000
3.083,0.0311485,0.0000000
3.125,0.0311485,0.0000000
3.167,0.0311485,0.0000000
3.208,0.0311485,0.0000000
3.250,0.0311485,0.0000000
3.292,0.0311485,0.0000000
3.333,0.0311485,0.0000000
3.375,0.0311485,0.0000000
3.417,0.0311485,0.0000000
3.458,0.0311485,0.0000000
3.500,0.0311485,0.0000000
3.542,0.0311485,0.0000000
3.583,1.7585328,0.0000000
3.625,37.7766264,0.0000000
3.667,40.5178955,0.0000000
3.708,40.0930011,0.0000000
3.750,40.2729852,0.0000000
3.792,40.4473039,0.0000000
3.833,40.4127271,0.0000000
3.875,40.0957491,0.0000000
3.917,39.6651340,0.0000000
3.958,2.5467890,0.0000000
4.000,0.0311485,0.0000000
