$Flow file for segment 52
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
     1.023,   28.493,            0.000,
     1.065,    2.356,            0.000,
     1.106,    0.031,            0.000,
     1.150,    0.031,            0.000,
     1.192,    0.031,            0.000,
     1.233,    0.031,            0.000,
     1.275,    0.031,            0.000,
     1.316,    0.031,            0.000,
     1.357,    0.031,            0.000,
     1.398,    0.031,            0.000,
     1.440,    0.031,            0.000,
     1.482,    1.838,            0.000,
     1.524,   37.812,            0.000,
     1.565,   40.272,            0.000,
     1.605,   40.214,            0.000,
     1.646,   39.877,            0.000,
     1.688,   40.473,            0.000,
     1.731,   40.344,            0.000,
     1.772,   40.326,            0.000,
     1.815,   40.227,            0.000,
     1.855,   40.430,            0.000,
     1.897,   40.224,            0.000,
     1.938,   39.645,            0.000,
     1.979,    2.998,            0.000,
     2.022,    0.031,            0.000,
     2.065,    0.031,            0.000,
     2.105,    0.031,            0.000,
     2.147,    0.031,            0.000,
     2.189,    0.031,            0.000,
     2.231,    0.031,            0.000,
     2.271,    0.031,            0.000,
     2.314,    0.031,            0.000,
     2.356,    0.031,            0.000,
     2.397,    0.031,            0.000,
     2.438,    0.031,            0.000,
     2.481,    0.031,            0.000,
     2.521,    0.031,            0.000,
     2.565,    2.049,            0.000,
     2.606,   37.757,            0.000,
     2.648,   39.968,            0.000,
     2.690,   40.011,            0.000,
     2.730,   40.174,            0.000,
     2.773,   40.195,            0.000,
     2.813,   40.271,            0.000,
     2.856,   40.382,            0.000,
     2.898,   40.142,            0.000,
     2.940,   32.171,            0.000,
     2.982,    0.081,            0.000,
     3.022,    0.031,            0.000,
     3.064,    0.031,            0.000,
     3.106,    0.031,            0.000,
     3.147,    0.031,            0.000,
     3.189,    0.031,            0.000,
     3.231,    0.031,            0.000,
     3.271,    0.031,            0.000,
     3.313,    0.031,            0.000,
     3.356,    0.031,            0.000,
     3.399,    0.031,            0.000,
     3.439,    0.031,            0.000,
     3.481,    0.031,            0.000,
     3.522,    0.031,            0.000,
     3.563,    0.031,            0.000,
     3.607,    1.759,            0.000,
     3.646,   37.777,            0.000,
