$WITHDRAWAL AT SEG52                                         ELEV OF WITHDRAWAL CENTERLINE:609.     

JDAY,QWD(m3s-1)
     1.023,    0.0000
     1.065,    0.0000
     1.106,    0.0000
     1.150,    0.0000
     1.192,    0.0000
     1.233,    0.0000
     1.275,    0.0000
     1.316,    0.0000
     1.357,    0.0000
     1.398,    0.0000
     1.440,    0.0000
     1.482,    0.0000
     1.524,    0.0000
     1.565,    0.0000
     1.605,    0.0000
     1.646,    0.0000
     1.688,    0.0000
     1.731,    0.0000
     1.772,    0.0000
     1.815,    0.0000
     1.855,    0.0000
     1.897,    0.0000
     1.938,    0.0000
     1.979,    0.0000
     2.022,    0.0000
     2.065,    0.0000
     2.105,    0.0000
     2.147,    0.0000
     2.189,    0.0000
     2.231,    0.0000
     2.271,    0.0000
     2.314,    0.0000
     2.356,    0.0000
     2.397,    0.0000
     2.438,    0.0000
     2.481,    0.0000
     2.521,    0.0000
     2.565,    0.0000
     2.606,    0.0000
     2.648,    0.0000
     2.690,    0.0000
     2.730,    0.0000
     2.773,    0.0000
     2.813,    0.0000
     2.856,    0.0000
     2.898,    0.0000
     2.940,    0.0000
     2.982,    0.0000
     3.022,    0.0000
     3.064,    0.0000
     3.106,    0.0000
     3.147,    0.0000
     3.189,    0.0000
     3.231,    0.0000
     3.271,    0.0000
     3.313,    0.0000
     3.356,    0.0000
     3.399,    0.0000
     3.439,    0.0000
     3.481,    0.0000
     3.522,    0.0000
     3.563,    0.0000
     3.607,    0.0000
     3.646,    0.0000
     3.690,    0.0000
     3.732,    0.0000
     3.771,    0.0000
     3.814,    0.0000
     3.858,    0.0000
     3.897,    0.0000
     3.938,    0.0000
     3.979,    0.0000
     4.022,    0.0000
     4.067,    0.0000
     4.105,    0.0000
     4.150,    0.0000
     4.189,    0.0000
     4.233,    0.0000
     4.272,    0.0000
     4.317,    0.0000
     4.354,    0.0000
     4.400,    0.0000
     4.439,    0.0000
     4.483,    0.0000
     4.522,    0.0000
     4.565,    0.0000
     4.607,    0.0000
     4.649,    0.0000
     4.688,    0.0000
     4.732,    0.0000
     4.772,    0.0000
     4.817,    0.0000
     4.856,    0.0000
     4.896,    0.0000
     4.940,    0.0000
     4.980,    0.0000
     5.025,    0.0000
     5.065,    0.0000
     5.108,    0.0000
     5.147,    0.0000
     5.188,    0.0000
     5.230,    0.0000
     5.271,    0.0000
     5.314,    0.0000
     5.355,    0.0000
     5.397,    0.0000
     5.438,    0.0000
     5.480,    0.0000
     5.524,    0.0000
     5.565,    0.0000
     5.607,    0.0000
     5.648,    0.0000
     5.690,    0.0000
     5.732,    0.0000
     5.774,    0.0000
     5.815,    0.0000
     5.856,    0.0000
     5.899,    0.0000
     5.941,    0.0000
     5.980,    0.0000
     6.024,    0.0000
     6.066,    0.0000
     6.106,    0.0000
     6.147,    0.0000
     6.189,    0.0000
     6.231,    0.0000
     6.274,    0.0000
     6.314,    0.0000
     6.357,    0.0000
     6.397,    0.0000
     6.440,    0.0000
     6.480,    0.0000
     6.522,    0.0000
     6.564,    0.0000
     6.605,    0.0000
     6.647,    0.0000
     6.692,    0.0000
     6.730,    0.0000
     6.774,    0.0000
     6.814,    0.0000
     6.856,    0.0000
     6.899,    0.0000
     6.940,    0.0000
     6.980,    0.0000
     7.024,    0.0000
     7.064,    0.0000
     7.106,    0.0000
     7.147,    0.0000
     7.188,    0.0000
     7.232,    0.0000
     7.275,    0.0000
     7.314,    0.0000
     7.357,    0.0000
     7.397,    0.0000
     7.438,    0.0000
     7.481,    0.0000
     7.523,    0.0000
     7.565,    0.0000
     7.607,    0.0000
     7.648,    0.0000
     7.690,    0.0000
     7.733,    0.0000
     7.773,    0.0000
     7.816,    0.0000
     7.856,    0.0000
     7.897,    0.0000
     7.938,    0.0000
     7.983,    0.0000
     8.024,    0.0000
     8.065,    0.0000
     8.108,    0.0000
     8.147,    0.0000
     8.188,    0.0000
     8.229,    0.0000
     8.271,    0.0000
     8.314,    0.0000
     8.356,    0.0000
     8.400,    0.0000
     8.442,    0.0000
     8.483,    0.0000
     8.523,    0.0000
