JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
     1.000,   453.840,   665.746,    22.500,     0.000,     0.000,     0.000,     0.450,    75.369,   963.009,     1.000,    20.303,  -800.927,     0.000,   223.935,   422.122,   383.296,   219.444,     0.000,
     1.042,   496.538,   665.745,    22.500,     0.000,     0.000,     0.000,     0.450,    75.368,   963.009,     1.000,    20.294,  -586.949,     0.000,   223.935,   421.713,   247.127,   142.044,     0.000,
     1.089,   493.464,   665.739,    22.501,     0.000,     0.000,     0.000,     0.450,    75.362,   963.009,     1.000,    20.298,  -745.080,     0.000,   223.936,   421.437,   348.478,   199.101,     0.000,
     1.125,   426.306,   665.740,    22.502,     0.000,     0.000,     0.000,     0.450,    75.363,   963.009,     1.000,    20.294,  -900.797,     0.000,   225.663,   421.206,   454.651,   250.603,     0.000,
     1.167,   407.836,   665.740,    22.499,     0.000,     0.000,     0.000,     0.450,    75.363,   963.009,     1.000,    20.288,  -600.282,     0.000,   222.438,   420.986,   253.659,   148.074,     0.000,
     1.213,   438.798,   665.743,    22.474,     0.000,     0.000,     0.000,     0.450,    75.366,   963.009,     1.000,    20.276,  -696.329,     0.000,   223.935,   420.850,   318.693,   180.721,     0.000,
     1.255,   426.257,   665.745,    22.451,     0.000,     0.000,     0.000,     0.450,    75.368,   963.009,     1.000,    20.235,  -616.902,     0.000,   222.162,   420.715,   264.014,   154.334,     0.000,
     1.292,   416.036,   665.747,    22.430,     0.000,     0.000,     0.000,     0.450,    75.370,   963.009,     1.000,    20.214,  -695.634,     0.000,   222.162,   420.593,   314.739,   182.463,     0.000,
     1.337,   414.108,   665.748,    22.405,     0.000,     0.000,    36.868,     0.450,    75.371,   963.009,     1.000,    20.206,  -706.318,    34.781,   223.936,   420.451,   347.015,   197.569,     0.000,
     1.375,    27.433,   665.748,    22.386,     0.000,     0.000,   184.278,     0.450,    75.371,   963.009,     1.000,    20.209,  -606.871,   173.847,   227.663,   420.333,   382.322,   205.726,     0.000,
     1.417,   359.651,   665.761,    22.358,     0.000,     0.000,   295.474,     0.450,    75.384,   963.009,     1.000,    20.209,  -397.615,   278.749,   231.280,   420.187,   322.411,   165.046,     0.000,
