$STR WITHDRAWAL AT SEG52                                     ELEV OF WITHDRAWAL CENTERLINE:722.     

JDAY,T(C)
     1.023,  -99.00
     1.065,  -99.00
     1.106,  -99.00
     1.150,  -99.00
     1.192,  -99.00
     1.233,  -99.00
     1.275,  -99.00
     1.316,  -99.00
     1.357,  -99.00
     1.398,  -99.00
     1.440,  -99.00
     1.482,  -99.00
     1.524,  -99.00
     1.565,  -99.00
     1.605,  -99.00
     1.646,  -99.00
     1.688,  -99.00
     1.731,  -99.00
     1.772,  -99.00
     1.815,  -99.00
     1.855,  -99.00
     1.897,  -99.00
     1.938,  -99.00
     1.979,  -99.00
     2.022,  -99.00
     2.065,  -99.00
     2.105,  -99.00
     2.147,  -99.00
     2.189,  -99.00
     2.231,  -99.00
     2.271,  -99.00
     2.314,  -99.00
     2.356,  -99.00
     2.397,  -99.00
     2.438,  -99.00
     2.481,  -99.00
     2.521,  -99.00
     2.565,  -99.00
     2.606,  -99.00
     2.648,  -99.00
     2.690,  -99.00
     2.730,  -99.00
     2.773,  -99.00
     2.813,  -99.00
     2.856,  -99.00
     2.898,  -99.00
     2.940,  -99.00
     2.982,  -99.00
     3.022,  -99.00
     3.064,  -99.00
     3.106,  -99.00
     3.147,  -99.00
     3.189,  -99.00
     3.231,  -99.00
     3.271,  -99.00
     3.313,  -99.00
     3.356,  -99.00
     3.399,  -99.00
     3.439,  -99.00
     3.481,  -99.00
     3.522,  -99.00
     3.563,  -99.00
     3.607,  -99.00
     3.646,  -99.00
     3.690,  -99.00
     3.732,  -99.00
     3.771,  -99.00
     3.814,  -99.00
     3.858,  -99.00
     3.897,  -99.00
     3.938,  -99.00
     3.979,  -99.00
     4.022,  -99.00
     4.067,  -99.00
     4.105,  -99.00
     4.150,  -99.00
     4.189,  -99.00
     4.233,  -99.00
     4.272,  -99.00
     4.317,  -99.00
     4.354,  -99.00
     4.400,  -99.00
     4.439,  -99.00
     4.483,  -99.00
     4.522,  -99.00
     4.565,  -99.00
     4.607,  -99.00
     4.649,  -99.00
     4.688,  -99.00
     4.732,  -99.00
     4.772,  -99.00
     4.817,  -99.00
     4.856,  -99.00
     4.896,  -99.00
     4.940,  -99.00
     4.980,  -99.00
     5.025,  -99.00
     5.065,  -99.00
     5.108,  -99.00
     5.147,  -99.00
     5.188,  -99.00
     5.230,  -99.00
     5.271,  -99.00
     5.314,  -99.00
     5.355,  -99.00
     5.397,  -99.00
     5.438,  -99.00
     5.480,  -99.00
     5.524,  -99.00
     5.565,  -99.00
     5.607,  -99.00
     5.648,  -99.00
     5.690,  -99.00
     5.732,  -99.00
     5.774,  -99.00
     5.815,  -99.00
     5.856,  -99.00
     5.899,  -99.00
     5.941,  -99.00
     5.980,  -99.00
     6.024,  -99.00
     6.066,  -99.00
     6.106,  -99.00
     6.147,  -99.00
     6.189,  -99.00
     6.231,  -99.00
     6.274,  -99.00
     6.314,  -99.00
     6.357,  -99.00
     6.397,  -99.00
     6.440,  -99.00
     6.480,  -99.00
     6.522,  -99.00
     6.564,  -99.00
     6.605,  -99.00
     6.647,  -99.00
     6.692,  -99.00
     6.730,  -99.00
     6.774,  -99.00
     6.814,  -99.00
     6.856,  -99.00
     6.899,  -99.00
     6.940,  -99.00
     6.980,  -99.00
     7.024,  -99.00
     7.064,  -99.00
     7.106,  -99.00
     7.147,  -99.00
     7.188,  -99.00
     7.232,  -99.00
     7.275,  -99.00
     7.314,  -99.00
     7.357,  -99.00
     7.397,  -99.00
     7.438,  -99.00
     7.481,  -99.00
     7.523,  -99.00
     7.565,  -99.00
     7.607,  -99.00
     7.648,  -99.00
     7.690,  -99.00
     7.733,  -99.00
     7.773,  -99.00
     7.816,  -99.00
     7.856,  -99.00
     7.897,  -99.00
     7.938,  -99.00
     7.983,  -99.00
     8.024,  -99.00
     8.065,  -99.00
     8.108,  -99.00
     8.147,  -99.00
     8.188,  -99.00
     8.229,  -99.00
     8.271,  -99.00
     8.314,  -99.00
     8.356,  -99.00
     8.400,  -99.00
     8.442,  -99.00
     8.483,  -99.00
     8.523,  -99.00
