$WITHDRAWAL AT SEG52                                         ELEV OF WITHDRAWAL CENTERLINE:644.     

JDAY,T(C)
     1.023,   22.49
     1.065,   22.50
     1.106,   22.50
     1.150,   22.50
     1.192,   22.49
     1.233,   22.47
     1.275,   22.44
     1.316,   22.42
     1.357,   22.40
     1.398,   22.37
     1.440,   22.35
     1.482,   22.34
     1.524,   22.33
     1.565,   22.32
     1.605,   22.31
     1.646,   22.30
     1.688,   22.28
     1.731,   22.26
     1.772,   22.24
     1.815,   22.22
     1.855,   22.20
     1.897,   22.18
     1.938,   22.16
     1.979,   22.15
     2.022,   22.13
     2.065,   22.12
     2.105,   22.10
     2.147,   22.09
     2.189,   22.07
     2.231,   22.06
     2.271,   22.04
     2.314,   22.02
     2.356,   22.01
     2.397,   22.00
     2.438,   21.99
     2.481,   21.98
     2.521,   21.97
     2.565,   21.96
     2.606,   21.94
     2.648,   21.92
     2.690,   21.91
     2.730,   21.89
     2.773,   21.87
     2.813,   21.86
     2.856,   21.84
     2.898,   21.82
     2.940,   21.81
     2.982,   21.80
     3.022,   21.79
     3.064,   21.78
     3.106,   21.75
     3.147,   21.73
     3.189,   21.72
     3.231,   21.70
     3.271,   21.68
     3.313,   21.67
     3.356,   21.65
     3.399,   21.63
     3.439,   21.62
     3.481,   21.61
     3.522,   21.60
     3.563,   21.59
     3.607,   21.57
     3.646,   21.55
     3.690,   21.53
     3.732,   21.51
     3.771,   21.50
     3.814,   21.48
     3.858,   21.46
     3.897,   21.45
     3.938,   21.44
     3.979,   21.43
     4.022,   21.41
     4.067,   21.40
     4.105,   21.38
     4.150,   21.36
     4.189,   21.35
     4.233,   21.33
     4.272,   21.32
     4.317,   21.30
     4.354,   21.29
     4.400,   21.28
     4.439,   21.27
     4.483,   21.26
     4.522,   21.25
     4.565,   21.23
     4.607,   21.20
     4.649,   21.19
     4.688,   21.17
     4.732,   21.16
     4.772,   21.16
     4.817,   21.13
     4.856,   21.12
     4.896,   21.10
     4.940,   21.09
     4.980,   21.08
     5.025,   21.06
     5.065,   21.05
     5.108,   21.03
     5.147,   21.01
     5.188,   21.00
     5.230,   20.98
     5.271,   20.97
     5.314,   20.95
     5.355,   20.94
     5.397,   20.92
     5.438,   20.90
     5.480,   20.89
     5.524,   20.88
     5.565,   20.87
     5.607,   20.86
     5.648,   20.81
     5.690,   20.79
     5.732,   20.77
     5.774,   20.75
     5.815,   20.74
     5.856,   20.72
     5.899,   20.69
     5.941,   20.68
     5.980,   20.71
     6.024,   20.69
     6.066,   20.68
     6.106,   20.67
     6.147,   20.65
     6.189,   20.64
     6.231,   20.61
     6.274,   20.59
     6.314,   20.58
     6.357,   20.56
     6.397,   20.54
     6.440,   20.52
     6.480,   20.51
     6.522,   20.49
     6.564,   20.48
     6.605,   20.46
     6.647,   20.44
     6.692,   20.34
     6.730,   20.32
     6.774,   20.29
     6.814,   20.27
     6.856,   20.24
     6.899,   20.22
     6.940,   20.19
     6.980,   20.15
     7.024,   20.02
     7.064,   19.87
     7.106,   19.81
     7.147,   19.77
     7.188,   19.77
     7.232,   19.79
     7.275,   19.78
     7.314,   19.88
     7.357,   19.88
     7.397,   19.87
     7.438,   19.86
     7.481,   19.85
     7.523,   19.85
     7.565,   19.84
     7.607,   19.83
     7.648,   19.83
     7.690,   19.82
     7.733,   19.82
     7.773,   19.81
     7.816,   19.81
     7.856,   19.80
     7.897,   19.78
     7.938,   19.77
     7.983,   19.75
     8.024,   19.73
     8.065,   19.71
     8.108,   19.69
     8.147,   19.67
     8.188,   19.66
     8.229,   19.64
     8.271,   19.60
     8.314,   19.57
     8.356,   19.55
     8.400,   19.54
     8.442,   19.52
     8.483,   19.52
     8.523,   19.50
